########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	27878
file                           	S15-236_S_BOA_135.0A_181018_110434.dat
date                           	18/10/2018
hour                           	11:04:34
operator                       	James Citadini
software_version               	v3.5
bench                          	1
temperature(C)                 	22.879
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.349950e+02
main_coil_current_std(A)       	+9.176629e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+5.000000e-05
cv_coil_current_std(A)       	+3.940345e-04
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_17-10-2018_r=13mm
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	233386
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013035
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +7.326188e-05   	  +2.700614e-07   	  -8.682136e-05   	  +1.487925e-07   	  +1.136013e-04   	  +2.080011e-07   	  -8.698992e-01   	  +2.003618e-03   	  -1.678118e-03   	  +6.185962e-06   	  +1.988708e-03   	  +3.408214e-06   
2   	  +6.084193e-03   	  +1.140079e-05   	  +1.689677e-02   	  +1.800452e-05   	  +1.795879e-02   	  +1.737455e-05   	  +6.125849e-01   	  +3.435532e-04   	  -1.672356e-03   	  +3.133731e-06   	  -4.644399e-03   	  +4.948919e-06   
3   	  -3.031747e+02   	  +1.224365e-03   	  +8.658241e-02   	  +1.236035e-03   	  +3.031747e+02   	  +1.224365e-03   	  -9.519528e-05   	  +1.358991e-06   	  +1.000000e+00   	  +5.711273e-06   	  -2.855858e-04   	  +4.076973e-06   
4   	  +4.974288e+00   	  +3.554304e-02   	  -4.616772e+00   	  +1.187039e-01   	  +6.786614e+00   	  +8.484970e-02   	  -1.870349e-01   	  +3.326474e-03   	  -1.968880e-04   	  +1.406834e-06   	  +1.827371e-04   	  +4.698434e-06   
5   	  -1.314916e+02   	  +6.552942e+00   	  +9.242902e+02   	  +6.156061e+00   	  +9.335965e+02   	  +6.164183e+00   	  -2.858965e-01   	  +1.402170e-03   	  +6.245506e-05   	  +3.112475e-06   	  -4.390135e-04   	  +2.923967e-06   
6   	  +4.503791e+03   	  +8.500327e+02   	  +2.288931e+03   	  +4.396673e+02   	  +5.052063e+03   	  +7.835280e+02   	  +7.836743e-02   	  +1.812781e-02   	  -2.567017e-05   	  +4.844918e-06   	  -1.304619e-05   	  +2.505965e-06   
7   	  -1.342107e+06   	  +4.264481e+04   	  -8.306979e+05   	  +5.660728e+04   	  +1.578388e+06   	  +4.693004e+04   	  +7.917678e-02   	  +4.806776e-03   	  +9.179501e-05   	  +2.916743e-06   	  +5.681659e-05   	  +3.871723e-06   
8   	  +7.422467e+06   	  +4.983804e+06   	  -3.307442e+07   	  +6.436619e+06   	  +3.389705e+07   	  +6.374521e+06   	  -1.687546e-01   	  +1.867046e-02   	  -6.092023e-06   	  +4.090479e-06   	  +2.714597e-05   	  +5.282884e-06   
9   	  +2.026330e+11   	  +3.386553e+08   	  -7.711772e+08   	  +4.094608e+08   	  +2.026345e+11   	  +3.386564e+08   	  -4.228627e-04   	  +2.245203e-04   	  -1.995743e-03   	  +3.335444e-06   	  +7.595369e-06   	  +4.032802e-06   
10  	  -2.280444e+10   	  +2.434543e+10   	  -2.012174e+10   	  +1.848457e+10   	  +3.041261e+10   	  +2.197308e+10   	  +7.229837e-02   	  +6.987237e-02   	  +2.695227e-06   	  +2.877353e-06   	  +2.378165e-06   	  +2.184667e-06   
11  	  -5.827243e+12   	  +2.931086e+12   	  -1.642829e+13   	  +3.023190e+12   	  +1.743117e+13   	  +3.013036e+12   	  +1.118121e-01   	  +1.534098e-02   	  +8.264571e-06   	  +4.157054e-06   	  +2.329965e-05   	  +4.287680e-06   
12  	  -8.064618e+12   	  +2.442273e+14   	  -3.860559e+14   	  +2.109297e+14   	  +3.861401e+14   	  +2.109454e+14   	  +1.291591e-01   	  +5.270405e-02   	  +1.372466e-07   	  +4.156545e-06   	  +6.570346e-06   	  +3.589847e-06   
13  	  +8.000170e+16   	  +1.851210e+16   	  -1.399135e+15   	  +2.570049e+16   	  +8.001394e+16   	  +1.851473e+16   	  -1.345156e-03   	  +2.470589e-02   	  -1.633876e-05   	  +3.780726e-06   	  +2.857450e-07   	  +5.248810e-06   
14  	  +4.989192e+18   	  +1.606927e+18   	  +1.683908e+19   	  +1.918759e+18   	  +1.756265e+19   	  +1.895498e+18   	  +9.162500e-02   	  +6.646819e-03   	  -1.222732e-05   	  +3.938192e-06   	  -4.126855e-05   	  +4.702418e-06   
15  	  -4.429457e+22   	  +1.369579e+20   	  +5.365909e+20   	  +7.298170e+19   	  +4.429782e+22   	  +1.369507e+20   	  -8.075703e-04   	  +1.098552e-04   	  +1.302664e-03   	  +4.027816e-06   	  -1.578066e-05   	  +2.146327e-06   

magnetic_center_x(um) 	10.034
magnetic_center_y(um) 	27.866


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.424959166092e-05	2.427885556244e-05	2.426079481666e-05	2.426701394143e-05	2.422378929623e-05	2.42800124397e-05	2.426217179163e-05	2.426827632007e-05	2.431706707284e-05	2.421059980406e-05
7.334258407354e-05	7.331053348025e-05	7.333492249018e-05	7.330989319598e-05	7.330988592003e-05	7.331883534789e-05	7.326908962568e-05	7.332926907111e-05	7.337092392845e-05	7.332133827731e-05
0.0001201671475428	0.0001202062412631	0.0001201603154186	0.0001201390259666	0.0001201486302307	0.0001201461564051	0.0001201964041684	0.0001201555278385	0.0001201607010444	0.0001201615741593
0.0001639704569243	0.0001638999237912	0.000163999866345	0.0001639796537347	0.0001639789697947	0.0001639642287046	0.0001639322872506	0.0001640071277507	0.0001639482507017	0.0001639656547923
0.0002032943448285	0.0002032874181168	0.0002032278716797	0.0002032463962678	0.0002032931079157	0.0002032705378952	0.0002032954216702	0.0002032172196778	0.0002032565535046	0.0002032743941527
0.0002377818600507	0.0002379228099016	0.0002378806093475	0.0002378878416494	0.0002378894278081	0.0002379007637501	0.0002378370118095	0.0002378850767855	0.0002378501667408	0.0002378435747232
0.0002664280182216	0.000266331830062	0.0002663728955667	0.0002664002240635	0.000266360322712	0.0002663329651114	0.000266395683866	0.0002663924824446	0.0002663662889972	0.0002663801424205
0.0002922486746684	0.00029227140476	0.0002922528074123	0.0002922258863691	0.0002922096755356	0.000292208220344	0.000292250799248	0.0002921562700067	0.0002921517007053	0.0002922292042058
0.0003090210957453	0.0003089843667112	0.0003090593963861	0.0003089802339673	0.0003090451064054	0.0003090694954153	0.0003089299716521	0.0003090751415584	0.0003090573882218	0.0003090091340709
0.0003152567951474	0.00031526494422	0.0003151249838993	0.0003152576100547	0.0003151973360218	0.0003151857235935	0.000315197481541	0.0003151943092234	0.000315227516694	0.0003151763521601
0.0003157383180223	0.0003157639876008	0.0003158085455652	0.0003157106402796	0.0003158050822094	0.0003157913452014	0.0003158295876347	0.0003158176259603	0.0003158638428431	0.0003158285690006
0.0003088866069447	0.0003089147212449	0.000308872491587	0.0003089600650128	0.0003088605881203	0.0003088538651355	0.0003089391393587	0.0003088440280408	0.0003088447556365	0.0003088886442129
0.0002928379108198	0.0002928235917352	0.0002929636393674	0.000292822078336	0.0002928978356067	0.0002929018519353	0.0002927658497356	0.0002928584581241	0.000292754964903	0.0002928870671894
0.0002674906572793	0.00026747508673	0.0002673983690329	0.0002674562565517	0.0002674801507965	0.000267425639322	0.0002674750576261	0.0002675284049474	0.0002675132709555	0.0002673615526874
0.0002381212834734	0.0002380953956163	0.0002381021040492	0.0002380947262282	0.0002381118974881	0.0002381253434578	0.0002380748774158	0.0002380391815677	0.000238128050114	0.0002381412195973
0.0002040445397142	0.0002040922117885	0.0002040208346443	0.0002040785329882	0.0002040061081061	0.0002040379185928	0.0002040985855274	0.0002041255793301	0.0002040417602984	0.000204089388717
0.0001650413032621	0.0001649838377489	0.0001650332269492	0.0001650418125791	0.0001650450867601	0.0001649928308325	0.0001649589394219	0.0001649899641052	0.000164999961271	0.0001650200283621
0.0001215901575051	0.0001215489464812	0.0001215802476509	0.0001215307711391	0.000121547775052	0.0001215734373545	0.0001215472293552	0.0001215177180711	0.0001214888397953	0.0001215433512698
7.394582644338e-05	7.404776988551e-05	7.399322930723e-05	7.40408358979e-05	7.402438495774e-05	7.404138159472e-05	7.405662472593e-05	7.407579687424e-05	7.409718818963e-05	7.40161340218e-05
2.527926335461e-05	2.521488568163e-05	2.5251214538e-05	2.525684249122e-05	2.527208562242e-05	2.519900044717e-05	2.521918213461e-05	2.521150236134e-05	2.52917780017e-05	2.522595241317e-05
-2.4358925657e-05	-2.432985093037e-05	-2.432383553241e-05	-2.435823626001e-05	-2.438066985633e-05	-2.436970862618e-05	-2.431724169583e-05	-2.43333815888e-05	-2.425964885333e-05	-2.432957990095e-05
-7.335910777329e-05	-7.336678390857e-05	-7.339053991018e-05	-7.33617998776e-05	-7.33469860279e-05	-7.334342080867e-05	-7.340406591538e-05	-7.336949784076e-05	-7.334836845985e-05	-7.338908471866e-05
-0.0001207746900036	-0.0001207839159179	-0.0001207154928125	-0.0001207297100336	-0.0001205866719829	-0.0001207692839671	-0.0001207462410093	-0.0001207079913002	-0.0001209474285133	-0.000120720556879
-0.0001638923567953	-0.0001638413668843	-0.0001639137335587	-0.0001639488473302	-0.0001638493413338	-0.0001639296970097	-0.0001639510010136	-0.000163929144037	-0.0001639875845285	-0.0001639315159991
-0.0002031134790741	-0.0002032032498391	-0.0002031459589489	-0.000203148345463	-0.0002032064949162	-0.000203120696824	-0.0002031750482274	-0.0002031625335803	-0.0002031084732153	-0.0002031738840742
-0.000237156622461	-0.0002371321170358	-0.0002371908049099	-0.0002371381415287	-0.0002372430171818	-0.0002371520095039	-0.0002371361188125	-0.0002372312155785	-0.0002371873270022	-0.0002371418959228
-0.000266894348897	-0.0002668462111615	-0.0002668818051461	-0.0002668402739801	-0.0002669563982636	-0.00026690174127	-0.0002668297966011	-0.0002668437373359	-0.0002668210072443	-0.000266844581347
-0.0002920981496572	-0.0002921663690358	-0.0002921046689153	-0.0002921107807197	-0.0002921629638877	-0.0002921159612015	-0.0002921477134805	-0.0002921640407294	-0.0002921566483565	-0.000292134587653
-0.0003088962403126	-0.0003087370132562	-0.0003088228986599	-0.0003088802623097	-0.000308763643261	-0.0003088821540587	-0.0003088676603511	-0.0003087968216278	-0.0003088416997343	-0.0003088499361183
-0.0003150344418827	-0.0003151333366986	-0.0003150369157083	-0.0003150609263685	-0.0003150461125188	-0.0003150201227982	-0.0003150582197122	-0.0003150441625621	-0.0003150405536871	-0.0003151000419166
-0.0003134980797768	-0.0003135676670354	-0.0003135693841614	-0.0003135299193673	-0.000313578202622	-0.0003135927254334	-0.0003136133018415	-0.00031359330751	-0.0003135903389193	-0.0003135110018775
-0.0003084452473558	-0.0003083900955971	-0.0003084868658334	-0.0003084377967753	-0.0003084630880039	-0.0003083700721618	-0.0003083955671173	-0.0003084669588134	-0.0003083998744842	-0.0003083884366788
-0.0002918840327766	-0.000291933916742	-0.0002918762620538	-0.0002919235848822	-0.000291841221042	-0.000291964126518	-0.0002919329272117	-0.000291924981866	-0.0002919445105363	-0.0002919489052147
-0.0002668036613613	-0.0002667133230716	-0.0002667490043677	-0.0002667933877092	-0.0002668265369721	-0.0002667768276297	-0.0002667854423635	-0.000266702962108	-0.0002667224907782	-0.0002667730732355
-0.0002373668394284	-0.00023742527992	-0.0002373907627771	-0.0002373097668169	-0.0002373003226239	-0.0002373714232817	-0.0002374259784119	-0.0002374056493863	-0.000237428030232	-0.0002374299219809
-0.0002025067951763	-0.0002024982532021	-0.0002024806744885	-0.00020249276713	-0.0002025642752415	-0.0002024821151281	-0.0002024275599979	-0.000202517316211	-0.0002024641435128	-0.0002024464920396
-0.0001636814122321	-0.0001636830129428	-0.000163699805853	-0.0001636816305108	-0.000163600227097	-0.0001637486420805	-0.0001637611276237	-0.0001636885863263	-0.0001637432142161	-0.0001636804372538
-0.0001200391197926	-0.0001200709593832	-0.0001200601545861	-0.0001200892511406	-0.0001201183767989	-0.0001200862534461	-0.0001200418337248	-0.0001200835977215	-0.00012009965576	-0.0001200840997626
-7.320989971049e-05	-7.320037548197e-05	-7.321275188588e-05	-7.320770964725e-05	-7.317847484956e-05	-7.318660209421e-05	-7.31728359824e-05	-7.321050361497e-05	-7.315097900573e-05	-7.322483725147e-05
-2.448799023114e-05	-2.447267434036e-05	-2.450059400871e-05	-2.447350198054e-05	-2.451176442264e-05	-2.445680911478e-05	-2.451069121889e-05	-2.44785896939e-05	-2.448486702633e-05	-2.447077349643e-05
2.542648871895e-05	2.541695721447e-05	2.542290530982e-05	2.539999877627e-05	2.543226037233e-05	2.536526335462e-05	2.541356843722e-05	2.542684160289e-05	2.54090391536e-05	2.542441870901e-05
7.473545701941e-05	7.472410652554e-05	7.477463805117e-05	7.475646270905e-05	7.472420838894e-05	7.473174628103e-05	7.475072197849e-05	7.472700235667e-05	7.476410246454e-05	7.476305472665e-05
0.0001210046757478	0.0001210398695548	0.0001209630281664	0.0001210001355503	0.0001210547998198	0.000121046366985	0.0001209832626046	0.0001210121772601	0.0001210040718433	0.0001210093032569
0.0001647719473112	0.0001647861790843	0.0001647795579629	0.0001647927856538	0.0001647440803936	0.0001647433673497	0.0001647910103202	0.000164789846167	0.0001647196913837	0.0001647460885579
0.0002039040264208	0.0002038523962256	0.0002039026439888	0.0002038686070591	0.000203887509997	0.0002038681268459	0.0002038511884166	0.000203851624974	0.0002038848469965	0.0002038738311967
0.0002377284981776	0.0002376972406637	0.0002376792253926	0.0002376260817982	0.000237659769482	0.0002377159980824	0.0002376996853855	0.000237717278651	0.0002377155324211	0.0002377084019827
0.0002678854507394	0.0002679458120838	0.0002679277968127	0.0002680340257939	0.0002679685421754	0.0002679116441868	0.0002679852186702	0.0002679231984075	0.0002679813769646	0.0002679869066924
0.0002924018190242	0.0002924170985352	0.000292439974146	0.0002923923311755	0.0002924973377958	0.0002924034488387	0.0002923637803178	0.0002924426225945	0.0002923834545072	0.0002924153523054
0.0003091082035098	0.0003090362297371	0.0003090362006333	0.0003090462996624	0.0003089451929554	0.0003090191457886	0.0003090913814958	0.0003090290119871	0.0003089873353019	0.0003089533711318
0.0003145598748233	0.0003146418021061	0.0003145929949824	0.0003146502422169	0.0003146539384034	0.0003145657537971	0.0003145580703858	0.000314588774927	0.0003146814124193	0.0003146062663291
0.0003148992545903	0.0003148561809212	0.000314901873935	0.0003147688694298	0.0003148354589939	0.0003149594122078	0.0003148317628074	0.000314870121656	0.0003148372052237	0.000314839562634
0.0003089565434493	0.0003090123354923	0.0003089591627941	0.0003090510726906	0.0003090444661211	0.0003089056408498	0.0003090543905273	0.0003089651581831	0.0003090148384217	0.000309062685119
0.0002924088621512	0.000292410957627	0.0002924454456661	0.0002923955617007	0.0002923841529991	0.0002924809523392	0.0002923930587713	0.0002924219297711	0.0002923930005636	0.0002924158470705
0.0002673592534848	0.000267319730483	0.0002672831469681	0.0002673771814443	0.0002673389972188	0.0002672371920198	0.0002673666749615	0.0002673065755516	0.0002673265116755	0.0002672916161828
0.0002365390100749	0.0002365452237427	0.0002365547261434	0.0002365068357904	0.0002365699183429	0.000236589636188	0.0002365188993281	0.0002365811524214	0.0002365560358157	0.0002365886175539
0.0002029778697761	0.0002029252063949	0.0002029536408372	0.0002029552124441	0.0002029356837738	0.0002030160394497	0.0002029232855421	0.0002029745373875	0.0002029753231909	0.0002029826137004
0.0001636317610973	0.0001636881497689	0.0001636718952795	0.0001636459346628	0.0001636564120417	0.0001635997468838	0.0001637005043449	0.0001636521046748	0.0001636774104554	0.0001636100641917
0.000120238182717	0.0001201980994665	0.0001202427883982	0.0001202321072924	0.0001202386774821	0.0001201881023007	0.0001201916384161	0.0001201898485306	0.0001202020139317	0.0001202354251291
