########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	27937
file                           	S15-256_S_BOA_135.0A_181018_121411.dat
date                           	18/10/2018
hour                           	12:14:11
operator                       	James Citadini
software_version               	v3.5
bench                          	1
temperature(C)                 	22.953
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.349952e+02
main_coil_current_std(A)       	+9.514532e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+1.000000e-04
ch_coil_current_std(A)       	+4.472136e-04
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_17-10-2018_r=13mm
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	233386
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013035
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  -8.916895e-05   	  +1.983631e-07   	  -2.231404e-05   	  +2.412176e-07   	  +9.191854e-05   	  +2.011419e-07   	  +2.452087e-01   	  +2.599099e-03   	  +2.030967e-03   	  +4.518044e-06   	  +5.082384e-04   	  +5.494122e-06   
2   	  +6.968722e-03   	  +9.622377e-06   	  +1.711624e-02   	  +1.326067e-05   	  +1.848049e-02   	  +1.280652e-05   	  +5.920745e-01   	  +2.764814e-04   	  -1.904687e-03   	  +2.629987e-06   	  -4.678201e-03   	  +3.624419e-06   
3   	  -3.048935e+02   	  +7.839599e-04   	  -1.968959e-02   	  +1.098686e-03   	  +3.048935e+02   	  +7.839599e-04   	  +2.152619e-05   	  +1.201169e-06   	  +1.000000e+00   	  +3.636308e-06   	  +6.457858e-05   	  +3.603506e-06   
4   	  +4.727273e+00   	  +6.834789e-02   	  +8.057748e-01   	  +9.098561e-02   	  +4.795455e+00   	  +6.908887e-02   	  +4.220744e-02   	  +4.714060e-03   	  -1.860560e-04   	  +2.690037e-06   	  -3.171369e-05   	  +3.581012e-06   
5   	  -1.958493e+03   	  +4.174915e+00   	  -5.366191e+01   	  +6.729974e+00   	  +1.959228e+03   	  +4.177417e+00   	  +5.478548e-03   	  +6.868441e-04   	  +9.249886e-04   	  +1.971797e-06   	  +2.534431e-05   	  +3.178540e-06   
6   	  +4.287005e+03   	  +5.408417e+02   	  +2.935097e+03   	  +9.526901e+02   	  +5.195499e+03   	  +6.991564e+02   	  +1.000582e-01   	  +2.705518e-02   	  -2.429682e-05   	  +3.065249e-06   	  -1.663481e-05   	  +5.399421e-06   
7   	  -2.620356e+06   	  +4.435831e+04   	  +2.483287e+05   	  +5.616792e+04   	  +2.632096e+06   	  +4.447727e+04   	  -1.349813e-02   	  +3.043406e-03   	  +1.782120e-04   	  +3.016837e-06   	  -1.688900e-05   	  +3.820015e-06   
8   	  +4.633392e+06   	  +3.865914e+06   	  -5.467713e+07   	  +3.117657e+06   	  +5.487310e+07   	  +3.123626e+06   	  -1.857822e-01   	  +8.795503e-03   	  -3.781439e-06   	  +3.155079e-06   	  +4.462352e-05   	  +2.544406e-06   
9   	  +2.026069e+11   	  +4.370493e+08   	  -8.427719e+08   	  +1.931905e+08   	  +2.026086e+11   	  +4.370463e+08   	  -4.621797e-04   	  +1.059500e-04   	  -1.984237e-03   	  +4.280259e-06   	  +8.253712e-06   	  +1.892017e-06   
10  	  -2.980840e+10   	  +1.573125e+10   	  -6.157857e+10   	  +2.766121e+10   	  +6.841389e+10   	  +2.582378e+10   	  +1.119973e-01   	  +2.717909e-02   	  +3.503152e-06   	  +1.848773e-06   	  +7.236861e-06   	  +3.250811e-06   
11  	  +2.848525e+13   	  +1.641541e+12   	  -1.282587e+12   	  +1.693042e+12   	  +2.851411e+13   	  +1.641647e+12   	  -4.090541e-03   	  +5.397452e-03   	  -4.017185e-05   	  +2.315014e-06   	  +1.808791e-06   	  +2.387644e-06   
12  	  +3.739088e+13   	  +2.879322e+14   	  -7.166891e+13   	  +2.166331e+14   	  +8.083632e+13   	  +2.337239e+14   	  -9.082721e-02   	  +2.827120e-01   	  -6.327687e-07   	  +4.872740e-06   	  +1.212868e-06   	  +3.666130e-06   
13  	  +4.455292e+16   	  +2.206498e+16   	  -2.126928e+16   	  +1.879172e+16   	  +4.936948e+16   	  +2.149516e+16   	  -3.426150e-02   	  +3.029114e-02   	  -9.047750e-06   	  +4.480927e-06   	  +4.319336e-06   	  +3.816198e-06   
14  	  +6.345612e+18   	  +1.022569e+18   	  +1.864707e+19   	  +1.201242e+18   	  +1.969721e+19   	  +1.183953e+18   	  +8.877059e-02   	  +3.780584e-03   	  -1.546390e-05   	  +2.491942e-06   	  -4.544187e-05   	  +2.927359e-06   
15  	  -4.494928e+22   	  +8.500023e+19   	  +3.268365e+20   	  +1.093819e+20   	  +4.495046e+22   	  +8.500170e+19   	  -4.847402e-04   	  +1.622241e-04   	  +1.314466e-03   	  +2.485692e-06   	  -9.557791e-06   	  +3.198690e-06   

magnetic_center_x(um) 	11.428
magnetic_center_y(um) 	28.069


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.424709236948e-05	2.421194221824e-05	2.421240787953e-05	2.421534190944e-05	2.423669866403e-05	2.423300429655e-05	2.424298691039e-05	2.4216275051e-05	2.426436913083e-05	2.422644865874e-05
7.366818317678e-05	7.370382809313e-05	7.36694491934e-05	7.370296953013e-05	7.373298285529e-05	7.372043910436e-05	7.367311627604e-05	7.370657112915e-05	7.36815854907e-05	7.36961592338e-05
0.0001209331239806	0.0001209463225678	0.0001209698893945	0.0001209495821968	0.0001209261245094	0.0001210157133755	0.0001209573019878	0.0001209553665831	0.0001209450056194	0.0001209645051858
0.0001650896156207	0.0001650775957387	0.0001650896447245	0.0001651277852943	0.0001651553466218	0.0001649954065215	0.000165079094586	0.0001650877820794	0.0001650784688536	0.0001650507037994
0.0002046630543191	0.0002047259913525	0.0002047229500022	0.000204660318559	0.0002046365698334	0.0002046736772172	0.0002047412417596	0.0002046511363005	0.0002047566522378	0.0002047354355454
0.0002394406474195	0.0002394699549768	0.0002394324692432	0.0002395078918198	0.0002394749608357	0.0002394722541794	0.0002394772745902	0.0002394446055405	0.0002393958275206	0.0002394621260464
0.0002682510530576	0.0002681605401449	0.0002681775949895	0.0002681802725419	0.0002681852784008	0.0002682058257051	0.0002681859768927	0.0002682312333491	0.0002681764599402	0.0002682239864953
0.0002941938873846	0.0002941616403405	0.0002942302962765	0.0002941348066088	0.0002942289866041	0.0002942665305454	0.0002942137944046	0.0002942764258478	0.0002941758721136	0.0002941332058981
0.0003110387769993	0.000311128096655	0.000311082432745	0.0003111616824754	0.0003110736433882	0.0003111036785413	0.0003110560355708	0.0003110519319307	0.0003111936093774	0.000311050156597
0.0003172111755703	0.0003171848948114	0.0003171667340212	0.0003171699063387	0.0003171630669385	0.0003171573334839	0.0003171903954353	0.000317097408697	0.0003171294229105	0.0003171766584273
0.0003175925230607	0.0003176507307217	0.000317648431519	0.0003176068712492	0.000317641912261	0.000317575992085	0.0003175939782523	0.0003176286409143	0.000317569822073	0.0003176925820298
0.0003107117081527	0.0003107375814579	0.0003107329830527	0.0003107383963652	0.0003107440134045	0.0003107366792392	0.0003107843513135	0.0003107954980806	0.0003107946831733	0.0003107715747319
0.0002945116430055	0.0002944311127067	0.0002945242449641	0.0002944867301267	0.0002944860607386	0.0002944961597677	0.0002944175212178	0.000294500059681	0.0002944495645352	0.0002944426087197
0.0002689346147235	0.0002689174143597	0.0002689186949283	0.0002689481189009	0.0002689364773687	0.0002689590037335	0.0002689596440177	0.0002689079556148	0.0002689545217436	0.0002688277745619
0.0002392790920567	0.0002394205948804	0.0002394070033915	0.0002393857284915	0.0002393696049694	0.0002393170288997	0.0002393709728494	0.0002392906899331	0.0002393770846538	0.0002394813200226
0.0002051854826277	0.0002052035706583	0.0002052169729723	0.0002051844785456	0.0002051432966255	0.0002051845949609	0.0002052155468846	0.000205253745662	0.0002051891206065	0.0002051370101981
0.0001660156267462	0.000165975492564	0.0001659720292082	0.0001658975234022	0.0001660151028773	0.0001660202397034	0.0001660037669353	0.0001659963309066	0.0001660121924942	0.0001660224806983
0.0001223807048518	0.0001223575818585	0.0001223567087436	0.0001224075676873	0.0001223737199325	0.0001223856961587	0.0001223228755407	0.0001223732106155	0.0001223524595844	0.0001223259314429
7.468516560039e-05	7.466447277693e-05	7.467580871889e-05	7.466607348761e-05	7.46523073758e-05	7.470381387975e-05	7.469056436094e-05	7.469907723134e-05	7.468333205907e-05	7.468776311725e-05
2.566670445958e-05	2.57178053289e-05	2.56993171206e-05	2.570414471847e-05	2.575006874395e-05	2.572143603174e-05	2.570890865172e-05	2.571910226834e-05	2.569778007455e-05	2.569852222223e-05
-2.408008913335e-05	-2.404906626907e-05	-2.40302124439e-05	-2.406166640867e-05	-2.41234938585e-05	-2.407767897239e-05	-2.402718018857e-05	-2.403614780633e-05	-2.406359453744e-05	-2.408578802715e-05
-7.325065962505e-05	-7.326679042308e-05	-7.327191269724e-05	-7.32184125809e-05	-7.319966243813e-05	-7.325845217565e-05	-7.322783494601e-05	-7.327436469495e-05	-7.324016041821e-05	-7.318917050725e-05
-0.0001207710520248	-0.0001207305249409	-0.0001207537934533	-0.0001207405512105	-0.0001207440145663	-0.0001207783207064	-0.0001207872774103	-0.0001207492605317	-0.0001207391032949	-0.0001208117610076
-0.0001640000118641	-0.0001640708942432	-0.0001640473201405	-0.0001640780101297	-0.0001640707923798	-0.000164009994478	-0.0001640086557018	-0.0001640338305151	-0.0001640488335397	-0.0001640300179133
-0.0002034186472883	-0.0002033308410319	-0.0002033549098996	-0.0002033589116763	-0.000203297342523	-0.0002034139906755	-0.0002034371282207	-0.0002033703349298	-0.0002033088821918	-0.0002033323835349
-0.0002374473406235	-0.0002374715113547	-0.0002374725881964	-0.0002374444156885	-0.0002375559415668	-0.0002374526520725	-0.0002374368923483	-0.0002374520845478	-0.000237533589825	-0.0002374828764005
-0.0002672014816198	-0.0002672480768524	-0.0002672499686014	-0.0002672543923836	-0.0002671749389265	-0.0002672470291145	-0.0002671614347491	-0.0002672767441254	-0.0002672056434676	-0.0002671675756574
-0.0002926141314674	-0.0002926508313976	-0.0002925778680947	-0.0002925752196461	-0.0002925654407591	-0.0002925691369455	-0.0002925922453869	-0.0002925388980657	-0.0002925925364252	-0.0002926471352112
-0.0003092976403423	-0.0003093357372563	-0.0003094013372902	-0.0003094197600149	-0.0003094208659604	-0.0003093289560638	-0.0003094146086369	-0.0003093525301665	-0.0003093105333392	-0.0003094141720794
-0.0003156001621392	-0.0003155565063935	-0.0003155350568704	-0.0003154950099997	-0.0003155438753311	-0.0003155482700095	-0.0003155799640808	-0.0003155532176606	-0.0003155645681545	-0.0003155553131364
-0.0003141009365208	-0.0003139678156003	-0.0003140364424326	-0.000314024859108	-0.0003140028566122	-0.0003140291664749	-0.0003140195040032	-0.0003140507324133	-0.0003140739863738	-0.0003140088811051
-0.0003090083191637	-0.0003089859092142	-0.0003089854144491	-0.000308999675326	-0.0003089906240348	-0.0003090417303611	-0.000308952643536	-0.0003090528771281	-0.0003090075624641	-0.0003089369856752
-0.0002924106374849	-0.0002924613072537	-0.0002923818537965	-0.0002924521977548	-0.0002923628198914	-0.0002923791471403	-0.0002924775471911	-0.0002924183499999	-0.0002924044965766	-0.0002924430300482
