########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	28821
file                           	S15-236_S_BOA_135.0A_181026_160359.dat
date                           	26/10/2018
hour                           	16:03:59
operator                       	James Citadini
software_version               	v3.5
bench                          	1
temperature(C)                 	23.145
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.349969e+02
main_coil_current_std(A)       	+4.472136e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	-1.000000e+00
qs_coil_current_std(A)       	+5.619515e-04
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_17-10-2018_r=13mm
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	232861
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013035
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +1.004338e-04   	  +4.260954e-07   	  -2.682269e-05   	  +5.621589e-07   	  +1.039539e-04   	  +4.364740e-07   	  -2.609773e-01   	  +5.330627e-03   	  -2.292186e-03   	  +9.724717e-06   	  +6.121701e-04   	  +1.283007e-05   
2   	  +5.810514e-03   	  +2.669501e-05   	  -7.635983e-03   	  +4.821599e-05   	  +9.595327e-03   	  +4.163658e-05   	  -4.601656e-01   	  +1.881550e-03   	  -1.591350e-03   	  +7.311077e-06   	  +2.091299e-03   	  +1.320512e-05   
3   	  -3.042760e+02   	  +1.403227e-03   	  +5.133843e-01   	  +2.582158e-03   	  +3.042764e+02   	  +1.403232e-03   	  -5.624103e-04   	  +2.828739e-06   	  +1.000000e+00   	  +6.521918e-06   	  -1.687232e-03   	  +8.486241e-06   
4   	  +3.054365e+00   	  +1.390980e-01   	  +9.400288e+01   	  +2.106548e-01   	  +9.405249e+01   	  +2.105921e-01   	  +3.845789e-01   	  +3.699871e-04   	  -1.204577e-04   	  +5.485730e-06   	  -3.707275e-03   	  +8.307797e-06   
5   	  +5.965627e+01   	  +1.745031e+01   	  -1.102365e+02   	  +1.695956e+01   	  +1.253433e+02   	  +1.707196e+01   	  -2.149521e-01   	  +2.766858e-02   	  -2.823261e-05   	  +8.258437e-06   	  +5.216992e-05   	  +8.026192e-06   
6   	  +1.033987e+04   	  +1.121503e+03   	  +2.817306e+03   	  +1.077902e+03   	  +1.071681e+04   	  +1.118545e+03   	  +4.433545e-02   	  +1.681116e-02   	  -5.872069e-05   	  +6.369079e-06   	  -1.599965e-05   	  +6.121467e-06   
7   	  -1.158241e+06   	  +1.391228e+05   	  -5.298738e+05   	  +1.453730e+05   	  +1.273691e+06   	  +1.402244e+05   	  +6.129403e-02   	  +1.618589e-02   	  +7.893255e-05   	  +9.481032e-06   	  +3.611020e-05   	  +9.906978e-06   
8   	  -4.373430e+06   	  +8.994433e+06   	  -1.947195e+08   	  +9.358940e+06   	  +1.947686e+08   	  +9.358760e+06   	  +1.935425e-01   	  +5.772632e-03   	  +3.576514e-06   	  +7.355503e-06   	  +1.592385e-04   	  +7.653591e-06   
9   	  +1.742084e+11   	  +5.317277e+08   	  -1.960331e+09   	  +1.009955e+09   	  +1.742194e+11   	  +5.318155e+08   	  -1.250258e-03   	  +6.440851e-04   	  -1.709578e-03   	  +5.218066e-06   	  +1.923752e-05   	  +9.911102e-06   
10  	  -6.299559e+10   	  +6.650409e+10   	  -1.131609e+12   	  +6.456522e+10   	  +1.133362e+12   	  +6.457130e+10   	  +1.515185e-01   	  +5.867341e-03   	  +7.418409e-06   	  +7.831580e-06   	  +1.332593e-04   	  +7.603257e-06   
11  	  -1.425410e+13   	  +4.631426e+12   	  +9.993634e+12   	  +3.220248e+12   	  +1.740839e+13   	  +4.218837e+12   	  -5.558799e-02   	  +1.955448e-02   	  +2.014289e-05   	  +6.544810e-06   	  -1.412231e-05   	  +4.550632e-06   
12  	  +6.853166e+14   	  +2.424410e+14   	  -1.222960e+15   	  +2.068945e+14   	  +1.401888e+15   	  +2.159221e+14   	  -8.833520e-02   	  +1.393578e-02   	  -1.162130e-05   	  +4.111209e-06   	  +2.073842e-05   	  +3.508428e-06   
13  	  -1.691184e+16   	  +1.426695e+16   	  -2.551831e+16   	  +2.210155e+16   	  +3.061363e+16   	  +2.003806e+16   	  +7.580934e-02   	  +4.282680e-02   	  +3.441406e-06   	  +2.903194e-06   	  +5.192731e-06   	  +4.497463e-06   
14  	  +7.849427e+18   	  +1.587043e+18   	  +2.033009e+19   	  +1.655271e+18   	  +2.179280e+19   	  +1.646579e+18   	  +8.588077e-02   	  +5.231280e-03   	  -1.916743e-05   	  +3.875385e-06   	  -4.964384e-05   	  +4.041989e-06   
15  	  -4.732188e+22   	  +2.020874e+20   	  +6.360174e+20   	  +1.561769e+20   	  +4.732615e+22   	  +2.020800e+20   	  -8.959621e-04   	  +2.200143e-04   	  +1.386658e-03   	  +5.921705e-06   	  -1.863702e-05   	  +4.576402e-06   

magnetic_center_x(um) 	9.548
magnetic_center_y(um) 	-12.548


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.469317405485e-05	2.461788608343e-05	2.464752287779e-05	2.468336606398e-05	2.464692624926e-05	2.469537321304e-05	2.47809002758e-05	2.474042594258e-05	2.468718048476e-05	2.478980604792e-05
7.382788317045e-05	7.394357089652e-05	7.387574441964e-05	7.383880438283e-05	7.392891711788e-05	7.382783951471e-05	7.375274435617e-05	7.384741184069e-05	7.37514856155e-05	7.375677523669e-05
0.0001212158240378	0.0001210349146277	0.0001210497357533	0.0001210491391248	0.0001212038987433	0.000121270713862	0.0001211113485624	0.0001211276030517	0.000121104385471	0.0001211752096424
0.0001647061289987	0.0001647667377256	0.0001647790631978	0.0001647188473726	0.0001647621247685	0.0001646896707825	0.0001648761535762	0.0001646962045925	0.0001647708559176	0.0001647690805839
0.0002042537234956	0.0002041301340796	0.0002041423285846	0.0002042774867732	0.0002041751140496	0.0002041322004516	0.0002041760453722	0.0002042315318249	0.0002041130064754	0.0002042242413154
0.0002393843315076	0.0002393373870291	0.0002392981987214	0.0002392305759713	0.0002392708120169	0.0002393211616436	0.0002392611495452	0.0002393599861534	0.0002393315080553	0.0002393046015641
0.0002679990720935	0.000268090137979	0.0002681473561097	0.000268115894869	0.0002680817851797	0.000268061994575	0.0002681266341824	0.0002680361794773	0.0002681216283236	0.0002680913312361
0.0002938434772659	0.0002938469115179	0.0002938184479717	0.0002937940589618	0.0002938608522527	0.0002939231635537	0.0002937535755336	0.0002937910612673	0.0002938150428236	0.0002937807585113
0.0003108604287263	0.0003108208766207	0.0003108395030722	0.0003108533855993	0.0003109212848358	0.0003107826923952	0.0003108810051344	0.000310771225486	0.0003108493692707	0.0003108881937806
0.0003171541611664	0.0003171649004798	0.0003171541320626	0.0003171880962327	0.0003170410345774	0.0003172211290803	0.0003172177239321	0.0003173214499839	0.0003171921998728	0.000317142723361
0.0003175332967658	0.0003175340534654	0.0003175474121235	0.0003175096353516	0.0003175639722031	0.0003174180455972	0.0003175382444169	0.000317483296385	0.0003175441233907	0.0003176176105626
0.0003118667809758	0.0003118707099929	0.0003118284221273	0.0003117774031125	0.0003118147142231	0.0003119249304291	0.0003118501626886	0.0003118060121778	0.0003118262975477	0.000311794487061
0.0002959308039863	0.0002959390694741	0.0002959272242151	0.0002959625562653	0.0002959530102089	0.000295926904073	0.0002959264093079	0.0002959317644127	0.0002959310368169	0.0002959174744319
0.0002694875875022	0.0002694788272493	0.0002694947179407	0.0002695501607377	0.0002694529248402	0.0002694388094824	0.0002694513532333	0.0002695271978155	0.0002695193688851	0.000269533629762
0.0002400879457127	0.0002401641831966	0.000240098364884	0.0002401645906502	0.0002401897363598	0.000240187800955	0.0002401908859611	0.0002401524252491	0.0002402118698228	0.0002401582023595
0.0002060838742182	0.0002060859260382	0.0002061349950964	0.0002059523831122	0.0002060395781882	0.0002059456892312	0.0002059550170088	0.0002060124097625	0.0002059116814053	0.0002060058759525
0.000166802390595	0.000166698358953	0.0001667378965067	0.0001667638425715	0.0001668046315899	0.0001668931654422	0.0001667413307587	0.00016676170344	0.0001668285112828	0.0001667311735218
0.0001228569453815	0.0001230258058058	0.0001228340697708	0.0001229706249433	0.0001228416804224	0.0001229209447047	0.000123000878375	0.0001229050394613	0.0001229876797879	0.0001229843910551
7.518572965637e-05	7.50260805944e-05	7.521177758463e-05	7.514641765738e-05	7.513990567531e-05	7.513624586863e-05	7.514709432144e-05	7.524971442763e-05	7.511057629017e-05	7.512505544582e-05
2.551519901317e-05	2.570855394879e-05	2.559267704783e-05	2.55639624811e-05	2.566357034084e-05	2.563487760199e-05	2.553916783654e-05	2.551852958277e-05	2.563741145423e-05	2.561839392001e-05
-2.508608304197e-05	-2.515272899473e-05	-2.514740117476e-05	-2.501447670511e-05	-2.506131204427e-05	-2.517811299185e-05	-2.500320806575e-05	-2.503285759303e-05	-2.507010867703e-05	-2.51093370025e-05
-7.451826240867e-05	-7.448110409314e-05	-7.457616447937e-05	-7.462131179636e-05	-7.463696965715e-05	-7.448420365108e-05	-7.460692722816e-05	-7.461872155545e-05	-7.459554763045e-05	-7.462071516784e-05
-0.000122245241073	-0.0001222194550792	-0.0001221987913596	-0.0001221815909958	-0.0001221554121003	-0.0001220550038852	-0.0001221716374857	-0.0001221448328579	-0.00012217227777	-0.0001220720587298
-0.0001664233423071	-0.0001663285220275	-0.0001663728617132	-0.0001663290604483	-0.0001663578295847	-0.0001664767041802	-0.0001663133007241	-0.0001663580624154	-0.000166276935488	-0.0001664760202402
-0.0002062736020889	-0.0002063048887067	-0.0002062602870865	-0.0002063318097498	-0.0002062503044726	-0.0002061639097519	-0.0002063291030936	-0.0002063046704279	-0.0002063079591608	-0.0002061599661829
-0.0002399024815531	-0.0002399021905148	-0.0002400117518846	-0.0002399463701295	-0.0002399290970061	-0.0002400715602562	-0.000239918474108	-0.0002399055665592	-0.0002399425720796	-0.0002400499215582
-0.0002704974031076	-0.0002705439692363	-0.0002703953068703	-0.0002704711223487	-0.0002705295628402	-0.0002704026701394	-0.0002704732469283	-0.0002706155064516	-0.0002704382059164	-0.0002704453945626
-0.0002958599361591	-0.0002959118282888	-0.0002959412813652	-0.0002959330158774	-0.0002958542318083	-0.0002960075507872	-0.000295933423331	-0.0002959036210086	-0.0002959815319628	-0.0002959316479973
-0.0003129214746878	-0.0003130103868898	-0.0003129905962851	-0.0003130268014502	-0.0003129201068077	-0.0003129177785013	-0.0003128942335024	-0.0003128468815703	-0.0003129240940325	-0.0003128951066174
-0.0003197232144885	-0.0003196593315806	-0.0003197539772373	-0.0003196385514457	-0.0003197623300366	-0.0003196945181116	-0.0003196869802196	-0.0003197232144885	-0.0003196529287379	-0.0003196827601641
-0.0003184169472661	-0.0003183698572684	-0.0003182710788678	-0.0003183911903761	-0.0003183031221852	-0.0003183872031514	-0.0003183698281646	-0.0003183920925949	-0.0003183846420143	-0.0003184185188729
-0.0003129287797492	-0.0003129431861453	-0.000312965887133	-0.0003129130636808	-0.000312922813464	-0.0003129284013994	-0.0003129503165837	-0.000312930525979	-0.0003128975222353	-0.0003128206008114
-0.0002963213482872	-0.000296232115943	-0.0002962523140013	-0.0002962780417874	-0.0002963237056974	-0.0002962897415273	-0.0002962822618429	-0.0002962918952107	-0.000296310900012	-0.0002963615988847
