########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	28672
file                           	S15-256_S_BOA_135.0A_181025_160638.dat
date                           	25/10/2018
hour                           	16:06:38
operator                       	James Citadini
software_version               	v3.5
bench                          	1
temperature(C)                 	23.699
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.349945e+02
main_coil_current_std(A)       	+6.069770e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+1.500000e-04
qs_coil_current_std(A)       	+3.663475e-04
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_17-10-2018_r=13mm
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	232861
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013035
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +5.343036e-05   	  +2.039025e-07   	  -2.310698e-05   	  +1.751719e-07   	  +5.821285e-05   	  +1.996503e-07   	  -4.081801e-01   	  +3.092158e-03   	  -1.220326e-03   	  +4.657044e-06   	  +5.277533e-04   	  +4.000850e-06   
2   	  +9.412532e-03   	  +1.705570e-05   	  +2.151956e-02   	  +1.259781e-05   	  +2.348802e-02   	  +1.341394e-05   	  +5.792373e-01   	  +3.495733e-04   	  -2.579737e-03   	  +4.674542e-06   	  -5.897967e-03   	  +3.452788e-06   
3   	  -3.040533e+02   	  +9.206679e-04   	  +5.003782e-01   	  +1.032752e-03   	  +3.040538e+02   	  +9.206682e-04   	  -5.485636e-04   	  +1.132203e-06   	  +1.000000e+00   	  +4.282213e-06   	  -1.645692e-03   	  +3.396618e-06   
4   	  +5.508991e+00   	  +6.840375e-02   	  +1.332014e+01   	  +7.491707e-02   	  +1.441441e+01   	  +7.400145e-02   	  +2.946588e-01   	  +1.203540e-03   	  -2.174220e-04   	  +2.699674e-06   	  -5.257029e-04   	  +2.956734e-06   
5   	  +2.323234e+02   	  +5.233263e+00   	  -4.477311e+01   	  +8.253939e+00   	  +2.365984e+02   	  +5.370846e+00   	  -3.807696e-02   	  +6.902061e-03   	  -1.100286e-04   	  +2.478479e-06   	  +2.120459e-05   	  +3.909075e-06   
6   	  +3.883089e+03   	  +3.731313e+02   	  +2.336044e+03   	  +5.506312e+02   	  +4.531609e+03   	  +4.275509e+02   	  +9.026515e-02   	  +1.873988e-02   	  -2.206843e-05   	  +2.120585e-06   	  -1.327624e-05   	  +3.129354e-06   
7   	  -1.948238e+05   	  +3.647557e+04   	  +2.258616e+05   	  +4.177930e+04   	  +2.982780e+05   	  +3.960359e+04   	  -1.227206e-01   	  +1.859577e-02   	  +1.328670e-05   	  +2.487581e-06   	  -1.540344e-05   	  +2.849288e-06   
8   	  -1.608332e+06   	  +2.774357e+06   	  -9.946823e+07   	  +3.107138e+06   	  +9.948123e+07   	  +3.107055e+06   	  +1.943286e-01   	  +3.486146e-03   	  +1.316236e-06   	  +2.270486e-06   	  +8.140308e-05   	  +2.542828e-06   
9   	  +2.025819e+11   	  +2.368028e+08   	  -2.202983e+09   	  +2.244921e+08   	  +2.025939e+11   	  +2.368014e+08   	  -1.208233e-03   	  +1.231219e-04   	  -1.989474e-03   	  +2.325552e-06   	  +2.163460e-05   	  +2.204646e-06   
10  	  -4.077281e+10   	  +2.574456e+10   	  -1.819604e+11   	  +2.568780e+10   	  +1.864726e+11   	  +2.569051e+10   	  +1.350362e-01   	  +1.380463e-02   	  +4.804954e-06   	  +3.033921e-06   	  +2.144351e-05   	  +3.027233e-06   
11  	  -7.253985e+12   	  +1.545578e+12   	  -3.986826e+12   	  +2.529459e+12   	  +8.277383e+12   	  +1.821795e+12   	  +4.568544e-02   	  +2.568206e-02   	  +1.025834e-05   	  +2.185702e-06   	  +5.638027e-06   	  +3.577073e-06   
12  	  -6.977838e+13   	  +1.860182e+14   	  -1.525173e+14   	  +1.395801e+14   	  +1.677216e+14   	  +1.486597e+14   	  +9.514280e-02   	  +8.886022e-02   	  +1.184136e-06   	  +3.156725e-06   	  +2.588217e-06   	  +2.368671e-06   
13  	  -3.933041e+15   	  +1.101477e+16   	  -1.602366e+16   	  +1.696886e+16   	  +1.649929e+16   	  +1.668756e+16   	  +1.023156e-01   	  +5.331918e-02   	  +8.009205e-07   	  +2.243045e-06   	  +3.263048e-06   	  +3.455536e-06   
14  	  +8.706249e+18   	  +1.010605e+18   	  +2.597563e+19   	  +7.415310e+17   	  +2.739585e+19   	  +7.729696e+17   	  +8.909956e-02   	  +2.572776e-03   	  -2.127527e-05   	  +2.469594e-06   	  -6.347608e-05   	  +1.812063e-06   
15  	  -4.468378e+22   	  +1.060275e+20   	  +9.011808e+20   	  +9.671090e+19   	  +4.469286e+22   	  +1.060239e+20   	  -1.344349e-03   	  +1.442660e-04   	  +1.310313e-03   	  +3.109168e-06   	  -2.642634e-05   	  +2.835963e-06   

magnetic_center_x(um) 	15.478
magnetic_center_y(um) 	35.388


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.297471837664e-05	2.300790583831e-05	2.299878906342e-05	2.297052560607e-05	2.301255881321e-05	2.29561010201e-05	2.299739935552e-05	2.301900713064e-05	2.295709782629e-05	2.299342850165e-05
7.217414531624e-05	7.216706580948e-05	7.215294317575e-05	7.221474515973e-05	7.216736412374e-05	7.217101665447e-05	7.213336357381e-05	7.213996286737e-05	7.216173980851e-05	7.214957440738e-05
0.0001193714051624	0.0001193599964608	0.0001193671268993	0.0001193645075546	0.00011938795069	0.0001193973366753	0.0001193478601635	0.000119378848467	0.0001194157375721	0.0001193896823679
0.0001630331389606	0.0001630254264455	0.0001629694888834	0.0001629532343941	0.0001630089391256	0.0001629781618249	0.0001630334445508	0.00016299924755	0.0001629728358239	0.0001629545877222
0.0002024578279816	0.0002025151770795	0.0002025192516157	0.0002025290305028	0.0002024796995101	0.0002025347203016	0.0002025041612796	0.0002025485300692	0.0002024867426371	0.0002026039874181
0.0002374834875809	0.0002374370524194	0.0002375033072894	0.0002374523028266	0.0002374757023063	0.0002374346222496	0.0002374889154453	0.0002374699688517	0.0002374866744503	0.0002374273899477
0.0002662022598088	0.0002661779872142	0.0002661702164914	0.0002662208862603	0.0002661718172021	0.0002661698381416	0.000266146438662	0.0002661264152266	0.0002662146871444	0.0002661337784957
0.0002918370300904	0.0002918956161011	0.0002918344398495	0.000291873322567	0.0002918788522948	0.0002919122343883	0.0002919423568528	0.0002919226244558	0.0002918715472333	0.0002919482067227
0.0003089556703344	0.0003089589299634	0.0003089836682193	0.0003089179517701	0.0003089521487709	0.000308883638354	0.0003089300007559	0.0003089127712883	0.0003089385572821	0.0003089062520303
0.0003152504214086	0.0003152401477564	0.0003152477147523	0.0003152978024445	0.0003152330755256	0.000315289478749	0.0003152579593007	0.0003152665449306	0.0003152668068651	0.0003152267308906
0.0003154801088385	0.0003154573787469	0.0003154380246997	0.0003154492296744	0.0003154547594022	0.0003154777514283	0.0003154462319799	0.0003155519370921	0.0003154620644636	0.0003154580190312
0.0003098199667875	0.0003098334709648	0.0003098056768067	0.0003097916196566	0.0003098753513768	0.0003098324232269	0.0003097637090832	0.0003097216249444	0.0003098099841736	0.0003098082961515
0.0002940245321952	0.0002939662663266	0.0002940368431155	0.0002940523263533	0.0002940125123132	0.0002939826517832	0.0002940671984106	0.0002940821868833	0.0002940409758594	0.0002939857949968
0.0002678421442397	0.000267818570137	0.0002677623997442	0.0002677582087927	0.0002677869051695	0.0002678003511392	0.0002677247102838	0.0002677696757019	0.0002678248274606	0.0002678260498215
0.0002385281550232	0.000238563559833	0.0002385735569987	0.0002385945845162	0.0002385600382695	0.0002385542611592	0.0002386282430962	0.0002385833504377	0.0002385627885815	0.0002385929255979
0.0002046642184723	0.0002046926383628	0.0002046637382591	0.0002046724403044	0.0002047058369499	0.000204694661079	0.0002046842419077	0.0002046813897323	0.0002046170266112	0.0002046625741059
0.0001657399261603	0.0001657777320361	0.0001658120017964	0.000165777222719	0.000165749763255	0.0001657189714024	0.0001657150423853	0.0001657486718614	0.0001657593675191	0.0001657911925577
0.0001222790160682	0.0001222134160344	0.0001222268183483	0.0001222588180099	0.0001222394785145	0.0001222748978762	0.0001222454447998	0.0001222518039867	0.0001222561113536	0.0001222250139108
7.485966489185e-05	7.486823596992e-05	7.486101821996e-05	7.483273657272e-05	7.485980313504e-05	7.48748643673e-05	7.486716640415e-05	7.488270784961e-05	7.488542905776e-05	7.489868585253e-05
2.583788227639e-05	2.581882108643e-05	2.581071930763e-05	2.581922854006e-05	2.580382533779e-05	2.581653643574e-05	2.579682950454e-05	2.582427259767e-05	2.581667285995e-05	2.577947816462e-05
-2.406792555121e-05	-2.406198836979e-05	-2.406740713923e-05	-2.401187884971e-05	-2.400545054115e-05	-2.402905374765e-05	-2.401181882306e-05	-2.402825521131e-05	-2.405135273875e-05	-2.400174889772e-05
-7.302848098334e-05	-7.3023904406e-05	-7.302784069907e-05	-7.305214967346e-05	-7.303338497877e-05	-7.304662722163e-05	-7.304194150493e-05	-7.302884478122e-05	-7.302188168978e-05	-7.30362808099e-05
-0.0001201473423862	-0.0001201554769068	-0.0001201725899591	-0.0001201776321977	-0.0001201683771797	-0.0001201773848152	-0.0001201816630783	-0.0001201813865919	-0.0001201615523314	-0.0001201856794069
-0.0001640356204007	-0.0001640241825953	-0.0001640007976675	-0.0001640129339648	-0.0001640227128519	-0.0001640284172026	-0.0001639571855776	-0.0001639806869207	-0.000164023556863	-0.0001639923721086
-0.0002034803183051	-0.0002035206271103	-0.0002035111247096	-0.0002035088982666	-0.0002035196230281	-0.0002034718054347	-0.0002035773359239	-0.0002035604120465	-0.0002034962235484	-0.0002035073412117
-0.0002370080474066	-0.0002370007277932	-0.00023698376026	-0.0002369168651057	-0.0002369560243096	-0.0002370324946241	-0.0002369427529629	-0.0002369616850046	-0.0002370165020693	-0.0002369929279666
-0.0002672139962669	-0.0002672198461369	-0.0002671744732652	-0.0002672421978787	-0.0002671886759344	-0.0002671263355296	-0.0002672549744602	-0.0002671632682905	-0.0002671453985386	-0.0002671722031664
-0.0002923630236182	-0.0002923565916717	-0.0002924408472609	-0.0002923639549408	-0.0002923443971667	-0.000292389333481	-0.000292338692816	-0.0002924001310021	-0.0002924066502601	-0.0002923527790699
-0.0003092070401181	-0.0003092172846664	-0.0003092188562732	-0.0003092651895713	-0.0003092799161095	-0.000309241557261	-0.0003091861435678	-0.000309149880195	-0.0003092309925705	-0.0003092452825513
-0.000315788842272	-0.0003158839826938	-0.0003157444880344	-0.0003158231265843	-0.0003157916362397	-0.0003158415202051	-0.0003158433828503	-0.0003158406761941	-0.0003157918981742	-0.0003158249019179
-0.0003145329246763	-0.00031448045047	-0.0003145450609736	-0.0003145242517348	-0.0003145149676129	-0.000314448872814	-0.0003145413647871	-0.0003145443333779	-0.0003145355440211	-0.0003145101072732
-0.0003092430415563	-0.0003091642283835	-0.0003092587576248	-0.0003091133548878	-0.0003092323895544	-0.0003092217957601	-0.0003091177204624	-0.0003092469705734	-0.0003092245897278	-0.0003092020051554
-0.0002925248700194	-0.0002925291191787	-0.0002925048465841	-0.0002925711451098	-0.0002925068547484	-0.0002925600565504	-0.0002925828739535	-0.0002925397711806	-0.0002925568260252	-0.0002925002772827
