########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	18406
file                           	S15-213_S_BOA_004.0A_180815_151041.dat
date                           	15/08/2018
hour                           	15:10:41
operator                       	Lucas Balthazar
software_version               	v3.3
bench                          	1
temperature(C)                 	23.165
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+3.997900e+00
main_coil_current_std(A)       	+6.407233e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_06-08-2018_r=13mm
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282803
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +1.064551e-06   	  +1.176063e-07   	  -3.126971e-07   	  +1.530840e-07   	  +1.109526e-06   	  +1.208057e-07   	  +0.000000e+00   	  +0.000000e+00   	  -6.307245e-04   	  +6.967918e-05   	  +1.852675e-04   	  +9.069895e-05   
2   	  +8.074825e-05   	  +8.339204e-06   	  +5.251510e-04   	  +1.212620e-05   	  +5.313227e-04   	  +1.205216e-05   	  +0.000000e+00   	  +0.000000e+00   	  -5.741007e-04   	  +5.928958e-05   	  -3.733688e-03   	  +8.621438e-05   
3   	  -1.172101e+01   	  +6.767749e-04   	  -7.188980e-03   	  +7.110355e-04   	  +1.172101e+01   	  +6.767749e-04   	  +2.044471e-04   	  +2.022111e-05   	  +1.000000e+00   	  +8.165714e-05   	  +6.133405e-04   	  +6.066334e-05   
4   	  -1.094014e+00   	  +5.597952e-02   	  +4.269908e-02   	  +6.588876e-02   	  +1.094847e+00   	  +5.599592e-02   	  +0.000000e+00   	  +0.000000e+00   	  +1.120053e-03   	  +5.731201e-05   	  -4.371602e-05   	  +6.745708e-05   
5   	  -6.903178e+01   	  +4.308498e+00   	  +3.003819e+01   	  +5.819808e+00   	  +7.528400e+01   	  +4.582578e+00   	  +0.000000e+00   	  +0.000000e+00   	  +8.480986e-04   	  +5.293263e-05   	  -3.690383e-04   	  +7.150002e-05   
6   	  -7.369672e+01   	  +4.655347e+02   	  +3.380256e+02   	  +4.888175e+02   	  +3.459661e+02   	  +4.877850e+02   	  +0.000000e+00   	  +0.000000e+00   	  +1.086404e-05   	  +6.863265e-05   	  -4.983437e-05   	  +7.206517e-05   
7   	  -1.361916e+05   	  +3.544450e+04   	  -9.794367e+03   	  +4.993442e+04   	  +1.365433e+05   	  +3.553418e+04   	  +0.000000e+00   	  +0.000000e+00   	  +2.409401e-04   	  +6.270596e-05   	  +1.732437e-05   	  +8.834052e-05   
8   	  -3.198077e+06   	  +3.919709e+06   	  -3.473043e+06   	  +3.207851e+06   	  +4.721199e+06   	  +3.552244e+06   	  +0.000000e+00   	  +0.000000e+00   	  +6.789148e-05   	  +8.321373e-05   	  +7.373150e-05   	  +6.810129e-05   
9   	  +5.073040e+09   	  +2.214103e+08   	  -8.186491e+07   	  +1.370007e+08   	  +5.073700e+09   	  +2.213925e+08   	  +0.000000e+00   	  +0.000000e+00   	  -1.292383e-03   	  +5.640539e-05   	  +2.085499e-05   	  +3.490158e-05   
10  	  -8.349079e+09   	  +2.286048e+10   	  -6.153742e+09   	  +1.766261e+10   	  +1.037187e+10   	  +2.117675e+10   	  +0.000000e+00   	  +0.000000e+00   	  +2.552023e-05   	  +6.988582e-05   	  +1.881115e-05   	  +5.399562e-05   
11  	  +7.926145e+11   	  +9.172802e+11   	  +4.450795e+11   	  +1.497866e+12   	  +9.090289e+11   	  +1.085150e+12   	  +0.000000e+00   	  +0.000000e+00   	  -2.907716e-05   	  +3.365015e-05   	  -1.632860e-05   	  +5.494875e-05   
12  	  +3.098528e+13   	  +1.848306e+14   	  -6.692780e+11   	  +1.457021e+14   	  +3.099251e+13   	  +1.848143e+14   	  +0.000000e+00   	  +0.000000e+00   	  -1.364071e-05   	  +8.136547e-05   	  +2.961757e-07   	  +6.414046e-05   
13  	  -5.211581e+15   	  +1.386363e+16   	  -4.084914e+15   	  +1.409338e+16   	  +6.621714e+15   	  +1.395151e+16   	  +0.000000e+00   	  +0.000000e+00   	  +2.753212e-05   	  +7.323593e-05   	  +2.157786e-05   	  +7.444965e-05   
14  	  -9.439673e+16   	  +1.244879e+18   	  +2.568202e+17   	  +1.108773e+18   	  +2.736190e+17   	  +1.125836e+18   	  +0.000000e+00   	  +0.000000e+00   	  +5.982812e-06   	  +7.891435e-05   	  -1.627899e-05   	  +7.028642e-05   
15  	  -1.639915e+21   	  +9.808025e+19   	  -6.014549e+19   	  +7.659688e+19   	  +1.641018e+21   	  +9.805455e+19   	  +0.000000e+00   	  +0.000000e+00   	  +1.247473e-03   	  +7.460908e-05   	  +4.575159e-05   	  +5.826677e-05   

magnetic_center_x(um) 	3.445
magnetic_center_y(um) 	22.402


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
1.19333742532e-06	1.164983245872e-06	1.179541868623e-06	1.188005285258e-06	1.183414497063e-06	1.214818894368e-06	1.201099394166e-06	1.127820610236e-06	1.182137566502e-06	1.195390041175e-06
3.079969701503e-06	3.077773044424e-06	3.100337835349e-06	3.096848786299e-06	3.056847162952e-06	3.046864776479e-06	3.071163746426e-06	3.067048510275e-06	3.037155011043e-06	3.03860178974e-06
4.866763447353e-06	4.891004664387e-06	4.857522071688e-06	4.878419076704e-06	4.851498943026e-06	4.89992362418e-06	4.878050276602e-06	4.849233846471e-06	4.86970111524e-06	4.902552973363e-06
6.593792022613e-06	6.519334419863e-06	6.61767217025e-06	6.551425940415e-06	6.625038622587e-06	6.546626082127e-06	6.595354534511e-06	6.614083304157e-06	6.543821655214e-06	6.527275672852e-06
8.097386853478e-06	8.106296263577e-06	8.09422635939e-06	8.060583240876e-06	8.076200174401e-06	8.120036909531e-06	8.085581612249e-06	8.087610694929e-06	8.10956407804e-06	8.097902536974e-06
9.399960617884e-06	9.40803965932e-06	9.434456842428e-06	9.422034054296e-06	9.412068720849e-06	9.392601896252e-06	9.372223757964e-06	9.425200914848e-06	9.437655535294e-06	9.408264304511e-06
1.054813765222e-05	1.050240462064e-05	1.049792535923e-05	1.052860443451e-05	1.05695817183e-05	1.05516437543e-05	1.056763539964e-05	1.051093386195e-05	1.053377673088e-05	1.054162385117e-05
1.154297751782e-05	1.155610789283e-05	1.154081110144e-05	1.15401317089e-05	1.151069500338e-05	1.150752450485e-05	1.153584616986e-05	1.156095004262e-05	1.152012555394e-05	1.151656761067e-05
1.209295533044e-05	1.210200207424e-05	1.211992639583e-05	1.212079769175e-05	1.213358427776e-05	1.212448296428e-05	1.211291964864e-05	1.209448601003e-05	1.212572078657e-05	1.212693314301e-05
1.234701539943e-05	1.234561659658e-05	1.232733575307e-05	1.232591239386e-05	1.232249360328e-05	1.233612420037e-05	1.233606599271e-05	1.234652972926e-05	1.232594422618e-05	1.232876456925e-05
1.235051604453e-05	1.236165917362e-05	1.237399737875e-05	1.237605192728e-05	1.236405660165e-05	1.235045874637e-05	1.234618139279e-05	1.236897696799e-05	1.237686319655e-05	1.236422394868e-05
1.214665553562e-05	1.21406847029e-05	1.215107567987e-05	1.214146504935e-05	1.217388671648e-05	1.216800228576e-05	1.215280099132e-05	1.213174527948e-05	1.213287123392e-05	1.216629516421e-05
1.153096945927e-05	1.153937228082e-05	1.151596916316e-05	1.150168463937e-05	1.147619514086e-05	1.14837403089e-05	1.151145988842e-05	1.152987442765e-05	1.151239939645e-05	1.148812771135e-05
1.048844842444e-05	1.04707396531e-05	1.048839749274e-05	1.053303731169e-05	1.052454081218e-05	1.05585268102e-05	1.049345155479e-05	1.050560149451e-05	1.051846356859e-05	1.052617608366e-05
9.375696208735e-06	9.393480468134e-06	9.375901754538e-06	9.342558769276e-06	9.396329915035e-06	9.360104741063e-06	9.405588571099e-06	9.391775165568e-06	9.381093150296e-06	9.384729310113e-06
8.133677511069e-06	8.082366548479e-06	8.107046596706e-06	8.052666998992e-06	8.063689165283e-06	8.067650014709e-06	8.075239747996e-06	8.100673767331e-06	8.104500921036e-06	8.033339327085e-06
6.521862360387e-06	6.635892532358e-06	6.526256129291e-06	6.635846148129e-06	6.597190804314e-06	6.613353889406e-06	6.55766325508e-06	6.518312602566e-06	6.495832622022e-06	6.578029569937e-06
4.892585820926e-06	4.838378572458e-06	4.893816822005e-06	4.840419478569e-06	4.887277555099e-06	4.86852013637e-06	4.880375399807e-06	4.937241101288e-06	4.875385002379e-06	4.887469003734e-06
3.076401071667e-06	3.054294666072e-06	3.12750375997e-06	3.101248921666e-06	3.059503569602e-06	3.103181597908e-06	3.091086455242e-06	3.019521955139e-06	3.092643282798e-06	3.077065912294e-06
1.234848809872e-06	1.160164970315e-06	1.16800822525e-06	1.170887003354e-06	1.213886093865e-06	1.159024463959e-06	1.177905573968e-06	1.192368017655e-06	1.186011218124e-06	1.190371904158e-06
-7.784787499077e-07	-7.307806413337e-07	-7.887136348472e-07	-7.197631362033e-07	-7.892568305579e-07	-7.510077466577e-07	-7.195986881925e-07	-7.00847635926e-07	-7.28817099116e-07	-7.349798920586e-07
-2.665560259629e-06	-2.661651024027e-06	-2.591795237095e-06	-2.682777903829e-06	-2.598993660285e-06	-2.603019765957e-06	-2.620269924591e-06	-2.649765519891e-06	-2.583793047961e-06	-2.622276497277e-06
-4.420089680934e-06	-4.421158337209e-06	-4.428040483617e-06	-4.461481694307e-06	-4.467361122806e-06	-4.475315108721e-06	-4.436323706614e-06	-4.443276338861e-06	-4.481721134653e-06	-4.457992872631e-06
-6.129037501523e-06	-6.097488039813e-06	-6.129812391009e-06	-6.112437404227e-06	-6.144329290692e-06	-6.138340722828e-06	-6.149406544864e-06	-6.141377525637e-06	-6.129212579253e-06	-6.106694399932e-06
-7.658747563255e-06	-7.642069249414e-06	-7.656488378416e-06	-7.654769433429e-06	-7.555286629213e-06	-7.609268322994e-06	-7.648377504665e-06	-7.641392585356e-06	-7.635156180186e-06	-7.658995855309e-06
-8.857427019393e-06	-8.873395927367e-06	-8.888800948625e-06	-8.909577445593e-06	-8.962262654677e-06	-8.888878255675e-06	-8.888927368389e-06	-8.866251846484e-06	-8.907330993679e-06	-8.866481948644e-06
-1.007126047625e-05	-1.005083413474e-05	-1.002508724923e-05	-1.003256693366e-05	-1.002089629765e-05	-1.008777144307e-05	-1.005594731396e-05	-1.007442460832e-05	-1.003158831736e-05	-1.006724232866e-05
-1.102187616198e-05	-1.101444559026e-05	-1.103235445044e-05	-1.101900124922e-05	-1.102010719478e-05	-1.100402914744e-05	-1.101294765249e-05	-1.100529152609e-05	-1.101249381463e-05	-1.10062346721e-05
-1.160694864666e-05	-1.162962507806e-05	-1.162965872936e-05	-1.163380511571e-05	-1.164079822047e-05	-1.163270371762e-05	-1.162505759567e-05	-1.162863281934e-05	-1.162325497717e-05	-1.162954595202e-05
-1.185801011161e-05	-1.185439850815e-05	-1.183856147691e-05	-1.183343283628e-05	-1.182952382806e-05	-1.18566213132e-05	-1.184974098578e-05	-1.184932989418e-05	-1.184626398754e-05	-1.18377902254e-05
