########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	15443
file                           	S15-236_S_BOA_010.0A_180730_092804.dat
date                           	30/07/2018
hour                           	09:28:04
operator                       	Lucas Balthazar
software_version               	v3.3
bench                          	1
temperature(C)                 	23.397
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+9.996350e+00
main_coil_current_std(A)       	+9.333020e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_05-07-2018_r=13mm_S15
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282851
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +1.151738e-05   	  +1.057035e-07   	  -4.528134e-07   	  +2.718781e-07   	  +1.152628e-05   	  +1.061606e-07   	  +0.000000e+00   	  +0.000000e+00   	  -3.190275e-03   	  +2.927957e-05   	  +1.254282e-04   	  +7.530931e-05   
2   	  +8.677111e-04   	  +7.600074e-06   	  +1.543995e-03   	  +1.677146e-05   	  +1.771114e-03   	  +1.508745e-05   	  +0.000000e+00   	  +0.000000e+00   	  -2.884237e-03   	  +2.526238e-05   	  -5.132178e-03   	  +5.574772e-05   
3   	  -2.507050e+01   	  +4.072064e-04   	  -2.720827e-02   	  +1.641457e-03   	  +2.507051e+01   	  +4.072101e-04   	  +3.617567e-04   	  +2.182452e-05   	  +1.000000e+00   	  +2.297030e-05   	  +1.085271e-03   	  +6.547365e-05   
4   	  +8.100928e-01   	  +3.832841e-02   	  -6.534753e-01   	  +1.362085e-01   	  +1.040807e+00   	  +9.057300e-02   	  +0.000000e+00   	  +0.000000e+00   	  -3.877512e-04   	  +1.834590e-05   	  +3.127865e-04   	  +6.519622e-05   
5   	  +1.404841e+01   	  +5.124795e+00   	  +2.936534e+01   	  +1.219390e+01   	  +3.255274e+01   	  +1.122007e+01   	  +0.000000e+00   	  +0.000000e+00   	  -8.069156e-05   	  +2.943581e-05   	  -1.686682e-04   	  +7.003934e-05   
6   	  +2.020317e+02   	  +3.939986e+02   	  +7.200995e+02   	  +7.975017e+02   	  +7.479038e+02   	  +7.751945e+02   	  +0.000000e+00   	  +0.000000e+00   	  -1.392526e-05   	  +2.715661e-05   	  -4.963280e-05   	  +5.496831e-05   
7   	  -9.307837e+04   	  +2.988203e+04   	  -1.504460e+04   	  +7.129697e+04   	  +9.428639e+04   	  +3.161681e+04   	  +0.000000e+00   	  +0.000000e+00   	  +7.698589e-05   	  +2.471566e-05   	  +1.244404e-05   	  +5.897026e-05   
8   	  +8.386973e+05   	  +3.951897e+06   	  -5.668454e+05   	  +4.818994e+06   	  +1.012288e+06   	  +4.242898e+06   	  +0.000000e+00   	  +0.000000e+00   	  -8.324139e-06   	  +3.922372e-05   	  +5.626403e-06   	  +4.782992e-05   
9   	  +1.395151e+10   	  +2.932467e+08   	  -7.779029e+08   	  +4.932399e+08   	  +1.397318e+10   	  +2.940767e+08   	  +0.000000e+00   	  +0.000000e+00   	  -1.661674e-03   	  +3.492672e-05   	  +9.265136e-05   	  +5.874660e-05   
10  	  -1.556697e+10   	  +2.834456e+10   	  +4.341179e+09   	  +3.279528e+10   	  +1.616096e+10   	  +2.868884e+10   	  +0.000000e+00   	  +0.000000e+00   	  +2.224868e-05   	  +4.051124e-05   	  -6.204429e-06   	  +4.687239e-05   
11  	  -7.253677e+11   	  +2.693609e+12   	  +5.819103e+10   	  +3.964054e+12   	  +7.276981e+11   	  +2.703630e+12   	  +0.000000e+00   	  +0.000000e+00   	  +1.244058e-05   	  +4.619782e-05   	  -9.974772e-07   	  +6.798710e-05   
12  	  +1.024524e+13   	  +1.591647e+14   	  +2.107569e+13   	  +1.842402e+14   	  +2.343394e+13   	  +1.797179e+14   	  +0.000000e+00   	  +0.000000e+00   	  -2.108645e-06   	  +3.275782e-05   	  -4.337355e-06   	  +3.791863e-05   
13  	  +1.144605e+16   	  +1.685016e+16   	  +8.626362e+14   	  +2.048346e+16   	  +1.147851e+16   	  +1.687288e+16   	  +0.000000e+00   	  +0.000000e+00   	  -2.826835e-05   	  +4.161535e-05   	  -2.130150e-06   	  +5.058862e-05   
14  	  +3.254655e+17   	  +1.126141e+18   	  +1.412714e+18   	  +1.114148e+18   	  +1.449720e+18   	  +1.114756e+18   	  +0.000000e+00   	  +0.000000e+00   	  -9.645820e-06   	  +3.337517e-05   	  -4.186809e-05   	  +3.301975e-05   
15  	  -3.510405e+21   	  +9.238327e+19   	  -9.734651e+18   	  +1.162450e+20   	  +3.510418e+21   	  +9.238347e+19   	  +0.000000e+00   	  +0.000000e+00   	  +1.248444e-03   	  +3.285530e-05   	  +3.462418e-06   	  +4.134150e-05   

magnetic_center_x(um) 	17.305
magnetic_center_y(um) 	30.793


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.130228267561e-06	2.18344644054e-06	2.117896883647e-06	2.31692433772e-06	2.351091325181e-06	2.042827190962e-06	2.285892378495e-06	2.385933839832e-06	2.158914639949e-06	2.181162699344e-06
6.256558663154e-06	6.380804734363e-06	6.185415259097e-06	6.093658157624e-06	6.062896318326e-06	6.351700449159e-06	6.087657311582e-06	6.061020030756e-06	6.109388323239e-06	6.315830432868e-06
1.006999264064e-05	9.915816008288e-06	1.021076786856e-05	1.011059430311e-05	1.010122286971e-05	9.974726708606e-06	1.013064320432e-05	1.017056638375e-05	1.014710596792e-05	1.000820793706e-05
1.363692445011e-05	1.375589090458e-05	1.356362463412e-05	1.375554620608e-05	1.365609205095e-05	1.367455661239e-05	1.373906980007e-05	1.359571251669e-05	1.369433175569e-05	1.369502388116e-05
1.694639649941e-05	1.693463309493e-05	1.691724173725e-05	1.679081105976e-05	1.692478144832e-05	1.689468444965e-05	1.679512934061e-05	1.696019717201e-05	1.692403384368e-05	1.686133145995e-05
1.969937693502e-05	1.962892929441e-05	1.977909050765e-05	1.977937427e-05	1.977437386813e-05	1.972432801267e-05	1.976671956072e-05	1.965206502064e-05	1.967487514776e-05	1.97338504222e-05
2.212717845396e-05	2.211844184785e-05	2.204434349551e-05	2.209926788055e-05	2.199501432187e-05	2.215249878645e-05	2.212508843513e-05	2.213807056251e-05	2.205096643593e-05	2.214858795924e-05
2.420647069812e-05	2.418054100417e-05	2.424933518341e-05	2.417835821689e-05	2.42885271291e-05	2.416593451926e-05	2.414111440885e-05	2.420236705802e-05	2.425106140436e-05	2.415439485048e-05
2.55346949416e-05	2.555709397711e-05	2.551516627136e-05	2.552769728936e-05	2.549328746682e-05	2.553521881055e-05	2.555569881224e-05	2.552664591349e-05	2.554150523792e-05	2.555633363954e-05
2.596483682282e-05	2.594578108983e-05	2.595439582365e-05	2.594960642455e-05	2.596173908387e-05	2.596687045298e-05	2.595125260996e-05	2.595875594125e-05	2.594695979496e-05	2.594198667794e-05
2.600060179248e-05	2.602368113003e-05	2.600931111374e-05	2.602021413622e-05	2.600222978799e-05	2.600821608212e-05	2.600727748359e-05	2.599442450446e-05	2.602960375953e-05	2.599525578262e-05
2.560941720731e-05	2.560821303632e-05	2.56306520896e-05	2.559437780292e-05	2.561762630648e-05	2.557322295615e-05	2.559884887887e-05	2.563599628047e-05	2.558330561442e-05	2.558988126111e-05
2.423844307486e-05	2.419230440864e-05	2.424146805424e-05	2.421389399387e-05	2.418916119495e-05	2.430210042803e-05	2.42027308559e-05	2.422512625344e-05	2.422726902296e-05	2.429092819511e-05
2.212629442511e-05	2.215996755695e-05	2.20120891754e-05	2.212927938672e-05	2.216094071628e-05	2.202066571044e-05	2.215304994024e-05	2.209544982179e-05	2.206880344602e-05	2.204045085819e-05
1.956108826562e-05	1.960322151717e-05	1.977254942176e-05	1.959755354619e-05	1.962625901797e-05	1.970131779672e-05	1.964857437997e-05	1.960444933502e-05	1.972450627363e-05	1.968887409021e-05
1.699360291241e-05	1.691836405371e-05	1.68644637597e-05	1.694971797406e-05	1.696714389254e-05	1.688997690508e-05	1.676173633314e-05	1.693888407317e-05	1.687849180598e-05	1.683823757048e-05
1.362498278468e-05	1.374380371999e-05	1.369956316921e-05	1.373356917611e-05	1.36384533107e-05	1.364658601233e-05	1.39015401146e-05	1.362237435387e-05	1.361768681818e-05	1.377038006467e-05
1.016461283143e-05	1.000199790724e-05	1.014341705741e-05	1.003804300126e-05	1.001033524517e-05	1.018657894747e-05	1.005993271974e-05	1.024739140121e-05	1.019474711939e-05	1.011929180095e-05
6.125433628767e-06	6.289239536272e-06	6.080948423914e-06	6.273561211856e-06	6.331869826681e-06	6.156345534691e-06	6.053134711692e-06	6.056441634428e-06	6.198903065524e-06	6.126237167337e-06
2.285077243869e-06	2.240214143967e-06	2.318830183867e-06	2.224347554147e-06	2.0400871108e-06	2.23216784434e-06	2.36813571064e-06	2.295934336871e-06	2.200471044489e-06	2.313158802281e-06
-2.046632744168e-06	-2.037921149167e-06	-1.925384140122e-06	-2.049535169135e-06	-1.702700274109e-06	-1.871706558632e-06	-1.978141881409e-06	-1.970962330233e-06	-1.961283260243e-06	-2.000354243137e-06
-5.830621830683e-06	-5.824285835843e-06	-6.022469278832e-06	-5.802917712572e-06	-6.030853455741e-06	-6.008005129843e-06	-5.991374109726e-06	-5.870705081179e-06	-5.84208237342e-06	-5.865600542165e-06
-9.838286132435e-06	-9.868666893453e-06	-9.621354365663e-06	-9.812391908781e-06	-9.744974704518e-06	-9.718959518068e-06	-9.687944839243e-06	-9.724211849971e-06	-9.794617653824e-06	-9.775986654859e-06
-1.331209023192e-05	-1.334146327281e-05	-1.352944764221e-05	-1.339820755675e-05	-1.335760953225e-05	-1.340343897027e-05	-1.344950214843e-05	-1.34656784212e-05	-1.344678730675e-05	-1.346327735519e-05
-1.672761936788e-05	-1.661937494646e-05	-1.654357038205e-05	-1.663932016527e-05	-1.671913196333e-05	-1.667104334047e-05	-1.65587025549e-05	-1.659259760345e-05	-1.662253089307e-05	-1.65302426467e-05
-1.923678610183e-05	-1.93524047063e-05	-1.932072518684e-05	-1.937749584613e-05	-1.922548835864e-05	-1.928993151523e-05	-1.934054853336e-05	-1.935463660629e-05	-1.927659468492e-05	-1.937005617947e-05
-2.179737202823e-05	-2.172783024434e-05	-2.182654134231e-05	-2.168829632865e-05	-2.179383591283e-05	-2.179636794608e-05	-2.179660623369e-05	-2.174740257033e-05	-2.177939495596e-05	-2.172856693505e-05
-2.385654624959e-05	-2.38777793129e-05	-2.378694262006e-05	-2.391639645793e-05	-2.386370397289e-05	-2.38338507188e-05	-2.384163963143e-05	-2.391237831034e-05	-2.390682493569e-05	-2.387306449236e-05
-2.524793853809e-05	-2.527653123252e-05	-2.526897515054e-05	-2.523469629523e-05	-2.52382542385e-05	-2.524266892578e-05	-2.524725823605e-05	-2.519581721572e-05	-2.520352973079e-05	-2.526527168811e-05
-2.563981252024e-05	-2.562215740909e-05	-2.565015165601e-05	-2.562996087363e-05	-2.563910493336e-05	-2.566026705608e-05	-2.564157148299e-05	-2.566415241745e-05	-2.564259193605e-05	-2.562790359661e-05
