########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	25973
file                           	S15-070_S_BOA_167.8A_181003_103935.dat
date                           	03/10/2018
hour                           	10:39:35
operator                       	Lucas Balthazar
software_version               	v3.5
bench                          	1
temperature(C)                 	22.695
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.677976e+02
main_coil_current_std(A)       	+9.986833e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	-9.999900e+00
qs_coil_current_std(A)       	+8.522416e-04
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_27-08-2018_r=13mm
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	233386
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013042
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	2ª medida QS



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  -1.861828e-05   	  +1.728912e-07   	  -1.134962e-05   	  +2.072728e-07   	  +2.180491e-05   	  +1.828458e-07   	  +5.474452e-01   	  +9.105598e-03   	  +3.512920e-04   	  +3.262134e-06   	  +2.141461e-04   	  +3.910850e-06   
2   	  +2.096105e-02   	  +1.228039e-05   	  -1.571309e-01   	  +1.552168e-05   	  +1.585228e-01   	  +1.547085e-05   	  -7.190903e-01   	  +3.893564e-05   	  -4.745950e-03   	  +2.780528e-06   	  +3.557720e-02   	  +3.515804e-06   
3   	  -3.680516e+02   	  +1.034751e-03   	  -1.756840e-01   	  +1.347042e-03   	  +3.680516e+02   	  +1.034751e-03   	  +1.591118e-04   	  +1.219975e-06   	  +1.000000e+00   	  +3.975960e-06   	  +4.773353e-04   	  +3.659927e-06   
4   	  -3.196169e-01   	  +6.251671e-02   	  +7.099708e+02   	  +1.117464e-01   	  +7.099709e+02   	  +1.117464e-01   	  -3.925865e-01   	  +2.201383e-05   	  +1.042083e-05   	  +2.038303e-06   	  -2.314798e-02   	  +3.643975e-06   
5   	  -1.190864e+03   	  +7.624967e+00   	  +3.809007e+02   	  +7.626057e+00   	  +1.250297e+03   	  +7.625068e+00   	  -6.191382e-02   	  +1.219863e-03   	  +4.659249e-04   	  +2.983265e-06   	  -1.490272e-04   	  +2.983691e-06   
6   	  +1.639041e+04   	  +4.546569e+02   	  -4.537652e+03   	  +6.269318e+02   	  +1.700694e+04   	  +4.690175e+02   	  -4.501390e-02   	  +6.039320e-03   	  -7.695290e-05   	  +2.134611e-06   	  +2.130426e-05   	  +2.943441e-06   
7   	  -2.736919e+06   	  +4.397676e+04   	  +2.424708e+05   	  +5.215671e+04   	  +2.747639e+06   	  +4.404633e+04   	  -1.262313e-02   	  +2.708714e-03   	  +1.541978e-04   	  +2.477648e-06   	  -1.366079e-05   	  +2.938505e-06   
8   	  -6.008391e+06   	  +3.621113e+06   	  -1.240868e+09   	  +2.034216e+06   	  +1.240883e+09   	  +2.034268e+06   	  +1.957443e-01   	  +3.647690e-04   	  +4.062148e-06   	  +2.448159e-06   	  +8.389251e-04   	  +1.375293e-06   
9   	  +2.247204e+11   	  +2.450181e+08   	  +1.422729e+09   	  +3.754734e+08   	  +2.247249e+11   	  +2.450247e+08   	  +7.034471e-04   	  +1.856438e-04   	  -1.823145e-03   	  +1.987826e-06   	  -1.154253e-05   	  +3.046197e-06   
10  	  +1.852765e+11   	  +1.723766e+10   	  -7.096398e+12   	  +3.051915e+10   	  +7.098816e+12   	  +3.051207e+10   	  -1.544694e-01   	  +2.430009e-04   	  -1.803767e-05   	  +1.678179e-06   	  +6.908727e-04   	  +2.971205e-06   
11  	  +3.310930e+12   	  +1.659029e+12   	  -1.785328e+13   	  +2.365948e+12   	  +1.815770e+13   	  +2.345870e+12   	  -1.261298e-01   	  +8.447709e-03   	  -3.868043e-06   	  +1.938186e-06   	  +2.085737e-05   	  +2.764054e-06   
12  	  -3.061569e+13   	  +1.156736e+14   	  +2.112030e+14   	  +2.213007e+14   	  +2.134104e+14   	  +2.196394e+14   	  -1.189034e-01   	  +4.638861e-02   	  +4.292097e-07   	  +1.621648e-06   	  -2.960888e-06   	  +3.102454e-06   
13  	  +1.044836e+17   	  +1.144299e+16   	  -5.347764e+16   	  +1.194893e+16   	  +1.173741e+17   	  +1.154984e+16   	  -3.638963e-02   	  +7.763260e-03   	  -1.757729e-05   	  +1.925056e-06   	  +8.996551e-06   	  +2.010169e-06   
14  	  +1.553442e+19   	  +9.026924e+17   	  +1.123289e+19   	  +9.583311e+17   	  +1.917019e+19   	  +9.221742e+17   	  +4.471855e-02   	  +3.500969e-03   	  -3.136029e-05   	  +1.822321e-06   	  -2.267653e-05   	  +1.934642e-06   
15  	  -5.159650e+22   	  +9.578154e+19   	  +3.293196e+20   	  +1.270339e+20   	  +5.159755e+22   	  +9.578302e+19   	  -4.255006e-04   	  +1.641329e-04   	  +1.249932e-03   	  +2.320324e-06   	  -7.977812e-06   	  +3.077414e-06   

magnetic_center_x(um) 	28.476
magnetic_center_y(um) 	-213.463


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
3.46611632267e-05	3.451438897173e-05	3.464560359134e-05	3.459841173026e-05	3.468794602668e-05	3.458264473011e-05	3.458378341747e-05	3.458665742073e-05	3.461775850155e-05	3.459804793238e-05
9.428201883566e-05	9.447213960811e-05	9.431468788534e-05	9.43539707805e-05	9.422394941794e-05	9.439340647077e-05	9.429003694095e-05	9.434570529265e-05	9.432143997401e-05	9.428767953068e-05
0.0001516800693935	0.0001514556352049	0.0001516246411484	0.0001516687916592	0.0001516772754258	0.0001515657058917	0.0001516404299764	0.0001516535703558	0.0001516683405498	0.0001516689080745
0.0002050319890259	0.0002051517512882	0.0002051035698969	0.0002050730545307	0.0002051135961665	0.0002051535411738	0.0002051158080576	0.0002050492621493	0.0002050342300208	0.0002051549818134
0.0002533818187658	0.0002533688675612	0.0002533901715651	0.0002533849037718	0.0002533608640078	0.0002533750375733	0.0002534467203077	0.000253430189332	0.0002533541701268	0.0002533438091632
0.0002961482095998	0.0002961114805657	0.000296024751151	0.0002960544079542	0.0002961526624858	0.0002960756246466	0.000295957463095	0.0002960696292575	0.0002961286518257	0.0002960929996334
0.0003313270281069	0.0003314951027278	0.0003314870409667	0.0003314128553029	0.0003313989145681	0.0003314276982564	0.0003315311623737	0.0003314344794489	0.000331486662617	0.0003314125933684
0.0003638322814368	0.0003636646433733	0.0003636694746092	0.0003636588517111	0.0003636836772785	0.0003637682530098	0.0003637127520051	0.0003637734916992	0.0003637141780928	0.0003637835325208
0.0003849460044876	0.0003850893990602	0.0003851818037219	0.000385191233363	0.0003851284272969	0.0003850988578051	0.0003850640205201	0.0003850834036712	0.0003850249631796	0.0003851212095469
0.0003936564608011	0.0003936953435186	0.0003935583517887	0.0003936709836125	0.0003937009896617	0.0003936050343327	0.0003937093715649	0.0003937123983633	0.0003936925786547	0.0003936478751712
0.0003953910782002	0.0003952528350055	0.0003952422994189	0.0003951669787057	0.0003952917759307	0.0003952786209993	0.000395239534555	0.0003951959661208	0.0003952868864872	0.0003952166880481
0.0003870848449878	0.0003870760847349	0.0003871399385389	0.0003871202934533	0.0003870100772474	0.0003870989312418	0.0003870634245686	0.0003871125809383	0.0003870617947541	0.0003870289365295
0.0003672661841847	0.000367367232684	0.0003673994215205	0.0003673218598124	0.0003674186009448	0.0003673597821034	0.0003673992177937	0.0003673630126286	0.0003673341416288	0.0003674887993839
0.0003358616668265	0.0003358485118952	0.0003358389367349	0.0003359219117556	0.0003358453104738	0.0003359739785083	0.0003358791582286	0.0003358774702065	0.0003358687390573	0.0003358340472914
0.000298946397379	0.0002990021312144	0.0002989862987306	0.0002990020730067	0.0002989890635945	0.0002988184278365	0.0002989008498844	0.0002989390050061	0.0002990526845679	0.0002989732893184
0.0002560052380431	0.0002559222921263	0.0002559277636465	0.0002558869600762	0.0002559601271059	0.000256031693425	0.0002560123393778	0.0002560039865784	0.0002559323911555	0.0002558966225479
0.0002063309948426	0.0002063195715891	0.0002062915737042	0.000206362514291	0.0002063424763037	0.0002063500869554	0.0002063477732008	0.0002063620922854	0.0002063344581984	0.0002064218861051
0.0001509788562544	0.000151006723172	0.0001510637375759	0.0001509718713351	0.0001509961439297	0.0001509811118012	0.0001509683352197	0.0001509765570518	0.0001510551519459	0.0001509960420663
9.063010656973e-05	9.058821160579e-05	9.056528506335e-05	9.0648085461e-05	9.055069676833e-05	9.063105244422e-05	9.062374738278e-05	9.057165152626e-05	9.049138316186e-05	9.058013529284e-05
2.828287688317e-05	2.83076587948e-05	2.834729821188e-05	2.82811197394e-05	2.843256879714e-05	2.828163087543e-05	2.834964288922e-05	2.834707993316e-05	2.841111381713e-05	2.834919905581e-05
-3.490828385111e-05	-3.492108589853e-05	-3.489734808682e-05	-3.492697578622e-05	-3.504082269501e-05	-3.489772279863e-05	-3.489431401249e-05	-3.4937827877e-05	-3.493132680887e-05	-3.49370384356e-05
-9.738858352648e-05	-9.741147368914e-05	-9.744705312187e-05	-9.74629438133e-05	-9.731259342516e-05	-9.746076830197e-05	-9.749498713063e-05	-9.744890849106e-05	-9.743894042913e-05	-9.739454981172e-05
-0.0001579824165674	-0.0001579441013746	-0.0001578879600856	-0.0001578314404469	-0.0001579832314746	-0.0001578587543918	-0.0001578734081704	-0.0001578684023116	-0.0001578781520948	-0.0001579786767252
-0.0002129511412932	-0.000212986880797	-0.0002130314969691	-0.0002130700013367	-0.0002130437787855	-0.0002130275825039	-0.0002130306093022	-0.0002130263746949	-0.0002130614011548	-0.0002129721833626
-0.0002631359093357	-0.000263115769485	-0.000263089343207	-0.0002629761293065	-0.0002629932714626	-0.0002630841627251	-0.0002631510142237	-0.000263117835857	-0.0002630862873048	-0.0002630316885188
-0.0003066153149121	-0.0003067183715757	-0.00030665480881	-0.0003067604266107	-0.0003067717771046	-0.0003067016368732	-0.000306598667521	-0.0003065696510021	-0.0003066520439461	-0.0003067835641559
-0.0003447524795774	-0.0003445860638749	-0.000344746891642	-0.0003448117640801	-0.0003447085910011	-0.0003447499184404	-0.0003446827176958	-0.0003448708157521	-0.000344734697137	-0.0003446347545832
-0.0003771233896259	-0.0003772080235649	-0.000377087679226	-0.0003770600014832	-0.0003771196352318	-0.0003770417242777	-0.0003771495248657	-0.0003769706527237	-0.0003771141928155	-0.0003771996998694
-0.0003983197384514	-0.000398237752961	-0.0003983031783719	-0.0003982429625466	-0.0003982160123996	-0.0003983765200246	-0.0003983179049101	-0.0003983121132478	-0.0003982686612289	-0.0003982072521467
-0.0004062026273459	-0.0004063223896082	-0.0004061906074639	-0.000406183389714	-0.0004062255611643	-0.0004061441577505	-0.000406223902246	-0.000406251201639	-0.0004062587977387	-0.0004062724474352
-0.0004042696964461	-0.0004041989450343	-0.0004042525833938	-0.0004043145454489	-0.0004042845102958	-0.000404258898925	-0.0004041916690767	-0.0004042244399898	-0.0004042411164846	-0.0004042033979204
-0.0003972457780037	-0.0003973027341999	-0.0003973445273004	-0.000397360912757	-0.0003972865233663	-0.0003973179555032	-0.0003973385028075	-0.0003973834973294	-0.0003973240673076	-0.0003973361745011
-0.0003757744270843	-0.000375645031454	-0.0003757147642318	-0.0003757266385946	-0.0003757617378142	-0.0003756918013096	-0.0003757205558941	-0.0003756991645787	-0.000375743751647	-0.0003757545782719
