########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	15467
file                           	S15-248_S_BOA_090.0A_180730_110003.dat
date                           	30/07/2018
hour                           	11:00:03
operator                       	Lucas Balthazar
software_version               	v3.3
bench                          	1
temperature(C)                 	23.357
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+9.000015e+01
main_coil_current_std(A)       	+9.554690e-03
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_05-07-2018_r=13mm_S15
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282851
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +2.512685e-06   	  +2.135884e-07   	  -6.175260e-06   	  +1.234646e-06   	  +6.666890e-06   	  +1.146430e-06   	  +0.000000e+00   	  +0.000000e+00   	  -8.435675e-05   	  +7.170669e-06   	  +2.073183e-04   	  +4.144998e-05   
2   	  +8.018087e-03   	  +2.228514e-05   	  +1.119472e-02   	  +9.795599e-05   	  +1.376994e-02   	  +8.068674e-05   	  +0.000000e+00   	  +0.000000e+00   	  -3.230234e-03   	  +8.978142e-06   	  -4.509998e-03   	  +3.946345e-05   
3   	  -2.068500e+02   	  +3.454624e-03   	  -1.001857e-01   	  +9.227145e-03   	  +2.068500e+02   	  +3.454627e-03   	  +1.614466e-04   	  +1.486930e-05   	  +1.000000e+00   	  +2.361893e-05   	  +4.843400e-04   	  +4.460791e-05   
4   	  +4.055454e+00   	  +2.854319e-01   	  -3.690280e+00   	  +7.458180e-01   	  +5.483145e+00   	  +5.445404e-01   	  +0.000000e+00   	  +0.000000e+00   	  -2.352693e-04   	  +1.655878e-05   	  +2.140846e-04   	  +4.326718e-05   
5   	  -2.244470e+02   	  +4.220089e+01   	  +3.206574e+02   	  +4.249420e+01   	  +3.914047e+02   	  +4.239798e+01   	  +0.000000e+00   	  +0.000000e+00   	  +1.562502e-04   	  +2.937843e-05   	  -2.232278e-04   	  +2.958262e-05   
6   	  -5.293715e+03   	  +1.594517e+03   	  +3.139349e+01   	  +4.893495e+03   	  +5.293808e+03   	  +1.594753e+03   	  +0.000000e+00   	  +0.000000e+00   	  +4.422304e-05   	  +1.332040e-05   	  -2.620555e-07   	  +4.087967e-05   
7   	  -4.558410e+05   	  +2.167107e+05   	  -4.069635e+05   	  +4.617834e+05   	  +6.110731e+05   	  +3.474394e+05   	  +0.000000e+00   	  +0.000000e+00   	  +4.569652e-05   	  +2.172450e-05   	  +4.079704e-05   	  +4.629220e-05   
8   	  -3.472106e+07   	  +2.271274e+07   	  -8.998564e+06   	  +3.927769e+07   	  +3.586817e+07   	  +2.409356e+07   	  +0.000000e+00   	  +0.000000e+00   	  +4.176780e-05   	  +2.732249e-05   	  +1.082516e-05   	  +4.724945e-05   
9   	  +1.276812e+11   	  +1.903708e+09   	  -2.532756e+10   	  +2.519725e+09   	  +1.301690e+11   	  +1.930613e+09   	  +0.000000e+00   	  +0.000000e+00   	  -1.843143e-03   	  +2.748100e-05   	  +3.656164e-04   	  +3.637350e-05   
10  	  -1.106335e+11   	  +1.506135e+11   	  +8.205098e+10   	  +2.837187e+11   	  +1.377394e+11   	  +2.078444e+11   	  +0.000000e+00   	  +0.000000e+00   	  +1.916474e-05   	  +2.609019e-05   	  -1.421319e-05   	  +4.914747e-05   
11  	  -1.209876e+12   	  +1.583843e+13   	  +2.164459e+12   	  +2.438775e+13   	  +2.479654e+12   	  +2.264707e+13   	  +0.000000e+00   	  +0.000000e+00   	  +2.515051e-06   	  +3.292355e-05   	  -4.498816e-06   	  +5.069514e-05   
12  	  -5.261615e+14   	  +1.029830e+15   	  +6.030873e+14   	  +9.933163e+14   	  +8.003501e+14   	  +1.009260e+15   	  +0.000000e+00   	  +0.000000e+00   	  +1.312485e-05   	  +2.568866e-05   	  -1.504356e-05   	  +2.477783e-05   
13  	  +6.192331e+16   	  +1.447245e+17   	  +2.898825e+16   	  +1.404870e+17   	  +6.837262e+16   	  +1.439720e+17   	  +0.000000e+00   	  +0.000000e+00   	  -1.853557e-05   	  +4.332104e-05   	  -8.677033e-06   	  +4.205262e-05   
14  	  +7.141203e+18   	  +1.065119e+19   	  +7.790028e+18   	  +1.035993e+19   	  +1.056794e+19   	  +1.049393e+19   	  +0.000000e+00   	  +0.000000e+00   	  -2.565150e-05   	  +3.825925e-05   	  -2.798193e-05   	  +3.721303e-05   
15  	  -2.992834e+22   	  +9.111932e+20   	  +6.234588e+20   	  +5.886785e+20   	  +2.993484e+22   	  +9.110780e+20   	  +0.000000e+00   	  +0.000000e+00   	  +1.290037e-03   	  +3.927625e-05   	  -2.687346e-05   	  +2.537451e-05   

magnetic_center_x(um) 	19.381
magnetic_center_y(um) 	27.06


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
1.603307646292e-05	1.626567427593e-05	1.70567745954e-05	1.673240331002e-05	1.682416586846e-05	1.673394945101e-05	1.684508606559e-05	1.658781366132e-05	1.686679206614e-05	1.612788582861e-05
4.953360257787e-05	4.910169445793e-05	5.025528662372e-05	4.972167880624e-05	4.938605707139e-05	4.977172284271e-05	4.957025157637e-05	4.95858330396e-05	4.935915785609e-05	4.974065450369e-05
8.247456571553e-05	8.191860251827e-05	8.149833593052e-05	8.229834929807e-05	8.172782690963e-05	8.15355379018e-05	8.152840018738e-05	8.188762149075e-05	8.183301542886e-05	8.16524552647e-05
0.0001107884017983	0.0001116918938351	0.0001112023237511	0.0001108739597839	0.0001113139514928	0.0001113631005865	0.0001112488971557	0.0001109083896154	0.0001115722043323	0.0001110985613195
0.0001378150773235	0.0001381570764352	0.0001381567126373	0.0001375368301524	0.0001381545880577	0.0001381282781949	0.0001380786852678	0.0001375782157993	0.000137376904604	0.0001386430521961
0.0001613705535419	0.0001603356649866	0.0001608385791769	0.0001610519102542	0.0001605282741366	0.0001604913559277	0.000160617637448	0.0001610211911611	0.0001611584011698	0.0001609126920812
0.0001806949003367	0.0001808245870052	0.000180592876859	0.0001812546979636	0.000181122799404	0.000181165713002	0.0001810977846617	0.0001814542192733	0.0001813305279939	0.0001809279783629
0.0001981826208066	0.0001983795227716	0.0001983219553949	0.0001979620137718	0.0001979815133382	0.0001980977249332	0.0001981832174351	0.0001981276436709	0.0001975356281037	0.0001980025845114
0.0002091891510645	0.0002094313094858	0.0002096744719893	0.000209516932955	0.0002094651863445	0.0002093391813105	0.0002094179944834	0.0002089537010761	0.0002096541138599	0.0002091822534567
0.0002129930217052	0.0002132057852577	0.0002126587060047	0.0002129108615918	0.000212947212276	0.0002130432985723	0.000213128485484	0.000213380320929	0.0002131903893314	0.000213698061998
0.000214022336877	0.0002131713263225	0.0002134597743861	0.0002135675022146	0.0002135307295248	0.0002135992399417	0.0002132372319466	0.000213444698602	0.0002135180257028	0.0002131435176125
0.0002087586617563	0.0002094512456097	0.0002092476497637	0.0002093403745675	0.0002098579861922	0.0002092682698276	0.0002095695526805	0.000209633493796	0.0002092085342156	0.000209180478123
0.0001992404577322	0.0001990868331632	0.0001994358608499	0.0001989477605093	0.0001986982388189	0.0001989124284592	0.0001988789445022	0.000198756591999	0.0001986685383599	0.0001992713514483
0.000181363968295	0.0001812321861507	0.0001812651753426	0.0001814064162318	0.0001810436224332	0.0001815347204683	0.0001813372364268	0.0001814369170461	0.0001818541204557	0.0001810505054891
0.0001616436638869	0.0001615250948817	0.0001613415515749	0.0001614347565919	0.0001614291541046	0.0001612856285647	0.0001611414336367	0.0001613297790755	0.000160960451467	0.0001614672219148
0.0001370714599034	0.0001377613807563	0.0001378446177114	0.0001373628765577	0.0001378105080221	0.0001375071879011	0.0001379110035487	0.0001374463172397	0.0001377176085953	0.0001376559812343
0.0001115620470955	0.0001114595070248	0.0001114877668442	0.0001116646453738	0.0001118065556511	0.0001118763320846	0.0001115253471653	0.0001120029410231	0.0001115544873755	0.000111611749162
8.283301576739e-05	8.188487117877e-05	8.197245915653e-05	8.209424413508e-05	8.18209227873e-05	8.194294059649e-05	8.208463259507e-05	8.235144196078e-05	8.218579750974e-05	8.196404814953e-05
4.99064080941e-05	4.997789437766e-05	4.982897371519e-05	5.008905645809e-05	4.999885277357e-05	4.987466309103e-05	5.064465949545e-05	4.954423638992e-05	5.039940879215e-05	5.010714085074e-05
1.651499951549e-05	1.73248736246e-05	1.702470763121e-05	1.729288669594e-05	1.679559318291e-05	1.704183341644e-05	1.699747008388e-05	1.693634112598e-05	1.651585989748e-05	1.712381163088e-05
-1.72622349055e-05	-1.699650056253e-05	-1.707146111585e-05	-1.750494084263e-05	-1.69465529325e-05	-1.721128501231e-05	-1.74284541572e-05	-1.739004983392e-05	-1.70456169144e-05	-1.713439087325e-05
-5.003198020859e-05	-5.052863707533e-05	-5.015670103603e-05	-5.040100222686e-05	-4.97343025927e-05	-5.005782077205e-05	-5.049318860983e-05	-4.990605884814e-05	-5.016373324906e-05	-5.031269029132e-05
-8.151000656653e-05	-8.184253238142e-05	-8.191572851501e-05	-8.156819239957e-05	-8.228000660893e-05	-8.178788266378e-05	-8.209586667363e-05	-8.198351861211e-05	-8.192395762308e-05	-8.198751311284e-05
-0.0001118799846154	-0.0001116555067711	-0.0001119318258134	-0.000111663415737	-0.0001117995634559	-0.0001116147832363	-0.0001116357670981	-0.0001118760264944	-0.0001115190971177	-0.0001117139036069
-0.0001384346687701	-0.0001386922958773	-0.0001381554611726	-0.0001382622867823	-0.0001382780319545	-0.0001383144117426	-0.0001383821800118	-0.0001379274472129	-0.0001383857743349	-0.0001380828907713
-0.000160179726663	-0.0001599559473107	-0.0001600581890671	-0.0001604232384125	-0.0001600950927241	-0.0001603733981028	-0.0001601247058716	-0.0001604713615961	-0.0001604223652976	-0.000160509327543
-0.0001808946108213	-0.0001806178916013	-0.0001811532711145	-0.0001810361573007	-0.0001809675013646	-0.0001807977678254	-0.0001808204106055	-0.0001811708207242	-0.0001809122622944	-0.0001806774089346
-0.0001980189117603	-0.0001981547102332	-0.0001976889179787	-0.0001977137289941	-0.0001980085653486	-0.0001981717505259	-0.00019792043895	-0.0001974851766136	-0.0001980733068194	-0.0001978777581826
-0.0002094660449075	-0.0002098022232531	-0.0002096912503475	-0.0002097226970363	-0.0002095495729009	-0.0002093278599204	-0.0002096150565194	-0.0002094326046063	-0.0002093896473525	-0.0002096315001836
-0.0002130429056706	-0.0002128925843863	-0.0002133072412107	-0.000213241102756	-0.0002130795328412	-0.0002133263042197	-0.0002131313231075	-0.0002132430672646	-0.000213210543734	-0.0002132313675247
-0.0002122939476976	-0.0002124328457285	-0.0002120592544088	-0.0002121077704942	-0.0002123360027326	-0.0002123718877556	-0.00021226608078	-0.0002128121996066	-0.0002124742604792	-0.0002125723694917
-0.000209758291021	-0.0002095072413795	-0.0002094920346281	-0.0002094998781104	-0.0002096644457197	-0.000209717269172	-0.0002096609969158	-0.0002092075446853	-0.0002092798240483	-0.0002091842761729
-0.0001977603969863	-0.0001976583880605	-0.000197501751245	-0.0001977205101866	-0.0001975658087758	-0.0001973424805328	-0.000197860179469	-0.00019758947019	-0.0001976885832846	-0.0001978288200917
