########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	12580
file                           	S15-261_S_BOA_110.0A_180707_100518.dat
date                           	07/07/2018
hour                           	10:05:18
operator                       	Lucas Balthazar
software_version               	v3.3
bench                          	1
temperature(C)                 	23.662
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.099967e+02
main_coil_current_std(A)       	+5.584518e-03
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_05-07-2018_r=13mm_S15
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282872
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +1.345730e-05   	  +1.799510e-07   	  -1.679636e-05   	  +3.827300e-07   	  +2.152247e-05   	  +3.191768e-07   	  +0.000000e+00   	  +0.000000e+00   	  -3.777582e-04   	  +5.051383e-06   	  +4.714887e-04   	  +1.074357e-05   
2   	  +5.211843e-03   	  +1.472869e-05   	  +1.761466e-02   	  +2.827364e-05   	  +1.836952e-02   	  +2.743194e-05   	  +0.000000e+00   	  +0.000000e+00   	  -1.755612e-03   	  +4.961374e-06   	  -5.933507e-03   	  +9.524021e-06   
3   	  -2.473896e+02   	  +9.761401e-04   	  +2.746467e-02   	  +1.995843e-03   	  +2.473896e+02   	  +9.761401e-04   	  -3.700597e-05   	  +2.689204e-06   	  +1.000000e+00   	  +5.580148e-06   	  -1.110179e-04   	  +8.067611e-06   
4   	  -6.321690e+00   	  +1.155037e-01   	  -7.244175e+00   	  +2.625204e-01   	  +9.614667e+00   	  +2.118746e-01   	  +0.000000e+00   	  +0.000000e+00   	  +3.066430e-04   	  +5.602681e-06   	  +3.513895e-04   	  +1.273394e-05   
5   	  -2.118188e+02   	  +1.102730e+01   	  +4.640736e+02   	  +1.676679e+01   	  +5.101289e+02   	  +1.592550e+01   	  +0.000000e+00   	  +0.000000e+00   	  +1.232950e-04   	  +6.418747e-06   	  -2.701269e-04   	  +9.759580e-06   
6   	  -3.202469e+01   	  +7.811745e+02   	  -4.884058e+02   	  +1.236233e+03   	  +4.894546e+02   	  +1.234642e+03   	  +0.000000e+00   	  +0.000000e+00   	  +2.236881e-07   	  +5.456452e-06   	  +3.411487e-06   	  +8.635003e-06   
7   	  -3.068264e+05   	  +9.916581e+04   	  -8.040331e+05   	  +6.661952e+04   	  +8.605880e+05   	  +7.158234e+04   	  +0.000000e+00   	  +0.000000e+00   	  +2.571794e-05   	  +8.312000e-06   	  +6.739341e-05   	  +5.583995e-06   
8   	  -4.475862e+07   	  +8.922927e+06   	  -5.509574e+07   	  +9.030327e+06   	  +7.098503e+07   	  +8.987781e+06   	  +0.000000e+00   	  +0.000000e+00   	  +4.501959e-05   	  +8.974953e-06   	  +5.541698e-05   	  +9.082979e-06   
9   	  +1.595918e+11   	  +7.188014e+08   	  -1.355247e+10   	  +7.918141e+08   	  +1.601662e+11   	  +7.193505e+08   	  +0.000000e+00   	  +0.000000e+00   	  -1.926268e-03   	  +8.675912e-06   	  +1.635778e-04   	  +9.557170e-06   
10  	  -3.387118e+10   	  +7.779572e+10   	  +1.012200e+11   	  +7.604156e+10   	  +1.067368e+11   	  +7.622003e+10   	  +0.000000e+00   	  +0.000000e+00   	  +4.905859e-06   	  +1.126790e-05   	  -1.466066e-05   	  +1.101383e-05   
11  	  -9.295245e+12   	  +4.524142e+12   	  +7.453077e+12   	  +4.347343e+12   	  +1.191427e+13   	  +4.455792e+12   	  +0.000000e+00   	  +0.000000e+00   	  +1.615584e-05   	  +7.863299e-06   	  -1.295401e-05   	  +7.556009e-06   
12  	  +4.141702e+14   	  +5.544448e+14   	  -6.779263e+13   	  +2.564656e+14   	  +4.196817e+14   	  +5.487295e+14   	  +0.000000e+00   	  +0.000000e+00   	  -8.638303e-06   	  +1.156400e-05   	  +1.413950e-06   	  +5.349079e-06   
13  	  -4.819124e+15   	  +2.791673e+16   	  -1.112979e+16   	  +3.527757e+16   	  +1.212832e+16   	  +3.422084e+16   	  +0.000000e+00   	  +0.000000e+00   	  +1.206139e-06   	  +6.987077e-06   	  +2.785604e-06   	  +8.829370e-06   
14  	  +1.139865e+19   	  +3.707085e+18   	  +1.551575e+19   	  +2.267991e+18   	  +1.925274e+19   	  +2.856197e+18   	  +0.000000e+00   	  +0.000000e+00   	  -3.423466e-05   	  +1.113384e-05   	  -4.659991e-05   	  +6.811670e-06   
15  	  -3.595281e+22   	  +3.158008e+20   	  +4.821379e+20   	  +4.415494e+20   	  +3.595604e+22   	  +3.158279e+20   	  +0.000000e+00   	  +0.000000e+00   	  +1.295765e-03   	  +1.138169e-05   	  -1.737658e-05   	  +1.591376e-05   

magnetic_center_x(um) 	10.534
magnetic_center_y(um) 	35.601


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
1.935047293955e-05	1.906891884573e-05	1.914686254167e-05	1.901542600535e-05	1.915136454045e-05	1.909386446641e-05	1.93105370272e-05	1.920733666338e-05	1.94699059648e-05	1.925780452439e-05
5.90112649661e-05	5.915606743656e-05	5.922665513935e-05	5.939728725934e-05	5.941513154539e-05	5.921506817685e-05	5.907958984608e-05	5.90460440435e-05	5.904661884415e-05	5.908539242228e-05
9.729159501148e-05	9.722531103762e-05	9.729405428516e-05	9.741134999786e-05	9.728933218867e-05	9.732291800901e-05	9.714572661323e-05	9.739347297e-05	9.741304529598e-05	9.746027353685e-05
0.0001324687909801	0.000132696935907	0.0001326232013525	0.0001325313496636	0.0001325729535893	0.0001325993653154	0.0001327931677224	0.0001326338824583	0.0001324940094491	0.0001324469485553
0.0001647862518439	0.0001648315810598	0.0001648213656154	0.0001646968594287	0.0001647004974075	0.0001648497855058	0.000164767174283	0.0001647692697588	0.0001649174955674	0.0001649088371778
0.0001929075369844	0.0001928217534442	0.0001927942939801	0.0001928723213496	0.0001929450081661	0.0001928891579155	0.0001929439167725	0.0001929340069182	0.0001926819677465	0.000192787105334
0.000216060958337	0.0002159878058592	0.0002160733565688	0.0002158798452001	0.0002159819123335	0.0002157963026548	0.0002156679402106	0.0002159863215638	0.0002164033794543	0.0002162094024243
0.0002375368203502	0.0002374599716859	0.0002374262257945	0.0002376635529799	0.0002374890609644	0.0002377105411142	0.0002378222270636	0.0002372504968662	0.0002372049639234	0.0002374007890467
0.0002505039738026	0.0002506732125767	0.0002505813608877	0.0002507663739379	0.0002506567689124	0.0002505987067707	0.000250546640018	0.0002505898301024	0.000250511104241	0.0002505702141207
0.0002552834048402	0.0002550297358539	0.0002553663798608	0.0002546749310568	0.0002546853211243	0.0002547677140683	0.0002547649201006	0.0002553599188104	0.0002549219643697	0.000254821148701
0.0002549960918259	0.0002548479533289	0.0002547701005824	0.0002551973157097	0.0002554926322773	0.0002553823287599	0.0002553683880251	0.0002549266791902	0.0002553615777288	0.0002551761863288
0.0002510392514523	0.0002514373336453	0.0002511332277209	0.0002513586659916	0.0002510586928111	0.000250929791946	0.0002511239144951	0.000251055957051	0.0002513030194677	0.0002515674859751
0.0002384630788583	0.0002385005936958	0.0002385332481936	0.000238394131884	0.0002383397513768	0.0002385397528997	0.0002385466214037	0.0002386000123806	0.0002382362727076	0.0002381379454164
0.0002172495151171	0.0002170311490772	0.0002173704851884	0.000217138644075	0.000217470471398	0.0002171533269575	0.0002170097723138	0.0002173231914639	0.0002171166415792	0.0002171272644773
0.0001930351281771	0.000192842722754	0.000192620253074	0.0001925010146806	0.0001924355019582	0.0001929033896886	0.0001930322905537	0.0001928254641825	0.0001925916149048	0.0001929266873049
0.0001650199556025	0.0001651735801715	0.0001650173217058	0.0001654451771174	0.0001651874626987	0.0001648559555179	0.0001649549958529	0.0001650073972996	0.0001653882645769	0.000165140721947
0.000134201545734	0.000133999143145	0.000134023008286	0.0001341723691439	0.0001342257746728	0.0001342702598777	0.0001339984446531	0.0001339551090496	0.0001342083705822	0.0001341627648799
9.848037734628e-05	9.884234168567e-05	9.893255628413e-05	9.8578442703e-05	9.853879600996e-05	9.882419544738e-05	9.886099724099e-05	9.883938037092e-05	9.865860920399e-05	9.85894803307e-05
6.017263513058e-05	6.027377094142e-05	6.030232543708e-05	6.031055454514e-05	6.06492976658e-05	6.035759361112e-05	6.045055124559e-05	6.04563356319e-05	6.028324060026e-05	6.040106745786e-05
2.0695697458e-05	2.064608815999e-05	2.045694964181e-05	2.074489202641e-05	2.031274743786e-05	2.037310514424e-05	2.029011739069e-05	2.040260733338e-05	2.047469206445e-05	2.039358332695e-05
-1.979543412745e-05	-2.004847010539e-05	-1.977144529519e-05	-2.010575371969e-05	-2.003425470321e-05	-1.982483809115e-05	-1.984135633393e-05	-1.987956602534e-05	-1.984976734093e-05	-1.972462632693e-05
-5.972543294774e-05	-5.965738091618e-05	-5.982962466078e-05	-5.971382051939e-05	-5.952152423561e-05	-5.963622243144e-05	-5.963864532532e-05	-5.964538286207e-05	-5.960942144156e-05	-5.968517871224e-05
-9.758630039869e-05	-9.746736759553e-05	-9.747457806952e-05	-9.74945287453e-05	-9.75170332822e-05	-9.742553083925e-05	-9.747860167408e-05	-9.75242946879e-05	-9.757136285771e-05	-9.755789506016e-05
-0.0001327167119598	-0.0001328702346655	-0.0001328297512373	-0.0001327099016635	-0.0001328622311121	-0.0001330969389528	-0.0001327586942352	-0.0001329287188128	-0.000132902074256	-0.0001329600054305
-0.0001650707126828	-0.0001652913197177	-0.0001651036727708	-0.0001653926301515	-0.0001652925275266	-0.0001650418562349	-0.0001654712104937	-0.0001651664497331	-0.0001650391350267	-0.0001649861078477
-0.0001920945942402	-0.0001920131326187	-0.0001921900548041	-0.0001921248913277	-0.000192130159121	-0.0001921797957039	-0.0001920143986354	-0.0001920126815094	-0.0001921670045704	-0.0001922462834045
-0.0002158737479476	-0.0002154244139092	-0.0002156241534976	-0.0002155573456548	-0.0002154319081455	-0.0002154712856282	-0.0002156270929845	-0.000215627005673	-0.0002154586691177	-0.0002154194953619
-0.000236374718952	-0.0002365998370806	-0.0002362738450756	-0.0002362747763982	-0.0002363825333305	-0.0002365112304688	-0.0002362285013078	-0.0002363812964177	-0.0002366305707255	-0.0002366390981479
-0.0002504056028556	-0.0002502363058738	-0.0002504322619643	-0.0002504957083147	-0.0002505669253878	-0.0002504805743229	-0.0002505376760382	-0.0002505709417164	-0.0002503782161511	-0.0002504370349925
-0.0002546973119024	-0.0002550845965743	-0.0002550574718043	-0.0002546415489633	-0.0002544916642364	-0.0002545521710999	-0.000254831800703	-0.0002545180323068	-0.0002544967574067	-0.0002545301103964
-0.0002536359825172	-0.0002535447711125	-0.0002536983520258	-0.0002540420391597	-0.0002541502472013	-0.0002539055421948	-0.0002536828978918	-0.0002538834232837	-0.0002541442518122	-0.0002539922716096
-0.0002503776922822	-0.0002500351110939	-0.0002500699192751	-0.0002498749818187	-0.0002499329857528	-0.0002501617127564	-0.0002500840055291	-0.0002503386058379	-0.0002499777765479	-0.0002501027483959
-0.0002362810337218	-0.0002363550011069	-0.0002359646459809	-0.0002362283557886	-0.0002362436935073	-0.0002362255909247	-0.0002362215309404	-0.0002360315847909	-0.0002362826198805	-0.0002361365623074
