########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	16277
file                           	S15-030_S_BOA_050.0A_180802_160601.dat
date                           	02/08/2018
hour                           	16:06:01
operator                       	Lucas Balthazar
software_version               	v3.3
bench                          	1
temperature(C)                 	23.469
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+4.999490e+01
main_coil_current_std(A)       	+5.525063e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_05-07-2018_r=13mm_S15
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282851
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +5.665727e-06   	  +3.326804e-07   	  +9.665178e-06   	  +2.397424e-07   	  +1.120340e-05   	  +2.666123e-07   	  +0.000000e+00   	  +0.000000e+00   	  -3.499739e-04   	  +2.054978e-05   	  -5.970214e-04   	  +1.480897e-05   
2   	  +4.337924e-03   	  +1.170723e-05   	  +5.971300e-03   	  +2.283255e-05   	  +7.380651e-03   	  +1.971253e-05   	  +0.000000e+00   	  +0.000000e+00   	  -3.215461e-03   	  +8.677953e-06   	  -4.426191e-03   	  +1.692453e-05   
3   	  -1.124236e+02   	  +9.052869e-04   	  -1.400742e-01   	  +1.837669e-03   	  +1.124237e+02   	  +9.052891e-04   	  +4.153166e-04   	  +5.448637e-06   	  +1.000000e+00   	  +1.138790e-05   	  +1.245951e-03   	  +1.634594e-05   
4   	  -4.153665e+00   	  +8.900347e-02   	  -1.229600e+00   	  +1.455528e-01   	  +4.331841e+00   	  +9.481730e-02   	  +0.000000e+00   	  +0.000000e+00   	  +4.433587e-04   	  +9.500156e-06   	  +1.312465e-04   	  +1.553618e-05   
5   	  -3.580383e+02   	  +9.839856e+00   	  -2.509064e+02   	  +1.594098e+01   	  +4.372018e+02   	  +1.219127e+01   	  +0.000000e+00   	  +0.000000e+00   	  +4.586005e-04   	  +1.260358e-05   	  +3.213785e-04   	  +2.041832e-05   
6   	  -2.966843e+03   	  +9.597910e+02   	  +1.589561e+03   	  +1.199186e+03   	  +3.365837e+03   	  +1.018073e+03   	  +0.000000e+00   	  +0.000000e+00   	  +4.560167e-05   	  +1.475241e-05   	  -2.443226e-05   	  +1.843201e-05   
7   	  -7.820741e+05   	  +4.803349e+04   	  +6.481748e+05   	  +7.625492e+04   	  +1.015761e+06   	  +6.111863e+04   	  +0.000000e+00   	  +0.000000e+00   	  +1.442499e-04   	  +8.859549e-06   	  -1.195528e-04   	  +1.406486e-05   
8   	  -9.504921e+06   	  +2.690710e+06   	  -7.291221e+06   	  +7.734107e+06   	  +1.197938e+07   	  +5.168849e+06   	  +0.000000e+00   	  +0.000000e+00   	  +2.103768e-05   	  +5.955465e-06   	  +1.613801e-05   	  +1.711823e-05   
9   	  +7.378209e+10   	  +5.771578e+08   	  -8.028474e+09   	  +5.001273e+08   	  +7.421761e+10   	  +5.763159e+08   	  +0.000000e+00   	  +0.000000e+00   	  -1.959661e-03   	  +1.532939e-05   	  +2.132372e-04   	  +1.328344e-05   
10  	  -6.901934e+10   	  +6.000706e+10   	  -7.291316e+09   	  +4.383740e+10   	  +6.940340e+10   	  +5.985244e+10   	  +0.000000e+00   	  +0.000000e+00   	  +2.199789e-05   	  +1.912554e-05   	  +2.323861e-06   	  +1.397192e-05   
11  	  +2.638511e+11   	  +3.394232e+12   	  +2.627851e+12   	  +4.043754e+12   	  +2.641064e+12   	  +4.037788e+12   	  +0.000000e+00   	  +0.000000e+00   	  -1.009142e-06   	  +1.298177e-05   	  -1.005067e-05   	  +1.546597e-05   
12  	  +1.268558e+12   	  +3.369176e+14   	  +1.270972e+12   	  +3.298029e+14   	  +1.795720e+12   	  +3.333725e+14   	  +0.000000e+00   	  +0.000000e+00   	  -5.824321e-08   	  +1.546313e-05   	  -5.832194e-08   	  +1.513660e-05   
13  	  +4.874102e+16   	  +2.606448e+16   	  -3.293761e+16   	  +2.917836e+16   	  +5.882664e+16   	  +2.707924e+16   	  +0.000000e+00   	  +0.000000e+00   	  -2.684420e-05   	  +1.435503e-05   	  +1.814034e-05   	  +1.607000e-05   
14  	  +4.774053e+18   	  +2.419527e+18   	  +6.969609e+18   	  +2.409008e+18   	  +8.447901e+18   	  +2.412372e+18   	  +0.000000e+00   	  +0.000000e+00   	  -3.155174e-05   	  +1.599067e-05   	  -4.606226e-05   	  +1.592115e-05   
15  	  -1.714539e+22   	  +2.150966e+20   	  +6.427545e+20   	  +3.450694e+20   	  +1.715744e+22   	  +2.153340e+20   	  +0.000000e+00   	  +0.000000e+00   	  +1.359768e-03   	  +1.705890e-05   	  -5.097569e-05   	  +2.736679e-05   

magnetic_center_x(um) 	19.293
magnetic_center_y(um) 	26.557


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
9.118628440774e-06	9.016327567224e-06	9.108003723668e-06	9.146991942544e-06	9.094140295929e-06	9.188859621645e-06	9.11685765459e-06	9.131636033999e-06	9.162597962131e-06	8.989413800009e-06
2.703519021452e-05	2.733937799348e-05	2.732438770181e-05	2.7176727599e-05	2.719415351748e-05	2.714883157751e-05	2.730389860517e-05	2.705977385631e-05	2.725827289396e-05	2.723657598835e-05
4.472762884689e-05	4.463864024729e-05	4.464351877687e-05	4.46565245511e-05	4.47380625701e-05	4.463621371542e-05	4.471238935366e-05	4.466668542591e-05	4.453835936147e-05	4.470538260648e-05
6.081848914619e-05	6.067816138966e-05	6.069716982893e-05	6.072286487324e-05	6.062812826713e-05	6.077516081859e-05	6.057487917133e-05	6.085652785259e-05	6.077489524614e-05	6.075182318455e-05
7.502304652007e-05	7.523447129643e-05	7.512592856074e-05	7.520542567363e-05	7.505987014156e-05	7.503334927605e-05	7.512107549701e-05	7.505983376177e-05	7.523442036472e-05	7.512091542594e-05
8.771965076448e-05	8.762801007833e-05	8.753847941989e-05	8.758567855693e-05	8.779687050264e-05	8.770544809522e-05	8.791965228738e-05	8.76511548995e-05	8.763087680563e-05	8.766129758442e-05
9.884167229757e-05	9.87091625575e-05	9.884154860629e-05	9.873225644697e-05	9.887246415019e-05	9.896553819999e-05	9.861034050118e-05	9.878544369712e-05	9.867837798083e-05	9.869122732198e-05
0.0001079997891793	0.0001080717047444	0.0001082279923139	0.0001080275542336	0.0001077813576558	0.0001077049382729	0.0001079910580302	0.0001078923160094	0.0001080406291294	0.00010828187078
0.0001136722203228	0.0001138309526141	0.0001137719809776	0.0001139704399975	0.0001138565930887	0.0001138305087807	0.0001137505314546	0.000113892412628	0.0001139372689067	0.0001136212376878
0.0001159591120086	0.000115752358397	0.0001158703817055	0.0001157402803074	0.0001159534076578	0.000116243652883	0.0001159304156317	0.0001159508174169	0.0001158883678727	0.0001157110382337
0.0001163316337625	0.0001163745473605	0.0001162511034636	0.0001160823521786	0.0001161990730907	0.0001159856692539	0.0001163204142358	0.0001160919491667	0.0001160626998171	0.0001163599517895
0.0001139618907473	0.0001143227636931	0.0001139125597547	0.0001143784684245	0.0001142131877714	0.0001139029336628	0.000113887093903	0.0001141621760326	0.0001141253305832	0.0001142141773016
0.0001079433859559	0.0001077943161363	0.0001079285648302	0.0001079555950128	0.0001079665962607	0.0001081457376131	0.0001081078589777	0.0001080873407773	0.0001079894864233	0.0001077592605725
9.856561518973e-05	9.828613110585e-05	9.872302325675e-05	9.821853745962e-05	9.831551869866e-05	9.856004180619e-05	9.857585246209e-05	9.835371020017e-05	9.850224159891e-05	9.853234951152e-05
8.725103543838e-05	8.753630390856e-05	8.725774387131e-05	8.74519100762e-05	8.740099292481e-05	8.699145109858e-05	8.710339898244e-05	8.72905657161e-05	8.732880814932e-05	8.750621782383e-05
7.474317681044e-05	7.472436118405e-05	7.461291534128e-05	7.487674884032e-05	7.475350867026e-05	7.497132901335e-05	7.464232476195e-05	7.490005373256e-05	7.476176688215e-05	7.465756789315e-05
6.071992174839e-05	6.054426194169e-05	6.076658610255e-05	6.05909517617e-05	6.059867155273e-05	6.076910722186e-05	6.086669600336e-05	6.060611121939e-05	6.060805390007e-05	6.062623288017e-05
4.444668593351e-05	4.452772554941e-05	4.457435716176e-05	4.454602094484e-05	4.457364411792e-05	4.432730565895e-05	4.455870293896e-05	4.446448656381e-05	4.457999966689e-05	4.448435720406e-05
2.707187013584e-05	2.702594974835e-05	2.695952753129e-05	2.698108255572e-05	2.695785406104e-05	2.704827966227e-05	2.684083119675e-05	2.701806079131e-05	2.704400139919e-05	2.701267294469e-05
9.034828508447e-06	8.964539119916e-06	8.943157808972e-06	9.029409739014e-06	9.007106200443e-06	8.936394806369e-06	8.978973710327e-06	9.042189958564e-06	8.963947038865e-06	9.113496162172e-06
-9.326804502052e-06	-9.175708328257e-06	-9.282201972383e-06	-9.250916264136e-06	-9.240466170013e-06	-9.205863534589e-06	-9.130222679232e-06	-9.232691809302e-06	-9.26676329982e-06	-9.293654329667e-06
-2.729254447331e-05	-2.731584390858e-05	-2.721452256083e-05	-2.735247107921e-05	-2.737740760494e-05	-2.712876266742e-05	-2.719238000282e-05	-2.731035419856e-05	-2.722441968217e-05	-2.733634755714e-05
-4.452536450117e-05	-4.449705738807e-05	-4.448308027349e-05	-4.45676741947e-05	-4.438373071025e-05	-4.473606531974e-05	-4.476299000089e-05	-4.4549426093e-05	-4.45585756097e-05	-4.450502819964e-05
-6.069689334254e-05	-6.073107942939e-05	-6.080167077016e-05	-6.066650166758e-05	-6.076842691982e-05	-6.07615984336e-05	-6.068673610571e-05	-6.074313205318e-05	-6.074822522351e-05	-6.062740794732e-05
-7.517971243942e-05	-7.519934297306e-05	-7.522859232267e-05	-7.522137457272e-05	-7.532152085332e-05	-7.501330401283e-05	-7.500964420615e-05	-7.514223398175e-05	-7.524422107963e-05	-7.531746086897e-05
-8.695499127498e-05	-8.6939195171e-05	-8.685273496667e-05	-8.697745215613e-05	-8.681175677339e-05	-8.702906052349e-05	-8.703149069333e-05	-8.705462823855e-05	-8.691876428202e-05	-8.688574598636e-05
-9.840584243648e-05	-9.823530126596e-05	-9.828466136241e-05	-9.817501268117e-05	-9.825622692006e-05	-9.832326031756e-05	-9.838191908784e-05	-9.813324868446e-05	-9.806178422878e-05	-9.818236139836e-05
-0.000107574291178	-0.0001078365676221	-0.0001077818669728	-0.0001076551998267	-0.0001077541455743	-0.0001076623739209	-0.0001077071210602	-0.0001076551634469	-0.0001077867345884	-0.0001078202476492
-0.0001135603015427	-0.0001135523853009	-0.0001135654965765	-0.0001137154758908	-0.0001137142244261	-0.0001136292485171	-0.0001133417681558	-0.0001137430299423	-0.0001136773862527	-0.000113587550004
-0.0001155935824499	-0.000115379349154	-0.00011546586029	-0.000115670307423	-0.0001155031786766	-0.0001156459766207	-0.0001155338468379	-0.000115531955089	-0.0001156302387244	-0.0001155154968728
-0.0001156802100013	-0.0001157502338174	-0.0001157375809271	-0.0001155368299806	-0.0001155565842055	-0.0001155945283244	-0.0001159652383649	-0.0001156425641966	-0.00011560558778	-0.0001156051657745
-0.0001138704974437	-0.0001140891909017	-0.0001140007225331	-0.0001138331717812	-0.0001139270170825	-0.0001137955187005	-0.0001137112485594	-0.0001138750085374	-0.0001137923245551	-0.0001140716703958
