########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	25784
file                           	S15-007_S_BOA_167.8A_181002_122920.dat
date                           	02/10/2018
hour                           	12:29:20
operator                       	Lucas Balthazar
software_version               	v3.5
bench                          	1
temperature(C)                 	23.205
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.677971e+02
main_coil_current_std(A)       	+8.255779e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+4.000100e+00
qs_coil_current_std(A)       	+4.472136e-04
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_27-08-2018_r=13mm
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	233386
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013042
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	2ª medida QS



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +1.015867e-04   	  +3.354095e-07   	  -3.362271e-05   	  +2.224074e-07   	  +1.070063e-04   	  +3.260003e-07   	  -3.196271e-01   	  +2.205328e-03   	  -1.926761e-03   	  +6.361602e-06   	  +6.377107e-04   	  +4.218327e-06   
2   	  +1.288469e-02   	  +1.497305e-05   	  +8.936002e-02   	  +1.337522e-05   	  +9.028415e-02   	  +1.340966e-05   	  +7.137974e-01   	  +8.275103e-05   	  -2.932555e-03   	  +3.407878e-06   	  -2.033834e-02   	  +3.044864e-06   
3   	  -3.661395e+02   	  +1.145247e-03   	  -1.237468e-01   	  +1.716087e-03   	  +3.661395e+02   	  +1.145247e-03   	  +1.126591e-04   	  +1.562325e-06   	  +1.000000e+00   	  +4.423514e-06   	  +3.379772e-04   	  +4.686977e-06   
4   	  -6.837861e+00   	  +4.045425e-02   	  -2.820587e+02   	  +1.336093e-01   	  +2.821415e+02   	  +1.335737e-01   	  +3.866396e-01   	  +3.594986e-05   	  +2.241068e-04   	  +1.325864e-06   	  +9.244301e-03   	  +4.379059e-06   
5   	  -4.089231e+02   	  +8.300845e+00   	  +2.427494e+02   	  +5.620183e+00   	  +4.755474e+02   	  +7.692860e+00   	  -1.071446e-01   	  +2.703123e-03   	  +1.608265e-04   	  +3.264662e-06   	  -9.547156e-05   	  +2.210377e-06   
6   	  +2.104768e+04   	  +6.192497e+02   	  -5.308108e+03   	  +7.469280e+02   	  +2.170670e+04   	  +6.276153e+02   	  -4.117383e-02   	  +5.681138e-03   	  -9.933479e-05   	  +2.922557e-06   	  +2.505168e-05   	  +3.525136e-06   
7   	  -2.406104e+06   	  +4.128567e+04   	  +4.954645e+05   	  +5.709528e+04   	  +2.456587e+06   	  +4.204493e+04   	  -2.901160e-02   	  +3.287866e-03   	  +1.362676e-04   	  +2.338179e-06   	  -2.806021e-05   	  +3.233543e-06   
8   	  -3.067036e+07   	  +4.202240e+06   	  +4.179240e+08   	  +5.012545e+06   	  +4.190479e+08   	  +5.008554e+06   	  -1.871925e-01   	  +1.254927e-03   	  +2.084388e-05   	  +2.855883e-06   	  -2.840253e-04   	  +3.406575e-06   
9   	  +2.289675e+11   	  +3.547470e+08   	  +2.203720e+09   	  +2.507553e+08   	  +2.289781e+11   	  +3.547388e+08   	  +1.069366e-03   	  +1.216841e-04   	  -1.867303e-03   	  +2.893081e-06   	  -1.797204e-05   	  +2.044989e-06   
10  	  +3.690895e+11   	  +1.696760e+10   	  +2.434184e+12   	  +2.562956e+10   	  +2.462007e+12   	  +2.546727e+10   	  +1.420315e-01   	  +6.990323e-04   	  -3.612050e-05   	  +1.660514e-06   	  -2.382186e-04   	  +2.508207e-06   
11  	  -3.572758e+13   	  +3.513247e+12   	  -8.067088e+12   	  +2.255935e+12   	  +3.662701e+13   	  +3.462807e+12   	  +2.018822e-02   	  +5.789617e-03   	  +4.195725e-05   	  +4.125837e-06   	  +9.473716e-06   	  +2.649293e-06   
12  	  +1.065056e+15   	  +1.964979e+14   	  +9.276671e+14   	  +1.949970e+14   	  +1.412413e+15   	  +1.958519e+14   	  +5.971349e-02   	  +1.154324e-02   	  -1.500918e-05   	  +2.769126e-06   	  -1.307304e-05   	  +2.747973e-06   
13  	  +2.352779e+16   	  +1.443149e+16   	  -1.176011e+17   	  +2.203778e+16   	  +1.199315e+17   	  +2.179422e+16   	  -1.056414e-01   	  +9.490508e-03   	  -3.978749e-06   	  +2.440490e-06   	  +1.988736e-05   	  +3.726780e-06   
14  	  +1.816758e+19   	  +1.137207e+18   	  +3.049252e+19   	  +1.339797e+18   	  +3.549443e+19   	  +1.289802e+18   	  +7.381911e-02   	  +2.402008e-03   	  -3.686754e-05   	  +2.307738e-06   	  -6.187860e-05   	  +2.718856e-06   
15  	  -5.327253e+22   	  +7.669217e+19   	  -1.800297e+20   	  +1.134258e+20   	  +5.327283e+22   	  +7.669269e+19   	  +2.252931e-04   	  +1.419429e-04   	  +1.297274e-03   	  +1.867585e-06   	  +4.384023e-06   	  +2.762106e-06   

magnetic_center_x(um) 	17.595
magnetic_center_y(um) 	122.03


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.702478559513e-05	2.705987935769e-05	2.703808968363e-05	2.699509059312e-05	2.708777537919e-05	2.706542727537e-05	2.70729069598e-05	2.704173130041e-05	2.707138628466e-05	2.704131293285e-05
8.643721230328e-05	8.639804582344e-05	8.643750334159e-05	8.6425759946e-05	8.64158209879e-05	8.635716221761e-05	8.634851110401e-05	8.64462563186e-05	8.64401954459e-05	8.638796134619e-05
0.0001430162228644	0.0001430081756553	0.0001430346310372	0.0001430899719708	0.0001430570991943	0.0001430446864106	0.0001430837291991	0.0001429967378499	0.0001430667180102	0.0001430185511708
0.0001958051580004	0.0001957890199265	0.0001957367931027	0.0001957206404768	0.0001957422064152	0.0001957660133485	0.0001957110362127	0.000195736749447	0.0001957259810297	0.0001957589702215
0.0002431164757581	0.0002431869943393	0.0002431705361232	0.0002431773173157	0.00024315805058	0.0002431845059618	0.0002431642060401	0.0002431987813907	0.0002431127795717	0.0002431470202282
0.000284580164589	0.0002845708513632	0.0002846180286724	0.000284590118099	0.0002845366252586	0.0002846053394023	0.0002846477145795	0.0002845501003321	0.0002846341230907	0.0002846641873475
0.0003187031834386	0.0003186881949659	0.0003186918329448	0.0003185931418557	0.000318701408105	0.0003186484682374	0.0003186315880157	0.000318692298606	0.0003187057736795	0.0003186486137565
0.0003492647083476	0.0003492831310723	0.0003492480318528	0.0003494006232359	0.0003493044059724	0.0003493384865578	0.000349245587131	0.0003493405529298	0.0003493100521155	0.0003492512623779
0.0003690292360261	0.0003690042940434	0.0003690908197314	0.0003689516161103	0.0003690485900734	0.0003689720761031	0.0003690305165946	0.000368921115296	0.0003689878212754	0.0003690401790664
0.0003759122628253	0.0003760030667763	0.0003759633982554	0.0003759691026062	0.0003759165410884	0.0003759935498238	0.0003759331593756	0.0003760476247407	0.0003758601669688	0.0003759913961403
0.0003763104614336	0.0003762113628909	0.0003762178530451	0.0003762740816455	0.0003762895939872	0.0003762550186366	0.0003763398854062	0.0003762887499761	0.0003763409040403	0.0003763051936403
0.0003676411288325	0.0003677013155539	0.0003675463667605	0.0003676509077195	0.0003676091728266	0.000367629196262	0.0003675206680782	0.0003675906627905	0.0003676491323858	0.0003676380147226
0.0003480008163024	0.0003480263985693	0.0003480742743704	0.00034804517054	0.0003480141458567	0.0003480351879261	0.0003480918821879	0.0003480039886199	0.0003480212471914	0.0003479646693449
0.0003177680191584	0.0003176848113071	0.0003177694743499	0.0003177359176334	0.0003177257603966	0.0003176834725309	0.0003177049802616	0.0003177194448654	0.000317625788739	0.0003177228209097
0.0002826554991771	0.0002826714480761	0.0002826328855008	0.0002826356212609	0.0002826098061632	0.0002826743293554	0.0002826202835422	0.0002826518029906	0.000282719702227	0.00028269860195
0.0002421585086267	0.0002420997334411	0.0002421698882245	0.0002421727695037	0.0002422419202048	0.000242188500124	0.0002421717363177	0.0002421818498988	0.0002422044053674	0.0002421137323836
0.0001957253116416	0.0001957328786375	0.0001957547792699	0.0001957573695108	0.0001956885680556	0.0001957293134183	0.0001957402855624	0.0001957639469765	0.0001957724307431	0.0001957332569873
0.0001441010390408	0.0001440838968847	0.000144097401062	0.0001440192572773	0.0001441517815692	0.0001440657215426	0.0001440146297682	0.0001440370542696	0.0001440013147658	0.0001441107306164
8.781910582911e-05	8.781478391029e-05	8.78229184309e-05	8.785770478426e-05	8.770087151788e-05	8.780387724983e-05	8.787515253061e-05	8.775995956967e-05	8.779900235822e-05	8.777097536949e-05
2.985135688505e-05	2.987076732097e-05	2.983588819916e-05	2.988235246448e-05	2.993063935719e-05	2.985835453728e-05	2.984953061969e-05	2.992841837113e-05	2.990824759763e-05	2.98779377772e-05
-2.885427420551e-05	-2.887552182074e-05	-2.884510286094e-05	-2.890835821745e-05	-2.886194670282e-05	-2.881843647629e-05	-2.891938311222e-05	-2.887893060688e-05	-2.889147071983e-05	-2.885471803893e-05
-8.692860865267e-05	-8.690231334185e-05	-8.693894778844e-05	-8.692117262399e-05	-8.699947647983e-05	-8.692542178323e-05	-8.687382069184e-05	-8.694553980604e-05	-8.691380207893e-05	-8.695785072632e-05
-0.0001429452968296	-0.0001429919502698	-0.0001429809926776	-0.0001429687545169	-0.0001428761170246	-0.0001430552219972	-0.0001430723350495	-0.0001429370458936	-0.0001429824042134	-0.0001429163385183
-0.0001939832727658	-0.0001939797803061	-0.0001938906061696	-0.0001939229405252	-0.000194099106011	-0.000193958519958	-0.0001939429930644	-0.0001940107322298	-0.0001940303191077	-0.0001940789079526
-0.0002403688267805	-0.0002403652470093	-0.0002403927792329	-0.0002403763210168	-0.0002402961399639	-0.0002403647231404	-0.0002403419057373	-0.0002403903199593	-0.0002402832178632	-0.000240310197114
-0.0002804484392982	-0.0002804902032949	-0.0002804865944199	-0.0002804740215652	-0.0002804366522469	-0.0002804055402521	-0.0002804327814374	-0.0002804190444294	-0.000280541513348	-0.0002804513787851
-0.0003155724261887	-0.0003154847363476	-0.000315447075991	-0.0003154462319799	-0.0003155795566272	-0.0003155299054924	-0.0003155033627991	-0.0003154806618113	-0.0003154296427965	-0.0003154684090987
-0.0003452826058492	-0.0003452727978583	-0.0003453457611613	-0.0003452976525296	-0.0003452255332377	-0.0003452675591689	-0.0003453805984464	-0.0003452987293713	-0.0003452840319369	-0.0003453162498772
-0.0003647726261988	-0.0003648039419204	-0.0003647425910458	-0.0003648044075817	-0.0003648471320048	-0.0003647717239801	-0.0003647619450931	-0.000364828563761	-0.0003648025158327	-0.0003647696285043
-0.0003719325177372	-0.0003720100212377	-0.0003720174427144	-0.0003720151435118	-0.0003719774249475	-0.0003721014945768	-0.0003719888627529	-0.0003719592932612	-0.0003720540262293	-0.0003720132808667
-0.0003701602399815	-0.0003701086097863	-0.0003701466775965	-0.0003701103560161	-0.0003700939414557	-0.0003700659726746	-0.000370154826669	-0.0003701087262016	-0.0003701048553921	-0.0003701082605403
-0.0003640562063083	-0.0003640530921984	-0.0003639431670308	-0.000364019011613	-0.0003640484355856	-0.0003640815848485	-0.0003639148781076	-0.0003639927308541	-0.0003640553040896	-0.0003640506474767
-0.0003442829474807	-0.0003443152527325	-0.0003443169698585	-0.0003443261084612	-0.0003442284360062	-0.0003442873712629	-0.0003444182220846	-0.0003443735186011	-0.0003444082976785	-0.0003443142632023
