########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	18608
file                           	S15-138_S_BOA_000.0A_180816_115450.dat
date                           	16/08/2018
hour                           	11:54:50
operator                       	Lucas Balthazar
software_version               	v3.3
bench                          	1
temperature(C)                 	23.546
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.000000e-03
main_coil_current_std(A)       	+2.224736e-19
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_06-08-2018_r=13mm
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282803
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +1.185708e-06   	  +3.518491e-07   	  +5.546849e-06   	  +2.755558e-07   	  +5.672163e-06   	  +2.793253e-07   	  +0.000000e+00   	  +0.000000e+00   	  -3.326327e-03   	  +9.870297e-04   	  -1.556047e-02   	  +7.730260e-04   
2   	  -1.511046e-04   	  +1.074272e-05   	  -5.451054e-05   	  +9.434196e-06   	  +1.606363e-04   	  +1.060027e-05   	  +0.000000e+00   	  +0.000000e+00   	  +5.086617e-03   	  +3.616382e-04   	  +1.835011e-03   	  +3.175854e-04   
3   	  -2.475506e+00   	  +8.807487e-04   	  -4.762305e-03   	  +3.841497e-04   	  +2.475511e+00   	  +8.807473e-04   	  +6.412559e-04   	  +5.172706e-05   	  +1.000000e+00   	  +5.031563e-04   	  +1.923765e-03   	  +1.551817e-04   
4   	  -1.050523e+00   	  +5.167873e-02   	  +5.098981e-01   	  +4.006553e-02   	  +1.167730e+00   	  +4.967437e-02   	  +0.000000e+00   	  +0.000000e+00   	  +5.092393e-03   	  +2.505188e-04   	  -2.471724e-03   	  +1.942194e-04   
5   	  -8.104437e+01   	  +3.610527e+00   	  -6.090077e+01   	  +2.651711e+00   	  +1.013760e+02   	  +3.296817e+00   	  +0.000000e+00   	  +0.000000e+00   	  +4.714324e-03   	  +2.100308e-04   	  +3.542584e-03   	  +1.542550e-04   
6   	  +1.016505e+01   	  +2.393289e+02   	  -3.214895e+02   	  +1.634076e+02   	  +3.216502e+02   	  +1.635010e+02   	  +0.000000e+00   	  +0.000000e+00   	  -7.115477e-06   	  +1.670609e-04   	  +2.244085e-04   	  +1.140649e-04   
7   	  -6.409099e+04   	  +1.186257e+04   	  +4.007577e+04   	  +1.402061e+04   	  +7.558917e+04   	  +1.250685e+04   	  +0.000000e+00   	  +0.000000e+00   	  +5.368600e-04   	  +9.936665e-05   	  -3.356984e-04   	  +1.174432e-04   
8   	  -2.216249e+06   	  +1.075762e+06   	  +4.968445e+05   	  +7.037524e+05   	  +2.271258e+06   	  +1.060936e+06   	  +0.000000e+00   	  +0.000000e+00   	  +2.227568e-04   	  +1.081330e-04   	  -4.993326e-05   	  +7.073951e-05   
9   	  -8.542810e+08   	  +5.969835e+07   	  +6.498422e+07   	  +1.078397e+08   	  +8.567491e+08   	  +6.008574e+07   	  +0.000000e+00   	  +0.000000e+00   	  +1.030433e-03   	  +7.200977e-05   	  -7.837945e-05   	  +1.300775e-04   
10  	  +1.179120e+10   	  +7.226206e+09   	  -1.004282e+10   	  +4.132828e+09   	  +1.548841e+10   	  +6.119226e+09   	  +0.000000e+00   	  +0.000000e+00   	  -1.706729e-04   	  +1.045960e-04   	  +1.453677e-04   	  +5.982079e-05   
11  	  +1.502421e+12   	  +3.982688e+11   	  +1.256097e+12   	  +4.161256e+11   	  +1.958328e+12   	  +4.057104e+11   	  +0.000000e+00   	  +0.000000e+00   	  -2.609639e-04   	  +6.917714e-05   	  -2.181713e-04   	  +7.227874e-05   
12  	  +1.331540e+12   	  +2.007173e+13   	  -1.387489e+13   	  +2.287519e+13   	  +1.393864e+13   	  +2.285116e+13   	  +0.000000e+00   	  +0.000000e+00   	  -2.777293e-06   	  +4.183617e-05   	  +2.890927e-05   	  +4.767952e-05   
13  	  +1.528361e+15   	  +1.946491e+15   	  -8.259971e+14   	  +1.732914e+15   	  +1.737285e+15   	  +1.900312e+15   	  +0.000000e+00   	  +0.000000e+00   	  -3.823203e-05   	  +4.868563e-05   	  +2.066337e-05   	  +4.334364e-05   
14  	  -9.235486e+16   	  +1.345026e+17   	  +1.459482e+17   	  +1.551547e+17   	  +1.727145e+17   	  +1.495411e+17   	  +0.000000e+00   	  +0.000000e+00   	  +2.771717e-05   	  +4.037016e-05   	  -4.380092e-05   	  +4.656876e-05   
15  	  -3.061287e+20   	  +9.633829e+18   	  -1.276019e+19   	  +6.710040e+18   	  +3.063945e+20   	  +9.629527e+18   	  +0.000000e+00   	  +0.000000e+00   	  +1.102591e-03   	  +3.470065e-05   	  +4.595597e-05   	  +2.416774e-05   

magnetic_center_x(um) 	-30.52
magnetic_center_y(um) 	-11.01


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
4.079658708633e-07	4.16194978925e-07	4.247300182669e-07	4.217069431434e-07	4.086915339485e-07	4.068767793797e-07	3.988845378444e-07	4.073793036241e-07	4.111162468234e-07	4.146221215251e-07
8.162090807673e-07	8.112808700389e-07	8.127086630338e-07	8.170667342711e-07	8.248047720372e-07	8.304925813718e-07	8.193768508136e-07	8.151999963957e-07	8.030535809667e-07	8.164532800947e-07
1.216767941514e-06	1.221061666001e-06	1.21700429645e-06	1.209188781104e-06	1.20872334719e-06	1.215687348122e-06	1.219304181177e-06	1.220831904902e-06	1.206509978147e-06	1.199931944029e-06
1.566195351188e-06	1.572277028572e-06	1.582287836754e-06	1.583625476087e-06	1.574435827933e-06	1.568363359183e-06	1.557249674988e-06	1.562865008964e-06	1.568788320583e-06	1.578412934578e-06
1.891579699986e-06	1.883851950879e-06	1.882216793092e-06	1.887239477583e-06	1.895482682812e-06	1.909687625812e-06	1.902379381136e-06	1.896119897538e-06	1.878332227534e-06	1.880789682218e-06
2.175760755563e-06	2.186689698647e-06	2.187489371863e-06	2.180747515013e-06	2.173454504373e-06	2.174339215344e-06	2.175812824134e-06	2.181418267355e-06	2.173853999921e-06	2.167345655835e-06
2.398414835625e-06	2.392529722783e-06	2.410742354186e-06	2.415520157228e-06	2.409720991636e-06	2.411242803646e-06	2.39981636696e-06	2.401947085673e-06	2.400543735348e-06	2.409232365608e-06
2.612672005853e-06	2.606397629279e-06	2.607678197819e-06	2.606280531836e-06	2.608466274978e-06	2.623555246828e-06	2.623338787089e-06	2.622053216328e-06	2.601901542221e-06	2.595646265036e-06
2.722315457504e-06	2.730272854023e-06	2.74096441899e-06	2.736430133154e-06	2.722391172938e-06	2.71950170827e-06	2.715629307204e-06	2.725685135374e-06	2.725769945755e-06	2.729568677751e-06
2.762053100014e-06	2.754403112704e-06	2.75791671811e-06	2.762484882624e-06	2.766119905573e-06	2.772189191091e-06	2.763127668004e-06	2.761019459285e-06	2.755098421403e-06	2.761634505077e-06
2.767064643194e-06	2.769463208097e-06	2.765929366433e-06	2.760492861853e-06	2.759194558166e-06	2.764543978628e-06	2.773474761852e-06	2.774527729343e-06	2.755770765361e-06	2.74412377621e-06
2.711896513574e-06	2.711823753998e-06	2.728571644184e-06	2.725899321376e-06	2.720505563047e-06	2.705017777771e-06	2.703199015741e-06	2.712428567975e-06	2.714491756706e-06	2.718279802139e-06
2.57742294707e-06	2.572331368356e-06	2.558751702963e-06	2.574371592345e-06	2.584351932455e-06	2.588287998151e-06	2.582317165434e-06	2.583220521046e-06	2.563439011283e-06	2.563063844718e-06
2.373451934545e-06	2.381461172263e-06	2.3716272608e-06	2.375231133556e-06	2.367966317252e-06	2.361097813264e-06	2.363386329307e-06	2.374938731009e-06	2.368465857217e-06	2.359906602578e-06
2.124185357388e-06	2.122436626451e-06	2.126897470589e-06	2.135514023394e-06	2.138421223208e-06	2.122596924892e-06	2.115867573593e-06	2.126125536961e-06	2.124502316292e-06	2.130198481609e-06
1.859413373495e-06	1.848270812843e-06	1.841035555117e-06	1.851988940871e-06	1.858647578956e-06	1.859874146248e-06	1.860469637904e-06	1.863845682237e-06	1.84446480489e-06	1.835013790696e-06
1.538994183647e-06	1.543695134387e-06	1.545605641695e-06	1.548084810565e-06	1.536921445222e-06	1.530007580186e-06	1.521079866507e-06	1.536190438856e-06	1.537657567496e-06	1.53689347826e-06
1.184041479974e-06	1.178643856292e-06	1.171548774437e-06	1.183523977488e-06	1.195166419166e-06	1.193992034132e-06	1.180944764201e-06	1.185205974252e-06	1.173406644739e-06	1.184569441648e-06
7.994232760211e-07	8.036298027037e-07	7.904940275694e-07	7.944142339511e-07	7.942088586788e-07	7.954414513733e-07	7.97390327989e-07	8.05272748039e-07	7.884062824814e-07	7.795287615409e-07
3.922032192349e-07	3.940945134673e-07	4.008714142856e-07	4.090674110557e-07	4.000634987733e-07	3.931232583909e-07	3.764662608319e-07	3.923917120119e-07	3.997918156529e-07	4.03384206038e-07
-1.67679168328e-08	-2.489058914534e-08	-3.60455700843e-08	-2.10447002047e-08	-9.949394197406e-09	-9.296133862691e-10	-1.450156883465e-08	-1.199652466255e-08	-3.0766393877e-08	-2.875261628787e-08
-4.092546248557e-07	-3.992734036729e-07	-4.12777268366e-07	-4.105253879061e-07	-4.202962031741e-07	-4.181705719475e-07	-4.202747163617e-07	-4.054895441641e-07	-4.151637824634e-07	-4.209433086544e-07
-8.076690960479e-07	-8.045973345361e-07	-8.064188818935e-07	-7.911383477222e-07	-7.995116675374e-07	-7.95535584075e-07	-8.133787900988e-07	-8.044160040299e-07	-8.016446599868e-07	-7.92663570337e-07
-1.148441128862e-06	-1.15228579034e-06	-1.160137458101e-06	-1.154930373559e-06	-1.148309138443e-06	-1.140003178079e-06	-1.144098973782e-06	-1.141671191363e-06	-1.160331066785e-06	-1.16275145956e-06
-1.467122160648e-06	-1.457775397284e-06	-1.463737930862e-06	-1.459819827687e-06	-1.469853373237e-06	-1.481360413891e-06	-1.479838147134e-06	-1.466608409828e-06	-1.468000164095e-06	-1.469039261792e-06
-1.735554178595e-06	-1.740880065881e-06	-1.74788408458e-06	-1.731212933009e-06	-1.723858304103e-06	-1.73056616859e-06	-1.737249021971e-06	-1.73502405687e-06	-1.738646801641e-06	-1.734113197926e-06
-1.968321157619e-06	-1.96506721295e-06	-1.976090288736e-06	-1.973665121113e-06	-1.975176701308e-06	-1.978899945243e-06	-1.968704282262e-06	-1.962148644452e-06	-1.976227622436e-06	-1.987885070776e-06
-2.17143633563e-06	-2.164205398003e-06	-2.164990746678e-06	-2.156353957616e-06	-2.16430112232e-06	-2.181063791795e-06	-2.185593530157e-06	-2.169181925638e-06	-2.165131718357e-06	-2.157207063647e-06
-2.293815214216e-06	-2.30664272749e-06	-2.310660192961e-06	-2.295786316608e-06	-2.285521532031e-06	-2.28116573453e-06	-2.291510327268e-06	-2.292343879162e-06	-2.30415957958e-06	-2.30351497521e-06
-2.326409457964e-06	-2.319989562238e-06	-2.327807351321e-06	-2.330414645257e-06	-2.338074637009e-06	-2.335181534363e-06	-2.33621881307e-06	-2.324630941075e-06	-2.331631094421e-06	-2.33896366808e-06
