########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	11856
file                           	S15-145_Q_BOA_110.0A_180703_145650.dat
date                           	03/07/2018
hour                           	14:56:50
operator                       	Lidia Toledo
software_version               	v3.3
bench                          	1
temperature(C)                 	23.206
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.099967e+02
main_coil_current_std(A)       	+5.871429e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_28-06-2018_r=13mm
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282866
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  -1.134941e-05   	  +4.641251e-07   	  -1.494207e-05   	  +3.880049e-07   	  +1.876365e-05   	  +4.174672e-07   	  +0.000000e+00   	  +0.000000e+00   	  -2.034808e-01   	  +8.339247e-03   	  -2.678702e-01   	  +6.994376e-03   
2   	  +4.648274e-03   	  +1.268388e-05   	  +1.086699e-02   	  +2.621641e-05   	  +1.181939e-02   	  +2.461466e-05   	  +5.833026e-01   	  +6.584934e-04   	  +1.000000e+00   	  +3.859006e-03   	  +2.337873e+00   	  +8.515067e-03   
3   	  -2.515169e+02   	  +1.361733e-03   	  -3.052251e-02   	  +2.750418e-03   	  +2.515169e+02   	  +1.361733e-03   	  +0.000000e+00   	  +0.000000e+00   	  -6.493212e+02   	  +1.771813e+00   	  -7.879160e-02   	  +7.103744e-03   
4   	  -3.450430e+00   	  +1.272681e-01   	  -2.768460e+00   	  +1.658897e-01   	  +4.423781e+00   	  +1.436364e-01   	  +0.000000e+00   	  +0.000000e+00   	  -1.068953e-01   	  +3.953443e-03   	  -8.576422e-02   	  +5.144462e-03   
5   	  -5.766905e+02   	  +1.511050e+01   	  +5.670065e+01   	  +1.577511e+01   	  +5.794712e+02   	  +1.511700e+01   	  +0.000000e+00   	  +0.000000e+00   	  -2.143905e-01   	  +5.647721e-03   	  +2.108894e-02   	  +5.864694e-03   
6   	  +2.663684e+03   	  +9.244762e+02   	  +1.506640e+03   	  +1.794372e+03   	  +3.060258e+03   	  +1.194957e+03   	  +0.000000e+00   	  +0.000000e+00   	  +1.188708e-02   	  +4.124226e-03   	  +6.728765e-03   	  +8.004735e-03   
7   	  -9.317884e+05   	  +1.024009e+05   	  +2.820376e+05   	  +7.936785e+04   	  +9.735373e+05   	  +1.006706e+05   	  +0.000000e+00   	  +0.000000e+00   	  -4.987662e-02   	  +5.483428e-03   	  +1.509951e-02   	  +4.248930e-03   
8   	  -2.052415e+07   	  +5.217964e+06   	  -1.707411e+07   	  +1.292009e+07   	  +2.669768e+07   	  +9.185089e+06   	  +0.000000e+00   	  +0.000000e+00   	  -1.318607e-02   	  +3.352138e-03   	  -1.095913e-02   	  +8.299731e-03   
9   	  +1.620283e+11   	  +4.239199e+08   	  -8.722941e+09   	  +5.224974e+08   	  +1.622630e+11   	  +4.242378e+08   	  +0.000000e+00   	  +0.000000e+00   	  +1.249026e+00   	  +4.721736e-03   	  -6.724081e-02   	  +4.031915e-03   
10  	  -1.473716e+10   	  +3.699706e+10   	  +1.246277e+10   	  +6.859247e+10   	  +1.930037e+10   	  +5.253410e+10   	  +0.000000e+00   	  +0.000000e+00   	  -1.364696e-03   	  +3.422361e-03   	  +1.157787e-03   	  +6.345046e-03   
11  	  -3.319328e+12   	  +2.057039e+12   	  -1.626187e+12   	  +5.887285e+12   	  +3.696271e+12   	  +3.181377e+12   	  +0.000000e+00   	  +0.000000e+00   	  -3.682948e-03   	  +2.283423e-03   	  -1.805473e-03   	  +6.535138e-03   
12  	  +6.250707e+14   	  +3.153656e+14   	  -1.246326e+14   	  +5.392566e+14   	  +6.373748e+14   	  +3.267593e+14   	  +0.000000e+00   	  +0.000000e+00   	  +8.325826e-03   	  +4.200892e-03   	  -1.648875e-03   	  +7.183173e-03   
13  	  +4.206800e+16   	  +2.560792e+16   	  -6.900325e+16   	  +2.443491e+16   	  +8.081563e+16   	  +2.475824e+16   	  +0.000000e+00   	  +0.000000e+00   	  +6.727473e-03   	  +4.093367e-03   	  -1.102680e-02   	  +3.905941e-03   
14  	  +7.842984e+18   	  +2.321823e+18   	  +1.258464e+19   	  +2.367028e+18   	  +1.482854e+19   	  +2.354469e+18   	  +0.000000e+00   	  +0.000000e+00   	  +1.504411e-02   	  +4.453802e-03   	  +2.414332e-02   	  +4.540799e-03   
15  	  -3.678829e+22   	  +1.052406e+20   	  +2.847085e+20   	  +1.649363e+20   	  +3.678939e+22   	  +1.052452e+20   	  +0.000000e+00   	  +0.000000e+00   	  -8.467951e-01   	  +3.347714e-03   	  +6.552515e-03   	  +3.796519e-03   

magnetic_center_x(um) 	2441.639
magnetic_center_y(um) 	3214.542


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.002274413826e-05	1.990443161048e-05	2.003041845455e-05	2.013549783442e-05	2.001574284805e-05	2.016187681875e-05	1.996144783334e-05	2.014089841396e-05	2.011085962295e-05	2.019072599069e-05
6.070833114791e-05	6.074058910599e-05	6.067239155527e-05	6.074046177673e-05	6.069242226658e-05	6.062937973184e-05	6.059638690203e-05	6.049975854694e-05	6.045438567526e-05	6.063408363843e-05
9.95958907879e-05	9.968312224373e-05	9.978325397242e-05	9.951161337085e-05	9.962773765437e-05	9.964110358851e-05	9.975102148019e-05	9.985532233259e-05	9.97681854642e-05	9.962740296032e-05
0.0001355023414362	0.0001353517000098	0.0001353457337245	0.0001355413987767	0.0001355414278805	0.0001355959975626	0.0001354379201075	0.0001353736879537	0.0001355096464977	0.0001355862477794
0.0001680601271801	0.0001680684217717	0.0001681080175331	0.0001680787827354	0.0001680284767644	0.0001679223641986	0.0001681218127487	0.0001679554115981	0.0001679648848949	0.0001678220287431
0.0001965032715816	0.00019673803763	0.0001963805116247	0.0001963401737157	0.0001964413095266	0.0001964994153241	0.0001964652037714	0.0001964897091966	0.0001965101546375	0.0001965785486391
0.0002203816839028	0.0002200895687565	0.0002204776392318	0.0002205487689935	0.0002203833573731	0.0002204082120443	0.000220371526666	0.0002206150384154	0.0002205368946306	0.000220579924644
0.0002421498647891	0.0002422594407108	0.0002420914825052	0.0002421855751891	0.0002422717516311	0.0002423190308036	0.000242141293711	0.0002420657256152	0.0002421161334496	0.0002421959507046
0.0002550602366682	0.0002552731602918	0.0002552354126237	0.0002549221972004	0.0002549887576606	0.0002548879419919	0.0002551618672442	0.0002548820630182	0.000254957441939	0.000254720565863
0.0002594859688543	0.000259128108155	0.000259436230408	0.0002595318073872	0.0002595142868813	0.0002594000834506	0.0002593469107524	0.0002596391132101	0.0002596983395051	0.0002596176054794
0.0002599448489491	0.0002600864681881	0.0002597808197606	0.0002600900188554	0.0002600016596261	0.0002601987216622	0.0002600613806862	0.0002599500294309	0.0002600064035505	0.0002603343455121
0.0002561714500189	0.0002564528549556	0.0002563860907685	0.0002560579450801	0.0002562124864198	0.0002560208668001	0.0002561427536421	0.0002560850407463	0.0002558100095484	0.0002559099812061
0.0002422060497338	0.0002420445816824	0.0002424300182611	0.0002420589153189	0.000242093054112	0.0002420081582386	0.0002422481338726	0.0002423739642836	0.0002423493278911	0.000242139925831
0.0002204026677646	0.0002201774768764	0.0002200694871135	0.0002205741184298	0.0002203969488619	0.0002205344062531	0.0002203026670031	0.0002202383475378	0.0002205152268289	0.0002205003693234
0.0001962662208825	0.0001966005074792	0.0001962686947081	0.0001963004469872	0.0001964092225535	0.0001965476985788	0.0001963322720258	0.000196450841031	0.0001961331727216	0.0001962377136806
0.0001681483845459	0.0001680594868958	0.0001683889713604	0.0001680245477473	0.0001681618450675	0.0001678966509644	0.0001682739966782	0.0001679928682279	0.0001682007423369	0.0001680848363321
0.0001360854366794	0.000136016155011	0.0001361041795462	0.0001363152259728	0.0001361484610243	0.0001362502225675	0.0001360831520287	0.0001362091425108	0.0001362367038382	0.0001361495087622
0.0001003882280202	0.0001003495563054	0.0001002259959932	0.0001001744240057	0.0001002556819003	0.0001003454017336	0.0001002626522677	0.0001003148354357	0.0001000823103823	0.0001003908037092
6.125745130703e-05	6.122467311798e-05	6.118010787759e-05	6.118583405623e-05	6.118263263488e-05	6.104782369221e-05	6.118832243374e-05	6.107955414336e-05	6.132815906312e-05	6.12438088865e-05
2.068322100968e-05	2.075692646031e-05	2.075862175843e-05	2.068276808131e-05	2.062240673695e-05	2.07809771382e-05	2.077790304611e-05	2.072820643662e-05	2.075115480693e-05	2.061979284917e-05
-2.033109194599e-05	-2.031168151007e-05	-2.030793621088e-05	-2.015392237809e-05	-2.012778168137e-05	-2.025997855526e-05	-2.028887502092e-05	-2.015061727434e-05	-2.037409467448e-05	-2.024428795266e-05
-6.059391307645e-05	-6.066133573768e-05	-6.061586100259e-05	-6.076760473661e-05	-6.075588680687e-05	-6.07925139775e-05	-6.066702917451e-05	-6.073678741814e-05	-6.064549233997e-05	-6.059863153496e-05
-9.935039997799e-05	-9.934537956724e-05	-9.946095087798e-05	-9.940221934812e-05	-9.940978634404e-05	-9.932037210092e-05	-9.951744868886e-05	-9.942295582732e-05	-9.943245822797e-05	-9.943461918738e-05
-0.000135527094244	-0.0001355153217446	-0.000135489841341	-0.0001355223794235	-0.0001354882260785	-0.0001355889689876	-0.0001353100378765	-0.0001354690321023	-0.0001354914566036	-0.0001354799314868
-0.0001681877474766	-0.0001681229186943	-0.0001681564317551	-0.0001678200205788	-0.0001680431014393	-0.0001679619163042	-0.0001679564884398	-0.0001680805144133	-0.0001680996065261	-0.0001680566929281
-0.0001950424193637	-0.0001951555750566	-0.0001951524609467	-0.000195425527636	-0.0001949166035047	-0.0001953376486199	-0.000195450760657	-0.0001950909354491	-0.0001950620790012	-0.0001953307073563
-0.0002198153961217	-0.0002198134461651	-0.0002197895810241	-0.0002197566063842	-0.0002200943272328	-0.0002196528512286	-0.0002196646091761	-0.0002197194844484	-0.0002198425499955	-0.0002195792767452
-0.0002411935856799	-0.0002410791348666	-0.0002408674190519	-0.0002409763837932	-0.0002410235319985	-0.000241005414864	-0.0002409826265648	-0.0002413132751826	-0.0002409905137029	-0.0002409857406747
-0.000254514219705	-0.0002543939626776	-0.0002548611955717	-0.0002548674528953	-0.0002546310133766	-0.0002548480697442	-0.0002547849435359	-0.0002546578762121	-0.0002546458272263	-0.0002549497585278
-0.0002589855866972	-0.000259131367784	-0.0002590304065961	-0.0002589395153336	-0.000259002787061	-0.0002589856740087	-0.0002592970849946	-0.0002589412033558	-0.0002591144584585	-0.0002588802599348
-0.0002589212381281	-0.0002591659722384	-0.000258720072452	-0.0002588432398625	-0.0002589972282294	-0.0002588558127172	-0.0002586480986793	-0.0002588857314549	-0.000258959364146	-0.0002587619237602
-0.0002552513033152	-0.0002550460631028	-0.0002552885562181	-0.0002551935613155	-0.0002549990313128	-0.0002552419318818	-0.0002550385543145	-0.0002553955418989	-0.0002549889031798	-0.0002552983351052
-0.0002402446698397	-0.0002400304801995	-0.0002403262333246	-0.0002404577244306	-0.0002403409744147	-0.0002402337559033	-0.0002406031126156	-0.0002401600359008	-0.0002402577811154	-0.0002402159734629
