########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	25545
file                           	S15-248_S_BOA_167.8A_181001_144633.dat
date                           	01/10/2018
hour                           	14:46:33
operator                       	Lucas Balthazar
software_version               	v3.5
bench                          	1
temperature(C)                 	23.087
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.677976e+02
main_coil_current_std(A)       	+2.350252e-03
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	-2.000000e+00
qs_coil_current_std(A)       	+4.588315e-04
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_27-08-2018_r=13mm
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	233386
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013042
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 3ª medida skew



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +7.210630e-05   	  +1.532277e-07   	  -3.880761e-05   	  +3.648991e-07   	  +8.188619e-05   	  +2.193430e-07   	  -4.937386e-01   	  +4.022923e-03   	  -1.356719e-03   	  +2.883062e-06   	  +7.301861e-04   	  +6.865773e-06   
2   	  +1.632455e-02   	  +1.103255e-05   	  -2.334024e-03   	  +1.912393e-05   	  +1.649056e-02   	  +1.125191e-05   	  -7.100691e-02   	  +5.759567e-04   	  -3.685863e-03   	  +2.491012e-06   	  +5.269910e-04   	  +4.317925e-06   
3   	  -3.690803e+02   	  +7.195111e-04   	  +2.404616e-02   	  +1.772846e-03   	  +3.690803e+02   	  +7.195111e-04   	  -2.171719e-05   	  +1.601138e-06   	  +1.000000e+00   	  +2.756967e-06   	  -6.515156e-05   	  +4.803415e-06   
4   	  +1.591703e+01   	  +8.358581e-02   	  +8.589402e+01   	  +1.376415e-01   	  +8.735636e+01   	  +1.361916e-01   	  +3.468912e-01   	  +2.459121e-04   	  -5.175143e-04   	  +2.717646e-06   	  -2.792694e-03   	  +4.475175e-06   
5   	  +5.565424e+02   	  +8.822612e+00   	  +6.392665e+02   	  +9.712398e+00   	  +8.475855e+02   	  +9.339167e+00   	  +1.708933e-01   	  +2.174833e-03   	  -2.171400e-04   	  +3.442221e-06   	  -2.494156e-04   	  +3.789379e-06   
6   	  -1.042814e+04   	  +4.169292e+02   	  -2.657963e+03   	  +6.093324e+02   	  +1.076155e+04   	  +4.311326e+02   	  +4.159497e-02   	  +9.282538e-03   	  +4.882359e-05   	  +1.952024e-06   	  +1.244434e-05   	  +2.852838e-06   
7   	  -2.057520e+04   	  +5.685737e+04   	  -8.133340e+05   	  +6.554984e+04   	  +8.135942e+05   	  +6.554465e+04   	  +2.207863e-01   	  +9.984507e-03   	  +1.155975e-06   	  +3.194412e-06   	  +4.569546e-05   	  +3.682780e-06   
8   	  -1.063807e+07   	  +3.436708e+06   	  -2.046568e+08   	  +5.087776e+06   	  +2.049331e+08   	  +5.084047e+06   	  +1.898579e-01   	  +2.099601e-03   	  +7.172132e-06   	  +2.317010e-06   	  +1.379785e-04   	  +3.430152e-06   
9   	  +2.471871e+11   	  +4.431499e+08   	  -1.333102e+09   	  +5.218469e+08   	  +2.471907e+11   	  +4.431524e+08   	  -5.992264e-04   	  +2.345669e-04   	  -1.999827e-03   	  +3.585234e-06   	  +1.078525e-05   	  +4.221917e-06   
10  	  -1.287997e+11   	  +2.419458e+10   	  -8.562516e+11   	  +4.320883e+10   	  +8.658846e+11   	  +4.287942e+10   	  +1.421493e-01   	  +2.861083e-03   	  +1.250439e-05   	  +2.348907e-06   	  +8.312837e-05   	  +4.194887e-06   
11  	  -1.465790e+13   	  +1.883355e+12   	  -6.666370e+12   	  +2.377172e+12   	  +1.610262e+13   	  +1.976770e+12   	  +3.880328e-02   	  +1.298534e-02   	  +1.707657e-05   	  +2.194125e-06   	  +7.766381e-06   	  +2.769426e-06   
12  	  +5.394847e+14   	  +2.308273e+14   	  -2.166295e+14   	  +2.694827e+14   	  +5.813537e+14   	  +2.365726e+14   	  -3.182007e-02   	  +3.790769e-02   	  -7.542051e-06   	  +3.226989e-06   	  +3.028500e-06   	  +3.767396e-06   
13  	  +3.131802e+16   	  +2.634969e+16   	  -4.062381e+15   	  +1.781556e+16   	  +3.158040e+16   	  +2.623107e+16   	  -9.922584e-03   	  +4.381916e-02   	  -5.253951e-06   	  +4.420456e-06   	  +6.815100e-07   	  +2.988759e-06   
14  	  +1.499690e+19   	  +1.567825e+18   	  +1.968269e+19   	  +2.258103e+18   	  +2.474500e+19   	  +2.031991e+18   	  +6.569295e-02   	  +5.344560e-03   	  -3.019079e-05   	  +3.156242e-06   	  -3.962389e-05   	  +4.545865e-06   
15  	  -5.428932e+22   	  +8.690892e+19   	  +6.234865e+20   	  +1.467609e+20   	  +5.429290e+22   	  +8.691953e+19   	  -7.656007e-04   	  +1.802012e-04   	  +1.311500e-03   	  +2.099514e-06   	  -1.506194e-05   	  +3.545394e-06   

magnetic_center_x(um) 	22.115
magnetic_center_y(um) 	-3.162


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.984099046444e-05	2.995659087901e-05	2.989533095388e-05	2.981016223202e-05	2.986352046719e-05	2.999076059496e-05	2.991316796397e-05	2.989629683725e-05	2.98583854601e-05	2.979832788697e-05
8.958836406237e-05	8.960549894255e-05	8.952371717896e-05	8.966038876679e-05	8.958794205682e-05	8.960761624621e-05	8.948180038715e-05	8.964799053501e-05	8.95728735486e-05	8.956676902017e-05
0.000146687933011	0.0001465359819122	0.0001467517140554	0.0001465009263484	0.0001465592649765	0.0001465988752898	0.0001466179237468	0.0001465443347115	0.0001466577523388	0.0001466426620027
0.0001999335654546	0.00019995837647	0.0001999042724492	0.0002000574895646	0.0002001073444262	0.0001999663363677	0.0002000569220399	0.0001999081723625	0.0001999003870878	0.0001999997039093
0.0002478246460669	0.000247870630119	0.0002477992675267	0.0002478031965438	0.0002477932721376	0.0002478264214005	0.0002478736860212	0.0002479501708876	0.0002479249960743	0.0002478169335518
0.000289884803351	0.0002899011014961	0.0002900637919083	0.0002899541868828	0.0002899171959143	0.0002898915845435	0.0002898556995206	0.00029001783696	0.0002898795064539	0.0002899074752349
0.0003247825079598	0.0003247913264204	0.0003246286069043	0.0003248188295402	0.00032472924795	0.0003248466236982	0.0003247575368732	0.0003246102132834	0.0003247243585065	0.0003248293069191
0.0003563134232536	0.0003563757636584	0.0003564136277419	0.0003562802448869	0.0003563298087101	0.0003562863857951	0.0003563351347111	0.0003563182835933	0.0003563390928321	0.0003563300415408
0.0003768881142605	0.0003769130562432	0.0003769520844799	0.000376994285034	0.0003769950126298	0.0003769739123527	0.0003769817994907	0.0003770190814976	0.0003769493778236	0.0003768695460167
0.0003846512408927	0.0003845789469779	0.0003845984465443	0.0003845475439448	0.0003845144528896	0.0003844672464766	0.0003845758910757	0.0003845583414659	0.0003846875915769	0.0003844913153443
0.0003853553789668	0.0003853562811855	0.0003853981615975	0.0003853394009639	0.0003854286915157	0.0003853680973407	0.0003853615780827	0.0003854016249534	0.0003853117523249	0.0003855232498609
0.0003770976036321	0.0003771419287659	0.0003770457115024	0.000377101066988	0.0003771016199607	0.0003771398332901	0.0003771527844947	0.000377140706405	0.0003770404437091	0.0003771080228034
0.0003575290611479	0.0003575370938051	0.0003575614828151	0.000357552053174	0.0003575481532607	0.000357621058356	0.0003574048168957	0.0003574104921427	0.000357648183126	0.000357491633622
0.000326519832015	0.0003265466948505	0.0003265179111622	0.0003265566192567	0.0003266527492087	0.0003264297847636	0.0003266103740316	0.0003266463754699	0.0003264847910032	0.0003264748374932
0.000290613679681	0.0002906710433308	0.0002906364388764	0.0002905738947447	0.000290495227091	0.000290719763143	0.000290697440505	0.0002906794834416	0.0002906068693846	0.0002906633890234
0.0002491539344192	0.0002490019542165	0.0002491225604899	0.0002490764309186	0.0002491078339517	0.0002490500919521	0.0002490447368473	0.0002490449696779	0.0002491172053851	0.0002489980834071
0.0002011690667132	0.0002011379256146	0.0002012282056967	0.0002011218311964	0.0002011704054894	0.0002011632022914	0.0002011415053857	0.0002011071046581	0.0002011960023083	0.0002013418998104
0.0001480256614741	0.0001480337959947	0.0001477907935623	0.0001480566716054	0.000148003193317	0.0001479930069763	0.0001479018683312	0.000147886457853	0.0001478779595345	0.0001478192280047
8.965579763753e-05	8.97803765838e-05	8.983927546069e-05	8.969533519121e-05	8.969459304353e-05	8.966947643785e-05	8.984506712295e-05	8.984329178929e-05	8.978601545095e-05	8.97829013411e-05
2.990707980643e-05	2.981545912917e-05	2.998484887939e-05	3.002192352142e-05	3.00339434034e-05	2.995514478243e-05	2.991062501678e-05	2.999634125445e-05	2.99525418086e-05	3.003893471032e-05
-3.077634391957e-05	-3.080561509705e-05	-3.104118513875e-05	-3.097569788224e-05	-3.09953247779e-05	-3.088718221989e-05	-3.090805694228e-05	-3.092915721936e-05	-3.0990158848e-05	-3.091115650022e-05
-9.11156530492e-05	-9.095984569285e-05	-9.090275852941e-05	-9.097658767132e-05	-9.088732622331e-05	-9.090533421841e-05	-9.10376329557e-05	-9.10430244403e-05	-9.084797056857e-05	-9.103391494136e-05
-0.0001490179856773	-0.0001491384318797	-0.0001490588765591	-0.0001489799906267	-0.0001490905124228	-0.0001491765287938	-0.0001491269795224	-0.0001490536960773	-0.0001491609291406	-0.0001490435533924
-0.0002019200619543	-0.0002018854283961	-0.0002018903032877	-0.000202000621357	-0.0002019546664087	-0.0002018803352257	-0.0002018027880695	-0.0002018826780841	-0.0002018604427576	-0.0002019360254053
-0.0002500045229681	-0.0002501287090126	-0.0002501507406123	-0.0002499633992556	-0.00024997536093	-0.0002501036506146	-0.0002501192502677	-0.0002500852278899	-0.0002500218397472	-0.0002501393319108
-0.0002917554811575	-0.0002917455858551	-0.0002916221565101	-0.0002917745150626	-0.0002918628160842	-0.0002917216916103	-0.0002917289675679	-0.0002918259706348	-0.0002918307145592	-0.0002916747471318
-0.0003281939134467	-0.0003281130339019	-0.0003281659446657	-0.0003282307006884	-0.0003281422832515	-0.0003282507532276	-0.0003281917597633	-0.0003280792443547	-0.0003281806129962	-0.0003281982499175
-0.0003593484871089	-0.0003592978755478	-0.0003593285509851	-0.0003592495922931	-0.0003593555593397	-0.0003592327120714	-0.000359317229595	-0.0003593187138904	-0.0003592356515583	-0.000359323923476
-0.0003798100806307	-0.0003797523095272	-0.0003797623794526	-0.0003797280078288	-0.0003796883393079	-0.0003797964018304	-0.0003797437821049	-0.0003797753306571	-0.0003798427642323	-0.0003797906683758
-0.0003871412773151	-0.0003872429369949	-0.0003872667148244	-0.0003872573724948	-0.0003872405504808	-0.0003872410743497	-0.0003872387169395	-0.0003871587687172	-0.0003871218650602	-0.0003871712833643
-0.0003854307578877	-0.0003854722599499	-0.0003853743837681	-0.000385464169085	-0.0003853457455989	-0.0003853741509374	-0.0003854216192849	-0.0003854286915157	-0.0003854027308989	-0.0003853818634525
-0.0003791176714003	-0.0003791816125158	-0.000379135570256	-0.0003791418275796	-0.0003791496274062	-0.0003791521594394	-0.0003793154901359	-0.0003792825737037	-0.0003791972703766	-0.0003791878989432
-0.0003587997634895	-0.0003586529928725	-0.0003587723767851	-0.0003586258389987	-0.0003587914688978	-0.0003587494429667	-0.0003585038066376	-0.0003587011597119	-0.0003588311956264	-0.0003587752871681
