########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	19462
file                           	S15-283_S_BOA_090.0A_180821_163520.dat
date                           	21/08/2018
hour                           	16:35:20
operator                       	Lidia Toledo
software_version               	v3.3
bench                          	1
temperature(C)                 	23.121
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+8.999815e+01
main_coil_current_std(A)       	+5.871429e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_21-08-2018_r=13mm
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282841
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +8.014089e-06   	  +3.192726e-07   	  +5.996250e-06   	  +4.272731e-07   	  +1.000903e-05   	  +3.617627e-07   	  +0.000000e+00   	  +0.000000e+00   	  -2.680537e-04   	  +1.067897e-05   	  -2.005614e-04   	  +1.429134e-05   
2   	  +2.745729e-03   	  +1.909532e-05   	  +9.295378e-03   	  +3.008815e-05   	  +9.692423e-03   	  +2.935826e-05   	  +0.000000e+00   	  +0.000000e+00   	  -1.102063e-03   	  +7.664358e-06   	  -3.730919e-03   	  +1.207660e-05   
3   	  -2.076204e+02   	  +8.866161e-04   	  -1.614998e-01   	  +2.248589e-03   	  +2.076204e+02   	  +8.866176e-04   	  +2.592870e-04   	  +3.610095e-06   	  +1.000000e+00   	  +6.039218e-06   	  +7.778612e-04   	  +1.083029e-05   
4   	  -3.404412e+00   	  +7.076581e-02   	  -3.238428e-01   	  +2.091796e-01   	  +3.419780e+00   	  +7.317975e-02   	  +0.000000e+00   	  +0.000000e+00   	  +1.967675e-04   	  +4.090108e-06   	  +1.871740e-05   	  +1.209012e-05   
5   	  -3.576367e+02   	  +5.921359e+00   	  -3.150621e+01   	  +1.127571e+01   	  +3.590218e+02   	  +5.980936e+00   	  +0.000000e+00   	  +0.000000e+00   	  +2.480474e-04   	  +4.106898e-06   	  +2.185188e-05   	  +7.820537e-06   
6   	  -5.420259e+02   	  +9.730572e+02   	  +1.700394e+03   	  +1.260310e+03   	  +1.784693e+03   	  +1.236611e+03   	  +0.000000e+00   	  +0.000000e+00   	  +4.511212e-06   	  +8.098642e-06   	  -1.415218e-05   	  +1.048942e-05   
7   	  -1.023064e+06   	  +5.408717e+04   	  +1.387688e+05   	  +9.555570e+04   	  +1.032433e+06   	  +5.511379e+04   	  +0.000000e+00   	  +0.000000e+00   	  +1.021781e-04   	  +5.401935e-06   	  -1.385948e-05   	  +9.543587e-06   
8   	  +2.129133e+06   	  +6.528518e+06   	  -1.999999e+07   	  +7.008616e+06   	  +2.011300e+07   	  +7.003419e+06   	  +0.000000e+00   	  +0.000000e+00   	  -2.551761e-06   	  +7.824397e-06   	  +2.396988e-05   	  +8.399793e-06   
9   	  +1.360040e+11   	  +6.452862e+08   	  -5.708207e+09   	  +6.915415e+08   	  +1.361237e+11   	  +6.453705e+08   	  +0.000000e+00   	  +0.000000e+00   	  -1.956001e-03   	  +9.280473e-06   	  +8.209512e-05   	  +9.945710e-06   
10  	  -2.831848e+10   	  +3.336123e+10   	  +8.136315e+10   	  +7.527569e+10   	  +8.615044e+10   	  +7.193350e+10   	  +0.000000e+00   	  +0.000000e+00   	  +4.887288e-06   	  +5.757591e-06   	  -1.404193e-05   	  +1.299133e-05   
11  	  -3.340727e+12   	  +3.020850e+12   	  +2.313989e+12   	  +7.243020e+12   	  +4.063865e+12   	  +4.814146e+12   	  +0.000000e+00   	  +0.000000e+00   	  +6.918630e-06   	  +6.256179e-06   	  -4.792279e-06   	  +1.500029e-05   
12  	  +1.215606e+14   	  +3.573902e+14   	  -2.828439e+14   	  +5.458655e+14   	  +3.078598e+14   	  +5.209861e+14   	  +0.000000e+00   	  +0.000000e+00   	  -3.021026e-06   	  +8.881859e-06   	  +7.029246e-06   	  +1.356585e-05   
13  	  +1.024576e+17   	  +3.267857e+16   	  -6.293793e+15   	  +3.455947e+16   	  +1.026508e+17   	  +3.268585e+16   	  +0.000000e+00   	  +0.000000e+00   	  -3.055533e-05   	  +9.745534e-06   	  +1.876950e-06   	  +1.030646e-05   
14  	  +2.925840e+18   	  +2.778849e+18   	  +1.138147e+19   	  +2.377310e+18   	  +1.175153e+19   	  +2.404152e+18   	  +0.000000e+00   	  +0.000000e+00   	  -1.047068e-05   	  +9.944633e-06   	  -4.073073e-05   	  +8.507650e-06   
15  	  -3.167363e+22   	  +2.827887e+20   	  -7.037224e+20   	  +2.149163e+20   	  +3.168144e+22   	  +2.827592e+20   	  +0.000000e+00   	  +0.000000e+00   	  +1.360200e-03   	  +1.214415e-05   	  +3.022083e-05   	  +9.229418e-06   

magnetic_center_x(um) 	6.612
magnetic_center_y(um) 	22.386


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
1.659113513597e-05	1.64812499861e-05	1.678559601714e-05	1.658585824771e-05	1.657654684095e-05	1.650190461078e-05	1.65748042491e-05	1.643971518206e-05	1.678847547737e-05	1.670518759056e-05
5.005694401916e-05	4.990526940674e-05	4.999772863812e-05	5.02361508552e-05	4.993793845642e-05	5.008840162191e-05	5.006271749153e-05	5.002397665521e-05	5.008082735003e-05	4.989752414986e-05
8.220183372032e-05	8.231787796831e-05	8.226885984186e-05	8.224847988458e-05	8.234565757448e-05	8.24335947982e-05	8.217084541684e-05	8.225181954913e-05	8.22001893539e-05	8.222296310123e-05
0.0001118447544286	0.0001118358995882	0.0001116860512411	0.0001117041974794	0.0001118952422985	0.0001117896463256	0.0001118430081988	0.000111960049253	0.000111728651973	0.0001118006039178
0.0001387737720506	0.0001387431402691	0.0001386418880429	0.000138601710205	0.0001386614312651	0.0001385327486787	0.0001386298972648	0.0001387050579069	0.0001386366930092	0.0001387366064591
0.0001622956478968	0.0001623300922802	0.0001624730357435	0.0001623395510251	0.0001621724222787	0.000162342825206	0.0001623511925573	0.0001621860865271	0.0001624305004952	0.0001623065036256
0.0001819197786972	0.0001819740427891	0.0001820538163884	0.0001821648183977	0.0001820007310016	0.0001820575707825	0.0001820882898755	0.0001820151519496	0.0001820600737119	0.0001820431352826
0.0001996787177632	0.0001995884667849	0.0001996116625378	0.0001996870560106	0.0001997856597882	0.0001997108774958	0.0001996543869609	0.0001996629143832	0.0001996443461394	0.000199630681891
0.0002101853460772	0.0002102046855725	0.0002100557612721	0.0002100979909301	0.0002102361468133	0.0002100759593304	0.0002100612036884	0.000210196361877	0.000210126163438	0.0002101221325574
0.0002146694168914	0.0002145768376067	0.0002146344340872	0.0002143878518837	0.0002144776517525	0.0002145250182366	0.000214536281419	0.0002146359620383	0.000214581596083	0.000214614730794
0.0002150992077077	0.0002150258369511	0.0002151219377993	0.0002151489898097	0.0002149819920305	0.0002151652734028	0.0002151448425138	0.0002150304208044	0.0002150956133846	0.0002150667860406
0.0002105702005792	0.0002107712207362	0.0002107823675033	0.0002109078341164	0.0002108019252773	0.0002107789623551	0.0002108122571371	0.0002106745814672	0.0002108252228936	0.0002107518084813
0.0001994487392949	0.0001995251222979	0.0001994892954826	0.0001995199854719	0.0001995369384531	0.0001994152989937	0.0001994235208258	0.0001993909245357	0.0001993216137635	0.000199476708076
0.0001823541533668	0.0001821875775931	0.0001821913028834	0.0001820935576688	0.0001822264457587	0.000182168892934	0.0001820965117076	0.0001822949561756	0.000182210773346	0.0001821242913138
0.0001622361742193	0.0001621482660994	0.000162047392223	0.0001620327966521	0.0001620947441552	0.0001622766430955	0.0001621667179279	0.0001623119751457	0.0001622886629775	0.0001622154086363
0.0001384491624776	0.0001384567294735	0.000138506264193	0.0001385566138197	0.0001384539209539	0.0001384330098517	0.0001385971263517	0.0001384559000144	0.0001384338975186	0.0001384765928378
0.0001119398730225	0.0001120856031775	0.0001121627065004	0.000112252040708	0.0001120200031437	0.0001121359018725	0.0001120699525927	0.0001119709486375	0.0001120177767007	0.0001121041277656
8.268524834421e-05	8.271347178379e-05	8.270656690001e-05	8.263868949143e-05	8.278883615276e-05	8.25785973575e-05	8.271136903204e-05	8.253243868239e-05	8.265193901025e-05	8.268390229205e-05
5.058389069745e-05	5.046666774433e-05	5.049035826232e-05	5.043215060141e-05	5.060454714112e-05	5.055585643277e-05	5.037735536462e-05	5.067762322142e-05	5.061171395937e-05	5.054012217443e-05
1.716487167869e-05	1.706140028546e-05	1.701887958916e-05	1.702716144791e-05	1.698521373328e-05	1.70991406776e-05	1.703268935671e-05	1.713064193609e-05	1.706531111267e-05	1.695078208286e-05
-1.70117309608e-05	-1.693790727586e-05	-1.701470500848e-05	-1.697219340713e-05	-1.70529292518e-05	-1.693127160252e-05	-1.688860174909e-05	-1.70037656062e-05	-1.698186679278e-05	-1.692863770586e-05
-5.046894875704e-05	-5.039347524871e-05	-5.033465276938e-05	-5.032726403442e-05	-5.042372140451e-05	-5.046746082371e-05	-5.035874346504e-05	-5.048667662777e-05	-5.043013516115e-05	-5.028613668401e-05
-8.22845249786e-05	-8.229292870965e-05	-8.221907046391e-05	-8.218089351431e-05	-8.215615525842e-05	-8.222120959545e-05	-8.230054663727e-05	-8.228299702751e-05	-8.22582442197e-05	-8.230635285145e-05
-0.0001116697894759	-0.0001117402644013	-0.0001117551728385	-0.0001117481806432	-0.0001116686908063	-0.0001117446809076	-0.0001117293213611	-0.0001116907369578	-0.0001116089842981	-0.0001117554929806
-0.0001387413649354	-0.0001387579250149	-0.0001387571828673	-0.0001388829550706	-0.0001387873344356	-0.0001387775118928	-0.0001387624215567	-0.0001386734220432	-0.0001388694799971	-0.0001388188975397
-0.0001615718501853	-0.0001615743531147	-0.0001616623339942	-0.0001615941437194	-0.0001617070374778	-0.0001615888031665	-0.0001615878427401	-0.0001616269582883	-0.0001616036752239	-0.0001615263463464
-0.0001816760923248	-0.0001817425072659	-0.0001816798903747	-0.0001816384901758	-0.0001816620497266	-0.0001816175936256	-0.0001816155854613	-0.0001817410957301	-0.0001816061412683	-0.0001816622971091
-0.0001987636642298	-0.0001987700961763	-0.0001987027353607	-0.0001985630224226	-0.0001986966963159	-0.0001987667055801	-0.0001987327996176	-0.0001986472052522	-0.0001986102724914	-0.0001987603318412
-0.0002099810371874	-0.0002099672710756	-0.0002098752447637	-0.000210035344935	-0.0002099568519043	-0.0002099380653817	-0.0002100616402458	-0.0002100146666635	-0.0002100685960613	-0.0002099944686051
-0.0002145702892449	-0.0002144320460502	-0.0002145777252736	-0.0002146669576177	-0.0002145065955119	-0.0002145637990907	-0.0002145629696315	-0.0002146767219529	-0.0002147514896933	-0.0002145282778656
-0.0002144498575944	-0.0002144841273548	-0.0002145672333427	-0.000214515515836	-0.0002145744219888	-0.0002145383914467	-0.0002144946920453	-0.0002144532190869	-0.0002143188612536	-0.0002144001919078
-0.0002099725388689	-0.0002100870769937	-0.0002099879493471	-0.0002099185367115	-0.0002099420817103	-0.0002099607227137	-0.000209924794035	-0.0002098827826558	-0.0002099140983773	-0.0002099989214912
-0.000197999906959	-0.0001979556691367	-0.000197818124434	-0.0001978608197533	-0.0001979864900932	-0.0001978985674214	-0.0001979162334464	-0.0001978150685318	-0.0001979252119781	-0.0001979692460736
