########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	41545
file                           	S15-002_S_BOA_070.0A_201022_143932.dat
date                           	22/10/2020
hour                           	14:39:32
operator                       	Lucas Balthazar
software_version               	v3.6
bench                          	1
temperature(C)                 	23.96
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+7.001520e+01
main_coil_current_std(A)       	+4.103913e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+1.473684e-03
trim_coil_current_std(A)   	+3.115703e-03

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_2020-08-06_r=13mm_b1_CALIBRATED
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	232433
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.0129575
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	Etapa 1.3 - Medida 1
Main = 0 - 160A
Trim = 0.0A
Fator = 1.5%
Rampas de excitação M1



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +5.571300e-06   	  +4.057256e-07   	  -2.229497e-05   	  +3.689142e-07   	  +2.298054e-05   	  +3.711788e-07   	  -1.325921e+00   	  +1.756507e-02   	  -2.377659e-04   	  +1.731511e-05   	  +9.514806e-04   	  +1.574412e-05   
2   	  +4.662617e-03   	  +1.336133e-05   	  +5.554441e-03   	  +1.290611e-05   	  +7.252021e-03   	  +1.309620e-05   	  +4.362326e-01   	  +9.083717e-04   	  -2.387833e-03   	  +6.842663e-06   	  -2.844556e-03   	  +6.609543e-06   
3   	  -1.627213e+02   	  +1.111124e-03   	  +3.024249e-03   	  +1.203397e-03   	  +1.627213e+02   	  +1.111124e-03   	  -6.195149e-06   	  +2.465149e-06   	  +1.000000e+00   	  +9.656799e-06   	  -1.858545e-05   	  +7.395448e-06   
4   	  +1.948953e+00   	  +7.058834e-02   	  -5.783054e-01   	  +6.719278e-02   	  +2.032942e+00   	  +7.031966e-02   	  -7.211265e-02   	  +8.297567e-03   	  -1.437269e-04   	  +5.205587e-06   	  +4.264754e-05   	  +4.955178e-06   
5   	  -4.447075e+02   	  +6.050964e+00   	  +1.086357e+00   	  +4.810590e+00   	  +4.447088e+02   	  +6.050957e+00   	  -4.885704e-04   	  +2.163482e-03   	  +3.935432e-04   	  +5.354792e-06   	  -9.613573e-07   	  +4.257124e-06   
6   	  -1.873619e+04   	  +3.246843e+02   	  +4.330150e+03   	  +2.866085e+02   	  +1.923005e+04   	  +3.228618e+02   	  -3.785397e-02   	  +2.501813e-03   	  +1.989667e-04   	  +3.447947e-06   	  -4.598350e-05   	  +3.043605e-06   
7   	  -1.149738e+06   	  +3.262982e+04   	  -5.534983e+04   	  +2.699527e+04   	  +1.151069e+06   	  +3.261792e+04   	  +6.872017e-03   	  +3.352120e-03   	  +1.465141e-04   	  +4.158102e-06   	  +7.053374e-06   	  +3.440077e-06   
8   	  -6.588585e+05   	  +2.520764e+06   	  -8.330778e+06   	  +2.163155e+06   	  +8.356791e+06   	  +2.165560e+06   	  +1.864842e-01   	  +3.767441e-02   	  +1.007513e-06   	  +3.854729e-06   	  +1.273934e-05   	  +3.307876e-06   
9   	  +1.074156e+11   	  +2.424672e+08   	  -4.588290e+08   	  +2.051284e+08   	  +1.074166e+11   	  +2.424666e+08   	  -4.746115e-04   	  +2.121844e-04   	  -1.971108e-03   	  +4.449365e-06   	  +8.419645e-06   	  +3.764166e-06   
10  	  -1.091959e+10   	  +5.795024e+09   	  -7.016577e+10   	  +1.318392e+10   	  +7.101037e+10   	  +1.305755e+10   	  +1.416409e-01   	  +8.554245e-03   	  +2.404536e-06   	  +1.276084e-06   	  +1.545074e-05   	  +2.903145e-06   
11  	  +6.985011e+12   	  +1.142042e+12   	  -4.133995e+12   	  +1.466439e+12   	  +8.116667e+12   	  +1.234410e+12   	  -4.858149e-02   	  +1.556373e-02   	  -1.845748e-05   	  +3.017781e-06   	  +1.092385e-05   	  +3.874981e-06   
12  	  +3.111391e+14   	  +1.482367e+14   	  +1.065019e+14   	  +1.403544e+14   	  +3.288620e+14   	  +1.474298e+14   	  +2.748298e-02   	  +3.578038e-02   	  -9.866003e-06   	  +4.700482e-06   	  -3.377102e-06   	  +4.450539e-06   
13  	  +7.326560e+15   	  +1.049394e+16   	  -1.825319e+16   	  +8.386615e+15   	  +1.966869e+16   	  +8.709538e+15   	  -9.146895e-02   	  +3.999922e-02   	  -2.787837e-06   	  +3.993067e-06   	  +6.945538e-06   	  +3.191205e-06   
14  	  +4.795649e+18   	  +7.544486e+17   	  +5.004933e+18   	  +8.019219e+17   	  +6.931638e+18   	  +7.795593e+17   	  +5.762494e-02   	  +8.012266e-03   	  -2.189759e-05   	  +3.444918e-06   	  -2.285323e-05   	  +3.661687e-06   
15  	  -2.563913e+22   	  +7.203726e+19   	  +3.218027e+20   	  +6.919958e+19   	  +2.564115e+22   	  +7.203682e+19   	  -8.367048e-04   	  +1.799192e-04   	  +1.404862e-03   	  +3.947198e-06   	  -1.763275e-05   	  +3.791699e-06   

magnetic_center_x(um) 	14.327
magnetic_center_y(um) 	17.067


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
1.315577798323105e-05	1.317613891387735e-05	1.31674563135671e-05	1.3150566810511251e-05	1.31382927384049e-05	1.31496754374897e-05	1.315490811066145e-05	1.31554375593609e-05	1.314817488491415e-05	1.3156102281754849e-05
3.89482601167423e-05	3.889421514031785e-05	3.89468590037681e-05	3.894736784786325e-05	3.892178589012375e-05	3.8923434258320004e-05	3.8940190279386496e-05	3.892551263561435e-05	3.891393105732685e-05	3.894498488080175e-05
6.38825309943069e-05	6.39472186958256e-05	6.389291571394821e-05	6.39185084219186e-05	6.392292318196024e-05	6.39161577055301e-05	6.39070988472664e-05	6.39339672488899e-05	6.392761028109604e-05	6.38894398070998e-05
8.68414260912707e-05	8.68461203572271e-05	8.68892287689915e-05	8.685767326824205e-05	8.68586479555186e-05	8.68739706129379e-05	8.686193035827975e-05	8.685479937412705e-05	8.686470391694576e-05	8.690544727870014e-05
0.00010747277512563199	0.0001074398220953285	0.0001074506511577485	0.0001074833390157095	0.0001074418861389915	0.000107423531917404	0.0001074778994006865	0.0001074574381345715	0.00010743382346847601	0.0001074100654659685
0.0001256316435319725	0.0001256432824448445	0.000125600754545332	0.0001256240323709775	0.0001256373196519965	0.0001256317725346645	0.00012558723792607349	0.0001256281317910605	0.0001256397993711755	0.0001256184135854395
0.000141164704400532	0.000141188412235315	0.000141216721167426	0.000141176859324369	0.000141134575096619	0.00014117800601527101	0.000141208708664635	0.000141167485126058	0.0001411201267910765	0.0001411778196779945
0.0001545532812452065	0.000154509291314725	0.0001545430326950975	0.000154569349251653	0.0001545518622152005	0.000154532569140469	0.00015452938707314698	0.0001545611934125485	0.0001545549296133535	0.0001545419863396445
0.000162934244508524	0.0001629975705146015	0.000162923451280207	0.0001629266476811505	0.0001629648324888175	0.000162915782784726	0.00016290053179549298	0.000162927679702982	0.000162959299705107	0.0001629175601556635
0.0001662819369812075	0.0001662448128627135	0.0001663064905005455	0.000166275873853009	0.000166245443542749	0.0001662884444522635	0.00016631493301247398	0.0001662375743762715	0.000166250245310975	0.0001663292236480815
0.000166043984281678	0.0001660770519811505	0.000166069283150122	0.000166080377384786	0.000166021437471517	0.0001660441419517115	0.0001660494453971825	0.00016606680343104148	0.00016606294768281948	0.000165979439916591
0.0001632278833857945	0.000163170276500704	0.000163168355793453	0.00016321683215209348	0.0001632228236121845	0.0001631941133382775	0.00016311708437566501	0.0001632384472759705	0.0001632009074819605	0.0001632208169030075
0.00015481317874220301	0.000154879213805502	0.00015490241996303999	0.0001548078466293905	0.0001548331741650775	0.000154864235155373	0.0001549003702529985	0.000154822108597755	0.000154834994536978	0.000154854359279817
0.000140720863346357	0.000140681460179582	0.0001406904473697185	0.0001407772518723395	0.00014071555990088601	0.00014066575051396851	0.0001407212933554945	0.000140756511100359	0.0001407274424855205	0.0001406863479496355
0.0001252966234460915	0.0001253096383880065	0.0001252933983778065	0.00012522406657811502	0.000125262925066682	0.00012527801838588148	0.000125260889690262	0.00012520437216148898	0.0001252314484008705	0.0001252721989294455
0.000107389754703027	0.0001074005335977225	0.0001074651782982585	0.0001074641964441515	0.000107401393615899	0.0001074153689114395	0.0001074400299330865	0.000107466317822399	0.0001074524643626905	0.0001074381952275645
8.68790877211718e-05	8.68736696065712e-05	8.68468872067752e-05	8.689550690177845e-05	8.686102733917965e-05	8.68781417011678e-05	8.686046116053941e-05	8.686795048561375e-05	8.68101214291536e-05	8.68750169684106e-05
6.394883122993855e-05	6.393325773387705e-05	6.397251039743915e-05	6.39573310763826e-05	6.39619393405115e-05	6.392444254743496e-05	6.393932802893554e-05	6.397077602741541e-05	6.396889115421815e-05	6.387876124790255e-05
3.9149085114328096e-05	3.9166367896541245e-05	3.912786774890575e-05	3.91394349935619e-05	3.91392916571893e-05	3.917863032256905e-05	3.913433580236965e-05	3.9117662199710504e-05	3.914491760951835e-05	3.917656986231635e-05
1.32951537852979e-05	1.329152289599835e-05	1.33367141643249e-05	1.330943277480715e-05	1.32765469334123e-05	1.328635472418245e-05	1.33209319346873e-05	1.33004527515405e-05	1.32711556943791e-05	1.3322709305614949e-05
-1.298569057325475e-05	-1.29811414353761e-05	-1.30243224111843e-05	-1.297505949423905e-05	-1.2964671191187451e-05	-1.3016479224465951e-05	-1.3000886019657649e-05	-1.296151599945255e-05	-1.29462766562981e-05	-1.3037655380689548e-05
-3.88382458731927e-05	-3.8779040787630444e-05	-3.87458440854955e-05	-3.87865229458842e-05	-3.8840481920491e-05	-3.8766079596830545e-05	-3.877440743962945e-05	-3.88130115061341e-05	-3.8830269204485004e-05	-3.876954475344805e-05
-6.33789043422488e-05	-6.34373354114325e-05	-6.339442767057595e-05	-6.338157039863534e-05	-6.338493163639355e-05	-6.34303620972739e-05	-6.338541898003676e-05	-6.340008945698831e-05	-6.340458305203686e-05	-6.339531635603485e-05
-8.64798027760102e-05	-8.64249622827651e-05	-8.64610687131082e-05	-8.64724281200359e-05	-8.64249479491239e-05	-8.641464923130025e-05	-8.649270304886455e-05	-8.647492217278715e-05	-8.642827335279879e-05	-8.646751168270986e-05
-0.000107370540463263	-0.0001073256188464975	-0.0001073134424222775	-0.000107379470318815	-0.000107424786110615	-0.0001073511183858395	-0.0001072996534640135	-0.000107361245100018	-0.000107412581019152	-0.0001073242356505945
-0.0001246787720446815	-0.00012480070829043802	-0.0001247197662451175	-0.0001246434682979895	-0.00012471181107681252	-0.000124742270054414	-0.0001247031678940845	-0.00012471143840225951	-0.00012471053538321852	-0.0001247523896017325
-0.0001405560551938765	-0.00014052793259904198	-0.00014062009788171848	-0.00014062809605088798	-0.000140552529119343	-0.000140585152475958	-0.0001406127017253415	-0.000140571320516731	-0.0001405794190213495	-0.0001405757782777455
-0.000153936504866591	-0.0001539224865700875	-0.000153846145622095	-0.00015390448352267	-0.00015394752743304899	-0.0001538960410107415	-0.0001538712868205055	-0.0001539341828174455	-0.0001538854197860795	-0.00015387234750958
-0.00016250230037260501	-0.000162461979853069	-0.00016246497558311448	-0.0001624375553365215	-0.00016251117289357248	-0.00016249605090703148	-0.000162462252192173	-0.0001624627108685535	-0.000162534350383769	-0.0001625150286417945
-0.000165789547900186	-0.0001658478284661765	-0.0001658558839699305	-0.00016581103402127248	-0.000165811965707655	-0.00016587249665458499	-0.000165840675981562	-0.00016580181749309352	-0.00016582059455686	-0.0001658228736050425
