--- multipoles on reference trajectory (rz > 0) ---
effective_length:                   75.05520158140081 mm
perpendicular_grid:                 41 points in [-12.000000,+12.000000] mm
max_fitting_error_normal            1.037/3103.592 G/G
max_fitting_error_skew              0.506/0.607 G/G
r0_for_relative_multipoles          12 mm
main_monomial                       n = 2, skew:False
                                      MaxAbs_Nn     Integ_Nn     Nn/N0(@r0)   |   MaxAbs_Sn     Integ_Sn     Sn/S0(@r0)  
<multipole_order n>                    [T/m^n]      [T.m/m^n]        []       |    [T/m^n]      [T.m/m^n]        []      
n=00:                                1.5762e-04    -1.0796e-05   +4.0470e-04  |  1.0160e-05    -5.7983e-08   +2.1737e-06 
n=01:                                    ---           ---           ---      |  7.7755e-01    -6.1726e-02   +2.7768e-02 
n=02:                                2.4683e+03    -1.8524e+02   +1.0000e+00  |  1.6779e+00    +1.1121e-02   -6.0036e-05 
n=03:                                    ---           ---           ---      |  3.3869e+03    +2.4758e+02   -1.6038e-02 
n=04:                                8.6770e+05    +5.1713e+01   -4.0199e-05  |  7.5472e+04    -4.4703e+02   +3.4750e-04 
n=06:                                2.4281e+09    -3.3328e+06   +3.7306e-04  |  1.3261e+09    +7.3229e+06   -8.1972e-04 
n=07:                                    ---           ---           ---      |  2.6313e+10    -5.1794e+08   +6.9573e-04 
n=08:                                1.7632e+13    +1.8077e+11   -2.9139e-03  |  9.9155e+12    -5.1814e+10   +8.3519e-04 
n=09:                                    ---           ---           ---      |  1.8597e+14    -1.9887e+12   +3.8466e-04 
n=10:                                    ---           ---           ---      |  2.6595e+16    +1.3264e+14   -3.0789e-04 
n=13:                                    ---           ---           ---      |  2.9382e+21    +8.8638e+18   -3.5552e-05 
n=14:                                6.9364e+23    -3.0780e+22   +1.4815e-03  |      ---           ---           ---     
